,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,80.0,,28.0,271.0,81,,65.0,2,2,1,-,7,1,19.0,2.77s,2,18,-,,2,4,12,38.0,0.43,,100%,6.0,-,-,-,1,,1,-,-,-,1,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
1,,"Matthew
                
                  Wright",2.0,Winger,,80:00,,8,-,4,5,-,80%,-,,40.0,,17.0,165.0,9,,75.0,-,-,-,-,3,1,14.0,3.31s,2,34,-,,1,-,2,19.0,0.12,,80%,4.0,-,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
2,,"Dylan
                
                  Walker",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,12.0,108.0,7,,46.0,-,-,-,-,5,-,9.0,3.85s,2,24,-,,2,-,7,16.0,0.58,,66.7%,8.0,4,-,-,-,,1,11,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
3,,"Brian
                
                  Kelly",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,75.0,,17.0,181.0,-,,51.0,3,1,2,-,6,2,12.0,3.58s,4,37,-,,1,-,3,18.0,0.18,,86.7%,13.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,13.0,,11.0,121.0,42,,49.0,-,-,-,-,1,-,12.0,3.83s,-,-,-,,-,-,-,14.0,-,,60%,3.0,1,1,-,1,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
5,,"Blake
                
                  Green",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,38.0,,9.0,46.0,-,,8.0,-,1,1,-,-,-,2.0,3.28s,-,-,-,,-,5,53,69.0,5.89,,77.8%,14.0,2,2,-,-,,13,356,1,1,2,1,2,-,,1,1,-,1,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,51.0,,14.0,103.0,9,,34.0,-,-,-,-,4,-,6.0,3.48s,1,13,-,,2,3,28,45.0,2,,77.8%,21.0,5,1,-,-,,7,177,2,1,3,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
7,,"Darcy
                
                  Lussick",8.0,Prop,,41:00,,-,-,-,-,-,-,-,,30.0,,15.0,124.0,14,,53.0,-,-,-,-,2,14,13.0,3.99s,-,-,-,,-,-,-,15.0,-,,80%,20.0,3,2,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,21:24,18:39,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,31.0,,8.0,49.0,-,,21.0,-,-,-,-,2,4,7.0,2.67s,4,26,-,,-,7,114,119.0,14.25,,81.4%,35.0,5,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
9,,"Martin
                
                  Taupau",10.0,Prop,,43:00,,-,-,-,-,-,-,-,,49.0,,13.0,128.0,13,,53.0,-,-,-,-,5,11,12.0,3.47s,1,9,-,,1,-,3,16.0,0.23,,85.7%,24.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:06,17:10,Sea,26,2017-09-02T07:30:00Z,Sea Eagles vs Panthers,2017
