,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Wests Tigers vs Warriors,2017
1,Error,Tuimoala Lolohea,,,,Wests Tigers,80:00,Wests Tigers vs Warriors,2017
2,Conversion-Missed,Issac Luke,,,,Warriors,79:11,Wests Tigers vs Warriors,2017
3,Video Referee,Try,,,,Warriors,77:54,Wests Tigers vs Warriors,2017
4,Try,Charnze Nicoll-Klokstad,,,28-16,Warriors,77:49,Wests Tigers vs Warriors,2017
5,Error,Issac Luke,,,,Warriors,75:57,Wests Tigers vs Warriors,2017
6,Interchange - Sin Bin Return,Issac Luke,,,,Warriors,75:56,Wests Tigers vs Warriors,2017
7,Conversion-Made,Tuimoala Lolohea,,,28-12,Wests Tigers,74:50,Wests Tigers vs Warriors,2017
8,Try,David Nofoaluma,,,26-12,Wests Tigers,73:21,Wests Tigers vs Warriors,2017
9,Linebreak,David Nofoaluma,,,,Wests Tigers,73:18,Wests Tigers vs Warriors,2017
10,Error,Solomone Kata,,,,Warriors,72:05,Wests Tigers vs Warriors,2017
11,Interchange,,                   Jazz Tevaga,                   Ben Matulino,,Warriors,70:36,Wests Tigers vs Warriors,2017
12,Error,Sam Lisone,,,,Warriors,68:39,Wests Tigers vs Warriors,2017
13,Error,Josh Aloiai,,,,Wests Tigers,68:19,Wests Tigers vs Warriors,2017
14,Tigers Interchange,,                   Matthew Eisenhuth,                   Aaron Woods,,Wests,67:59,Wests Tigers vs Warriors,2017
15,Error,Charnze Nicoll-Klokstad,,,,Warriors,66:43,Wests Tigers vs Warriors,2017
16,Linebreak,Charnze Nicoll-Klokstad,,,,Warriors,66:41,Wests Tigers vs Warriors,2017
17,Line Dropout,Issac Luke,,,,Warriors,64:47,Wests Tigers vs Warriors,2017
18,Interchange,,                   Ben Matulino,                   Sam Lisone,,Warriors,64:38,Wests Tigers vs Warriors,2017
19,Penalty - Dangerous Tackle,David Fusitu'a,,,,Warriors,62:55,Wests Tigers vs Warriors,2017
20,Tigers Interchange,,                   Jeremy Marshall-King,                   Jack Littlejohn,,Wests,61:01,Wests Tigers vs Warriors,2017
21,Tigers Interchange,,                   Aaron Woods,                   Tim Grant,,Wests,61:01,Wests Tigers vs Warriors,2017
22,Interchange - Sin Bin Return,David Fusitu'a,,,,Warriors,60:58,Wests Tigers vs Warriors,2017
23,Error,David Fusitu'a,,,,Warriors,60:58,Wests Tigers vs Warriors,2017
24,Penalty - Crowding,Alex Twal,,,,Wests Tigers,59:53,Wests Tigers vs Warriors,2017
25,Error,Kevin Naiqama,,,,Wests Tigers,58:59,Wests Tigers vs Warriors,2017
26,Interchange,,                   Bunty Afoa,                   Isaiah Papali'i,,Warriors,58:30,Wests Tigers vs Warriors,2017
27,Error,Aaron Woods,,,,Wests Tigers,55:51,Wests Tigers vs Warriors,2017
