,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Roosters,2017
1,Error,Daniel Tupou,,,,Roosters,78:03,Panthers vs Roosters,2017
2,Interchange,,                   Connor Watson,                   Jake Friend,,Roosters,76:50,Panthers vs Roosters,2017
3,Error,Te Maire Martin,,,,Panthers,76:38,Panthers vs Roosters,2017
4,Interchange,,                   Trent Merrin,                   Viliame Kikau,,Panthers,75:43,Panthers vs Roosters,2017
5,Conversion-Missed,Michael Gordon,,,,Roosters,74:02,Panthers vs Roosters,2017
6,Try,Michael Gordon,,,12-14,Roosters,72:19,Panthers vs Roosters,2017
7,Kick Bomb,Mitchell Pearce,,,,Roosters,70:46,Panthers vs Roosters,2017
8,Penalty - Offside Downtown,Tyrone Peachey,,,,Panthers,69:30,Panthers vs Roosters,2017
9,Error,Aidan Guerra,,,,Roosters,68:37,Panthers vs Roosters,2017
10,Interchange,,                   Jake Friend,                   Connor Watson,,Roosters,67:27,Panthers vs Roosters,2017
11,Kick Bomb,Nathan Cleary,,,,Panthers,66:37,Panthers vs Roosters,2017
12,Kick Bomb,Nathan Cleary,,,,Panthers,65:03,Panthers vs Roosters,2017
13,Interchange,,                   Viliame Kikau,                   Leilani Latu,,Panthers,64:18,Panthers vs Roosters,2017
14,Interchange - Sin Bin Return,Shaun Kenny-Dowall,,,,Roosters,64:09,Panthers vs Roosters,2017
15,Error,Shaun Kenny-Dowall,,,,Roosters,64:09,Panthers vs Roosters,2017
16,Error,Dallin Watene-Zelezniak,,,,Panthers,62:19,Panthers vs Roosters,2017
17,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,62:18,Panthers vs Roosters,2017
18,Kick Bomb,Mitchell Pearce,,,,Roosters,62:14,Panthers vs Roosters,2017
19,Interchange,,                   James Tamou,                   Reagan Campbell-Gillard,,Panthers,61:00,Panthers vs Roosters,2017
20,Error,Luke Keary,,,,Roosters,60:46,Panthers vs Roosters,2017
21,Penalty - Offside Downtown,James Tamou,,,,Panthers,59:03,Panthers vs Roosters,2017
22,Penalty Shot-Made,Nathan Cleary,,,12-10,Panthers,57:30,Panthers vs Roosters,2017
23,Interchange,,                   Ryan Matterson,                   Aidan Guerra,,Roosters,56:44,Panthers vs Roosters,2017
24,Interchange,,                   Zane Tetevano,                   Jared Waerea-Hargreaves,,Roosters,56:44,Panthers vs Roosters,2017
25,Penalty - Dangerous Tackle,Ryan Matterson,,,,Roosters,56:22,Panthers vs Roosters,2017
26,Error,Zane Tetevano,,,,Roosters,55:03,Panthers vs Roosters,2017
27,Interchange,,                   Isaac Liu,                   Dylan Napa,,Roosters,53:54,Panthers vs Roosters,2017
28,Error,Dallin Watene-Zelezniak,,,,Panthers,53:38,Panthers vs Roosters,2017
29,Error,Latrell Mitchell,,,,Roosters,53:35,Panthers vs Roosters,2017
30,Kick Bomb,Nathan Cleary,,,,Panthers,53:23,Panthers vs Roosters,2017
31,Interchange,,                   Sitaleki Akauola,                   Peta Hiku,,Panthers,52:41,Panthers vs Roosters,2017
32,Error,Boyd Cordner,,,,Roosters,51:50,Panthers vs Roosters,2017
33,Penalty - Slow Peel,Isaah Yeo,,,,Panthers,50:43,Panthers vs Roosters,2017
34,Error,Dallin Watene-Zelezniak,,,,Panthers,50:13,Panthers vs Roosters,2017
35,Interchange,,                   Leilani Latu,                   Viliame Kikau,,Panthers,49:35,Panthers vs Roosters,2017
36,Penalty - 2nd Effort,Jake Friend,,,,Roosters,49:13,Panthers vs Roosters,2017
37,Error,Ryan Matterson,,,,Roosters,48:55,Panthers vs Roosters,2017
38,Penalty - Marker Not Square,Leilani Latu,,,,Panthers,48:13,Panthers vs Roosters,2017
39,Penalty Shot-Made,Nathan Cleary,,,10-10,Panthers,46:22,Panthers vs Roosters,2017
40,Penalty - Offside General,Boyd Cordner,,,,Roosters,45:03,Panthers vs Roosters,2017
41,Kick Bomb,Nathan Cleary,,,,Panthers,44:57,Panthers vs Roosters,2017
42,Interchange - Sin Bin Return,Matt Moylan,,,,Panthers,42:02,Panthers vs Roosters,2017
43,Error,Matt Moylan,,,,Panthers,42:02,Panthers vs Roosters,2017
44,Error,Mitchell Pearce,,,,Roosters,40:50,Panthers vs Roosters,2017
45,Conversion-Missed,Michael Gordon,,,,Roosters,39:35,Panthers vs Roosters,2017
46,Try,Latrell Mitchell,,,8-10,Roosters,38:00,Panthers vs Roosters,2017
47,Linebreak,Latrell Mitchell,,,,Roosters,37:52,Panthers vs Roosters,2017
