,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Broncos vs Raiders,2017
1,Drop Goal-Missed,Blake Austin,,,,Raiders,78:17,Broncos vs Raiders,2017
2,Error,Blake Austin,,,,Raiders,76:08,Broncos vs Raiders,2017
3,Kick Bomb,Blake Austin,,,,Raiders,75:54,Broncos vs Raiders,2017
4,Drop Goal-Made,Jordan Kahu,,,13-12,Broncos,73:39,Broncos vs Raiders,2017
5,Error,Junior Paulo,,,,Raiders,73:09,Broncos vs Raiders,2017
6,Conversion-Made,Jarrod Croker,,,12-12,Raiders,72:08,Broncos vs Raiders,2017
7,Try,Blake Austin,,,12-10,Raiders,70:42,Broncos vs Raiders,2017
8,Linebreak,Jack Wighton,,,,Raiders,70:38,Broncos vs Raiders,2017
9,Interchange,,                   Korbin Sims,                   Josh McGuire,,Broncos,69:05,Broncos vs Raiders,2017
10,Error,Aidan Sezer,,,,Raiders,68:35,Broncos vs Raiders,2017
11,Line Dropout,Blake Austin,,,,Raiders,66:44,Broncos vs Raiders,2017
12,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,64:53,Broncos vs Raiders,2017
13,Error,Jordan Rapana,,,,Raiders,64:53,Broncos vs Raiders,2017
14,Conversion-Missed,Jarrod Croker,,,,Raiders,64:13,Broncos vs Raiders,2017
15,Interchange,,                   Luke Bateman,                   Shannon Boyd,,Raiders,63:33,Broncos vs Raiders,2017
16,Video Referee,Try,,,,Raiders,62:58,Broncos vs Raiders,2017
17,Try,Jordan Rapana,,,12-6,Raiders,62:55,Broncos vs Raiders,2017
18,Linebreak,Jordan Rapana,,,,Raiders,62:55,Broncos vs Raiders,2017
19,Interchange,,                   Iosia Soliola,                   Joseph Tapine,,Raiders,62:24,Broncos vs Raiders,2017
20,Line Dropout,Ben Hunt,,,,Broncos,62:09,Broncos vs Raiders,2017
21,Interchange - Sin Bin Return,Sam Thaiday,,,,Broncos,60:05,Broncos vs Raiders,2017
22,Interchange,,                   Alex Glenn,                   Adam Blair,,Broncos,59:25,Broncos vs Raiders,2017
23,Interchange - Sin Bin Return,Blake Austin,,,,Raiders,58:56,Broncos vs Raiders,2017
24,Error,Blake Austin,,,,Raiders,58:56,Broncos vs Raiders,2017
25,Linebreak,Jordan Rapana,,,,Raiders,58:53,Broncos vs Raiders,2017
26,Error,Anthony Milford,,,,Broncos,57:29,Broncos vs Raiders,2017
27,Error,Jordan Rapana,,,,Raiders,56:30,Broncos vs Raiders,2017
28,Error,Anthony Milford,,,,Broncos,55:27,Broncos vs Raiders,2017
29,Error,Blake Austin,,,,Raiders,53:43,Broncos vs Raiders,2017
30,Interchange,,,,,Broncos,52:53,Broncos vs Raiders,2017
31,Interchange,,                   Herman Ese'ese,                   Korbin Sims,,Broncos,52:53,Broncos vs Raiders,2017
32,Interchange,,                   Herman Ese'ese,                   Sam Thaiday,,Broncos,52:53,Broncos vs Raiders,2017
33,Conversion-Missed,Jordan Kahu,,,,Broncos,51:59,Broncos vs Raiders,2017
