,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Knights,2017
1,Error,Dallin Watene-Zelezniak,,,,Panthers,78:51,Panthers vs Knights,2017
2,Interchange - Sin Bin Return,Sam Stone,,,,Knights,78:01,Panthers vs Knights,2017
3,Error,Sam Stone,,,,Knights,78:01,Panthers vs Knights,2017
4,Penalty - Hand in the Ruck,Peter Wallace,,,,Panthers,77:44,Panthers vs Knights,2017
5,Error,Matt Moylan,,,,Panthers,77:13,Panthers vs Knights,2017
6,Conversion-Made,Nathan Cleary,,,40-0,Panthers,76:49,Panthers vs Knights,2017
7,Try,Nathan Cleary,,,38-0,Panthers,75:14,Panthers vs Knights,2017
8,Linebreak,Nathan Cleary,,,,Panthers,75:13,Panthers vs Knights,2017
9,Interchange,,                   Viliame Kikau,                   Leilani Latu,,Panthers,75:10,Panthers vs Knights,2017
10,Error,Luke Yates,,,,Knights,74:24,Panthers vs Knights,2017
11,Error,Nathan Cleary,,,,Panthers,72:23,Panthers vs Knights,2017
12,Interchange,,                   Reagan Campbell-Gillard,                   Trent Merrin,,Panthers,72:04,Panthers vs Knights,2017
13,Interchange - Sin Bin Return,Danny Levi,,,,Knights,71:14,Panthers vs Knights,2017
14,Error,Danny Levi,,,,Knights,71:14,Panthers vs Knights,2017
15,Penalty - Dangerous Tackle,Viliame Kikau,,,,Panthers,70:20,Panthers vs Knights,2017
16,Interchange,,                   Jack Stockwell,                   Luke Yates,,Knights,70:06,Panthers vs Knights,2017
17,Error,Viliame Kikau,,,,Panthers,69:14,Panthers vs Knights,2017
18,Penalty - Crowding,Jack Stockwell,,,,Knights,68:23,Panthers vs Knights,2017
19,Error,Dane Gagai,,,,Knights,66:52,Panthers vs Knights,2017
20,Penalty - Slow Peel,Danny Levi,,,,Knights,66:01,Panthers vs Knights,2017
21,Interchange - HIA Cleared,,                   Joe Wardle,                   Danny Levi,,Knights,65:05,Panthers vs Knights,2017
22,Penalty - Shoulder Charge,Mitchell Barnett,,,,Knights,64:19,Panthers vs Knights,2017
23,Error,Nathan Ross,,,,Knights,64:10,Panthers vs Knights,2017
24,Interchange,,                   Jacob Saifiti,                   Josh Starling,,Knights,64:07,Panthers vs Knights,2017
