,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Cowboys vs Wests Tigers,2017
1,Conversion-Made,Mitchell Moses,,,16-26,Wests Tigers,79:27,Cowboys vs Wests Tigers,2017
2,Try,Jacob Liddle,,,16-24,Wests Tigers,78:22,Cowboys vs Wests Tigers,2017
3,Linebreak,Jacob Liddle,,,,Wests Tigers,78:21,Cowboys vs Wests Tigers,2017
4,Line Dropout,Kyle Feldt,,,,Cowboys,77:43,Cowboys vs Wests Tigers,2017
5,Interchange,,,,,Cowboys,77:18,Cowboys vs Wests Tigers,2017
6,Interchange - Sin Bin Return,Gideon Gela-Mosby,,,,Cowboys,76:02,Cowboys vs Wests Tigers,2017
7,Error,Gideon Gela-Mosby,,,,Cowboys,76:02,Cowboys vs Wests Tigers,2017
8,Conversion-Missed,Johnathan Thurston,,,,Cowboys,74:24,Cowboys vs Wests Tigers,2017
9,Tigers Interchange,,                   Elijah Taylor,                   Tim Grant,,Wests,73:31,Cowboys vs Wests Tigers,2017
10,Try,Coen Hess,,,16-20,Cowboys,73:28,Cowboys vs Wests Tigers,2017
11,Linebreak,Coen Hess,,,,Cowboys,73:28,Cowboys vs Wests Tigers,2017
12,Tigers Interchange - Sin Bin Return,Jacob Liddle,,,,Wests,73:07,Cowboys vs Wests Tigers,2017
13,Error,Jacob Liddle,,,,Wests Tigers,73:07,Cowboys vs Wests Tigers,2017
14,Linebreak,Kalyn Ponga,,,,Cowboys,71:32,Cowboys vs Wests Tigers,2017
15,Error,Javid Bowen,,,,Cowboys,70:04,Cowboys vs Wests Tigers,2017
16,Error,Sauaso Sue,,,,Wests Tigers,69:46,Cowboys vs Wests Tigers,2017
17,Tigers Interchange,,                   Michael Chee-Kam,                   Sauaso Sue,,Wests,69:40,Cowboys vs Wests Tigers,2017
18,Error,Patrick Kaufusi,,,,Cowboys,69:03,Cowboys vs Wests Tigers,2017
19,Error,Michael Chee-Kam,,,,Wests Tigers,68:35,Cowboys vs Wests Tigers,2017
20,Error,Coen Hess,,,,Cowboys,67:25,Cowboys vs Wests Tigers,2017
21,Interchange,,                   John Asiata,                   Patrick Kaufusi,,Cowboys,66:57,Cowboys vs Wests Tigers,2017
22,Error,Moses Suli,,,,Wests Tigers,66:24,Cowboys vs Wests Tigers,2017
23,Error,Javid Bowen,,,,Cowboys,65:41,Cowboys vs Wests Tigers,2017
