,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Dragons,2017
1,Conversion-Made,Gareth Widdop,,,10-35,Dragons,79:14,Sea Eagles vs Dragons,2017
2,Try,Gareth Widdop,,,10-33,Dragons,78:19,Sea Eagles vs Dragons,2017
3,Drop Goal-Made,Gareth Widdop,,,10-29,Dragons,77:14,Sea Eagles vs Dragons,2017
4,Error,Tom Trbojevic,,,,Sea Eagles,75:47,Sea Eagles vs Dragons,2017
5,Interchange,,                   Russell Packer,                   Hame Sele,,Dragons,74:00,Sea Eagles vs Dragons,2017
6,Interchange - Sin Bin Return,Russell Packer,,,,Dragons,72:58,Sea Eagles vs Dragons,2017
7,Error,Russell Packer,,,,Dragons,72:58,Sea Eagles vs Dragons,2017
8,Eagles Interchange,,                   Martin Taupau,                   Addin Fonua-Blake,,Sea,70:41,Sea Eagles vs Dragons,2017
9,Interchange,,                   Jack de Belin,                   Leeson Ah Mau,,Dragons,70:39,Sea Eagles vs Dragons,2017
10,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,70:09,Sea Eagles vs Dragons,2017
11,Conversion-Missed,Dylan Walker,,,,Sea Eagles,68:26,Sea Eagles vs Dragons,2017
12,Interchange,,                   Euan Aitken,                   Taane Milne,,Dragons,67:58,Sea Eagles vs Dragons,2017
13,Try,Jorge Taufua,,,10-28,Sea Eagles,67:23,Sea Eagles vs Dragons,2017
14,Linebreak,Jorge Taufua,,,,Sea Eagles,67:23,Sea Eagles vs Dragons,2017
15,Penalty - Obstruction,Gareth Widdop,,,,Dragons,66:05,Sea Eagles vs Dragons,2017
16,Penalty - 2nd Effort,Brenton Lawrence,,,,Sea Eagles,65:16,Sea Eagles vs Dragons,2017
17,Conversion-Missed,Gareth Widdop,,,,Dragons,64:04,Sea Eagles vs Dragons,2017
18,Try,Kurt Mann,,,6-28,Dragons,62:17,Sea Eagles vs Dragons,2017
19,Linebreak,Kurt Mann,,,,Dragons,62:17,Sea Eagles vs Dragons,2017
20,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,58:44,Sea Eagles vs Dragons,2017
21,Eagles Interchange,,                   Addin Fonua-Blake,                   Brenton Lawrence,,Sea,56:01,Sea Eagles vs Dragons,2017
22,Kick Bomb,Gareth Widdop,,,,Dragons,55:44,Sea Eagles vs Dragons,2017
23,Interchange,,                   Hame Sele,                   Russell Packer,,Dragons,53:25,Sea Eagles vs Dragons,2017
24,Interchange,,                   Leeson Ah Mau,                   Russell Packer,,Dragons,53:24,Sea Eagles vs Dragons,2017
25,Interchange,,                   Leeson Ah Mau,                   Paul Vaughan,,Dragons,53:24,Sea Eagles vs Dragons,2017
26,Eagles Interchange,,                   Darcy Lussick,                   Martin Taupau,,Sea,52:04,Sea Eagles vs Dragons,2017
27,Penalty Shot-Made,Gareth Widdop,,,6-24,Dragons,50:34,Sea Eagles vs Dragons,2017
28,Penalties - Other,Darcy Lussick,,,,Sea Eagles,49:40,Sea Eagles vs Dragons,2017
29,Eagles Interchange - Sin Bin Return,Lewis Brown,,,,Sea,49:04,Sea Eagles vs Dragons,2017
30,Error,Lewis Brown,,,,Sea Eagles,49:04,Sea Eagles vs Dragons,2017
31,Kick Bomb,Gareth Widdop,,,,Dragons,48:46,Sea Eagles vs Dragons,2017
32,Eagles Interchange,,                   Matthew Wright,                   Lewis Brown,,Sea,47:49,Sea Eagles vs Dragons,2017
33,Conversion-Made,Gareth Widdop,,,6-22,Dragons,47:25,Sea Eagles vs Dragons,2017
34,Eagles Interchange,,                   Nate Myles,                   Jake Trbojevic,,Sea,46:06,Sea Eagles vs Dragons,2017
35,Try,Jack de Belin,,,6-20,Dragons,45:52,Sea Eagles vs Dragons,2017
36,Linebreak,Josh McCrone,,,,Dragons,45:50,Sea Eagles vs Dragons,2017
