,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Raiders,2017
1,Interchange - Sin Bin Return,Kane Elgey,,,,Titans,80:00,Titans vs Raiders,2017
2,Error,Kane Elgey,,,,Titans,80:00,Titans vs Raiders,2017
3,Kick Bomb,Ashley Taylor,,,,Titans,80:00,Titans vs Raiders,2017
4,Interchange - Sin Bin Return,Dale Copley,,,,Titans,78:16,Titans vs Raiders,2017
5,Error,Dale Copley,,,,Titans,78:16,Titans vs Raiders,2017
6,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,76:24,Titans vs Raiders,2017
7,Error,Jordan Rapana,,,,Raiders,76:24,Titans vs Raiders,2017
8,Interchange,,                   Jarrod Croker,                   Clay Priest,,Raiders,76:04,Titans vs Raiders,2017
9,Kick Bomb,Ashley Taylor,,,,Titans,75:13,Titans vs Raiders,2017
10,Interchange,,                   Chris Grevsmuhl,                   Paterika Vaivai,,Titans,74:53,Titans vs Raiders,2017
11,Error,Daniel Vidot,,,,Titans,73:17,Titans vs Raiders,2017
12,Interchange - Sin Bin Return,Nick Cotric,,,,Raiders,71:55,Titans vs Raiders,2017
13,Interchange - Sin Bin Return,Dale Copley,,,,Titans,70:16,Titans vs Raiders,2017
14,Error,Dale Copley,,,,Titans,70:16,Titans vs Raiders,2017
15,Interchange,,                   Jarrod Wallace,                   Ryan James,,Titans,69:50,Titans vs Raiders,2017
16,Conversion-Made,Aidan Sezer,,,16-42,Raiders,69:45,Titans vs Raiders,2017
17,Interchange,,                   Shannon Boyd,                   Joseph Tapine,,Raiders,68:13,Titans vs Raiders,2017
18,Try,Nick Cotric,,,16-40,Raiders,68:10,Titans vs Raiders,2017
19,Interchange - Sin Bin Return,Konrad Hurrell,,,,Titans,68:02,Titans vs Raiders,2017
20,Error,Konrad Hurrell,,,,Titans,68:02,Titans vs Raiders,2017
21,Interchange,,                   Josh Hodgson,                   Adam Clydsdale,,Raiders,65:06,Titans vs Raiders,2017
22,Error,Karl Lawton,,,,Titans,64:20,Titans vs Raiders,2017
23,Linebreak,Jarrod Wallace,,,,Titans,62:27,Titans vs Raiders,2017
24,Interchange,,                   Ryan Simpkins,                   Max King,,Titans,62:15,Titans vs Raiders,2017
25,Error,Jarrod Croker,,,,Raiders,61:10,Titans vs Raiders,2017
26,Interchange,,                   Iosia Soliola,                   Shannon Boyd,,Raiders,59:56,Titans vs Raiders,2017
27,Conversion-Made,Aidan Sezer,,,16-36,Raiders,59:51,Titans vs Raiders,2017
28,Try,Josh Papalii,,,16-34,Raiders,58:30,Titans vs Raiders,2017
29,Interchange,,                   Tyrone Roberts,                   Daniel Vidot,,Titans,58:10,Titans vs Raiders,2017
30,On Report,Leivaha Pulu,,,,Titans,58:10,Titans vs Raiders,2017
31,Penalty - Dangerous Tackle,Leivaha Pulu,,,,Titans,57:47,Titans vs Raiders,2017
32,Error,Tyronne Roberts-Davis,,,,Titans,57:01,Titans vs Raiders,2017
33,Interchange - Sin Bin Return,Leivaha Pulu,,,,Titans,54:57,Titans vs Raiders,2017
34,Error,Leivaha Pulu,,,,Titans,54:57,Titans vs Raiders,2017
35,Penalty - Offside General,Blake Austin,,,,Raiders,54:19,Titans vs Raiders,2017
36,Penalty - Dangerous Tackle,Morgan Boyle,,,,Titans,52:13,Titans vs Raiders,2017
37,Interchange,,                   Ryan James,                   Morgan Boyle,,Titans,49:36,Titans vs Raiders,2017
38,Conversion-Missed,Aidan Sezer,,,,Raiders,49:07,Titans vs Raiders,2017
39,Interchange,,                   Clay Priest,                   Junior Paulo,,Raiders,48:09,Titans vs Raiders,2017
40,Interchange,,                   Paterika Vaivai,                   Jarrod Wallace,,Titans,48:09,Titans vs Raiders,2017
41,Video Referee,Try,,,,Raiders,48:09,Titans vs Raiders,2017
42,Try,Elliott Whitehead,,,16-30,Raiders,48:03,Titans vs Raiders,2017
43,Penalty - Offside inside 10m,Dale Copley,,,,Titans,46:28,Titans vs Raiders,2017
44,Interchange,,                   Joseph Tapine,                   Luke Bateman,,Raiders,45:32,Titans vs Raiders,2017
45,Penalty - Offside inside 10m,Ryan James,,,,Titans,45:26,Titans vs Raiders,2017
46,Line Dropout,Blake Austin,,,,Raiders,44:13,Titans vs Raiders,2017
47,Kick Bomb,Tyrone Roberts,,,,Titans,43:30,Titans vs Raiders,2017
48,Conversion-Made,Ashley Taylor,,,16-26,Titans,42:08,Titans vs Raiders,2017
49,Try,Ashley Taylor,,,14-26,Titans,40:40,Titans vs Raiders,2017
50,Linebreak,Karl Lawton,,,,Titans,40:33,Titans vs Raiders,2017
51,Error,Konrad Hurrell,,,,Titans,40:00,Titans vs Raiders,2017
52,Error,Konrad Hurrell,,,,Titans,39:45,Titans vs Raiders,2017
53,Penalty - Slow Peel,Clay Priest,,,,Raiders,37:16,Titans vs Raiders,2017
54,Kick Bomb,Aidan Sezer,,,,Raiders,36:41,Titans vs Raiders,2017
55,Conversion-Made,Ashley Taylor,,,10-26,Titans,34:44,Titans vs Raiders,2017
56,Video Referee,Try,,,,Titans,33:56,Titans vs Raiders,2017
57,Try,Karl Lawton,,,8-26,Titans,33:46,Titans vs Raiders,2017
58,Linebreak,Karl Lawton,,,,Titans,33:46,Titans vs Raiders,2017
59,Error,Jordan Rapana,,,,Raiders,32:47,Titans vs Raiders,2017
60,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,32:46,Titans vs Raiders,2017
61,Conversion-Made,Aidan Sezer,,,4-26,Raiders,31:56,Titans vs Raiders,2017
62,Interchange,,                   Junior Paulo,                   Iosia Soliola,,Raiders,30:38,Titans vs Raiders,2017
63,Try,Joseph Leilua,,,4-24,Raiders,30:23,Titans vs Raiders,2017
64,Conversion-Made,Aidan Sezer,,,4-20,Raiders,29:02,Titans vs Raiders,2017
65,Interchange,,                   Shannon Boyd,                   Clay Priest,,Raiders,27:36,Titans vs Raiders,2017
66,Try,Jack Wighton,,,4-18,Raiders,27:24,Titans vs Raiders,2017
67,Linebreak,Jack Wighton,,,,Raiders,27:22,Titans vs Raiders,2017
68,Interchange,,,,,Titans,26:27,Titans vs Raiders,2017
69,Interchange,,                   Jarrod Wallace,                   Paterika Vaivai,,Titans,26:27,Titans vs Raiders,2017
70,Conversion-Made,Aidan Sezer,,,4-14,Raiders,25:50,Titans vs Raiders,2017
71,Try,Jordan Rapana,,,4-12,Raiders,24:08,Titans vs Raiders,2017
72,Linebreak,Jordan Rapana,,,,Raiders,24:08,Titans vs Raiders,2017
73,Error,Ashley Taylor,,,,Titans,22:46,Titans vs Raiders,2017
74,Interchange - Sin Bin Return,Ryan James,,,,Titans,21:08,Titans vs Raiders,2017
75,Error,Ryan James,,,,Titans,21:08,Titans vs Raiders,2017
76,Conversion-Missed,Ashley Taylor,,,,Titans,19:58,Titans vs Raiders,2017
77,Video Referee,Try,,,,Titans,18:43,Titans vs Raiders,2017
78,Try,Anthony Don,,,4-8,Titans,18:34,Titans vs Raiders,2017
79,Linebreak,Anthony Don,,,,Titans,18:34,Titans vs Raiders,2017
80,Error,Jack Wighton,,,,Raiders,18:10,Titans vs Raiders,2017
81,Interchange - Sin Bin Return,Jack Wighton,,,,Raiders,18:09,Titans vs Raiders,2017
82,Line Dropout,Tyrone Roberts,,,,Titans,17:32,Titans vs Raiders,2017
83,Line Dropout,Tyrone Roberts,,,,Titans,15:59,Titans vs Raiders,2017
84,Penalty - 2nd Effort,Jarrod Wallace,,,,Titans,14:39,Titans vs Raiders,2017
85,Penalty - Dangerous Tackle,Ryan James,,,,Titans,13:34,Titans vs Raiders,2017
86,Conversion-Missed,Jarrod Croker,,,,Raiders,12:45,Titans vs Raiders,2017
87,Try,Jordan Rapana,,,0-8,Raiders,11:19,Titans vs Raiders,2017
88,Linebreak,Jordan Rapana,,,,Raiders,11:19,Titans vs Raiders,2017
89,Linebreak,Jarrod Croker,,,,Raiders,11:02,Titans vs Raiders,2017
90,Kick Bomb,Ashley Taylor,,,,Titans,10:19,Titans vs Raiders,2017
91,Conversion-Missed,Jarrod Croker,,,,Raiders,07:58,Titans vs Raiders,2017
92,Try,Jordan Rapana,,,0-4,Raiders,06:12,Titans vs Raiders,2017
93,Linebreak,Jordan Rapana,,,,Raiders,06:11,Titans vs Raiders,2017
94,Line Dropout,Tyrone Roberts,,,,Titans,05:31,Titans vs Raiders,2017
95,Penalty - 2nd Effort,Kane Elgey,,,,Titans,03:29,Titans vs Raiders,2017
96,Penalty - Ball Strip,Aidan Sezer,,,,Raiders,01:25,Titans vs Raiders,2017
