,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Rabbitohs,2017
1,Error,Moses Mbye,,,,Bulldogs,79:12,Bulldogs vs Rabbitohs,2017
2,Interchange - Sin Bin Return,Robert Jennings,,,,Rabbitohs,77:40,Bulldogs vs Rabbitohs,2017
3,Error,Robert Jennings,,,,Rabbitohs,77:40,Bulldogs vs Rabbitohs,2017
4,Penalties - Other,James Graham,,,,Bulldogs,77:17,Bulldogs vs Rabbitohs,2017
5,Penalty - Slow Peel,Aiden Tolman,,,,Bulldogs,76:47,Bulldogs vs Rabbitohs,2017
6,Interchange,,                   Angus Crichton,                   George Burgess,,Rabbitohs,76:35,Bulldogs vs Rabbitohs,2017
7,Penalty - Dangerous Tackle,Damien Cook,,,,Rabbitohs,74:51,Bulldogs vs Rabbitohs,2017
8,Penalties - Other,Bryson Goodwin,,,,Rabbitohs,74:02,Bulldogs vs Rabbitohs,2017
9,Conversion-Missed,Kerrod Holland,,,,Bulldogs,73:33,Bulldogs vs Rabbitohs,2017
10,Video Referee,Try,,,,Bulldogs,72:15,Bulldogs vs Rabbitohs,2017
11,Try,Josh Morris,,,24-9,Bulldogs,72:10,Bulldogs vs Rabbitohs,2017
12,Interchange,,                   Greg Eastwood,                   Aiden Tolman,,Bulldogs,70:49,Bulldogs vs Rabbitohs,2017
13,Penalty - Obstruction,John Sutton,,,,Rabbitohs,70:41,Bulldogs vs Rabbitohs,2017
14,Penalty - Hand in the Ruck,Moses Mbye,,,,Bulldogs,69:46,Bulldogs vs Rabbitohs,2017
15,Penalty - Escorts,James Graham,,,,Bulldogs,68:59,Bulldogs vs Rabbitohs,2017
16,Interchange,,                   Zane Musgrove,                   Damien Cook,,Rabbitohs,68:25,Bulldogs vs Rabbitohs,2017
17,Conversion-Made,Kerrod Holland,,,20-9,Bulldogs,66:55,Bulldogs vs Rabbitohs,2017
18,Try,Kerrod Holland,,,18-9,Bulldogs,65:20,Bulldogs vs Rabbitohs,2017
19,Linebreak,Brett Morris,,,,Bulldogs,65:14,Bulldogs vs Rabbitohs,2017
20,Conversion-Made,Kerrod Holland,,,14-9,Bulldogs,63:58,Bulldogs vs Rabbitohs,2017
21,Try,Josh Jackson,,,12-9,Bulldogs,62:14,Bulldogs vs Rabbitohs,2017
22,Linebreak,Josh Jackson,,,,Bulldogs,62:14,Bulldogs vs Rabbitohs,2017
23,Linebreak,Brenko Lee,,,,Bulldogs,61:11,Bulldogs vs Rabbitohs,2017
24,Interchange,,                   Jason Clark,                   Thomas Burgess,,Rabbitohs,60:23,Bulldogs vs Rabbitohs,2017
25,Kick Bomb,Matt Frawley,,,,Bulldogs,59:42,Bulldogs vs Rabbitohs,2017
26,Interchange,,                   Sam Burgess,                   Kyle Turner,,Rabbitohs,58:54,Bulldogs vs Rabbitohs,2017
27,Penalty - Offside Downtown,John Sutton,,,,Rabbitohs,58:35,Bulldogs vs Rabbitohs,2017
28,Interchange,,                   Adam Elliott,                   James Graham,,Bulldogs,57:59,Bulldogs vs Rabbitohs,2017
29,Penalty - 2nd Effort,Moses Mbye,,,,Bulldogs,57:20,Bulldogs vs Rabbitohs,2017
30,Line Dropout,Moses Mbye,,,,Bulldogs,56:49,Bulldogs vs Rabbitohs,2017
31,Error,Adam Reynolds,,,,Rabbitohs,53:46,Bulldogs vs Rabbitohs,2017
32,Interchange - Sin Bin Return,Raymond Faitala-Mariner,,,,Bulldogs,53:37,Bulldogs vs Rabbitohs,2017
