,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jack
                
                  Wighton",1.0,Fullback,,85:00,,-,-,-,-,-,-,-,,25.0,,15.0,135,56,,43,-,-,-,-,3,-,13,3.51s,1,3,-,,-,-,5,20.0,0.33,,66.7%,4.0,2,-,-,5,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
1,,"Nick
                
                  Cotric",2.0,Winger,,85:00,,-,-,-,-,-,-,-,,16.0,,6.0,39,9,,9,-,-,-,-,5,-,5,3.81s,1,7,-,,-,-,1,7.0,0.17,,66.7%,2.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
2,,"Jarrod
                
                  Croker",3.0,Centre,,85:00,,10,1,2,3,1,75%,-,,31.0,,6.0,52,-,,14,-,-,-,-,-,-,5,3.44s,-,-,-,,-,-,8,10.0,1.33,,88.9%,16.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
3,,"Joseph
                
                  Leilua",4.0,Centre,,71:00,,-,-,-,-,-,-,-,,14.0,,8.0,75,-,,24,-,-,-,-,3,-,5,2.39s,-,-,-,,1,2,3,10.0,0.38,,72.7%,8.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,4,-,-,-,,58:56,12:08,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
4,,"Jordan
                
                  Rapana",5.0,Winger,,85:00,,4,1,-,-,-,-,-,,28.0,,11.0,103,12,,24,-,-,-,-,3,-,10,3.79s,2,21,-,,-,2,14,27.0,1.27,,77.8%,7.0,1,1,-,-,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
5,,"Blake
                
                  Austin",6.0,Five-Eighth,,85:00,,-,-,-,-,-,-,-,,35.0,,4.0,39,-,,7,-,-,1,-,3,-,3,5.53s,-,-,-,,-,3,10,19.0,2.5,,82.4%,14.0,2,1,-,-,,7,201,-,1,-,-,1,-,,-,-,-,1,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
6,,"Aidan
                
                  Sezer",7.0,Halfback,,85:00,,-,-,-,-,-,-,-,,24.0,,1.0,-,-,,-,-,-,1,-,-,-,-,-,-,-,-,,-,-,20,24.0,20,,85%,17.0,2,1,-,-,,4,130,-,1,1,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
7,,"Junior
                
                  Paulo",8.0,Prop,,58:00,,-,-,-,-,-,-,-,,28.0,,15.0,155,29,,57,-,-,-,-,-,13,10,3.35s,-,-,-,,1,-,-,15.0,-,,75%,15.0,1,4,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,36:15,22:23,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
8,,"Josh
                
                  Hodgson",9.0,Hooker,,85:00,,-,-,-,-,-,-,-,,38.0,,10.0,88,-,,25,-,-,-,-,-,1,7,4.25s,7,68,-,,-,8,57,68.0,5.7,,82.6%,38.0,5,3,-,-,,3,97,1,-,1,-,-,-,,-,-,-,1,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
9,,"Shannon
                
                  Boyd",10.0,Prop,,56:00,,-,-,-,-,-,-,-,,27.0,,10.0,86,25,,28,-,-,-,-,1,7,10,3.65s,-,-,-,,-,1,-,10.0,-,,80.8%,21.0,3,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:10,25:15,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
10,,"Josh
                
                  Papalii",11.0,2nd Row,,85:00,,4,1,-,-,-,-,-,,79.0,,13.0,143,-,,49,1,-,-,-,7,13,11,3.01s,-,-,-,,1,1,4,17.0,0.31,,93.8%,30.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
11,,"Elliott
                
                  Whitehead",12.0,2nd Row,,85:00,,-,-,-,-,-,-,-,,31.0,,9.0,66,-,,18,-,-,-,-,-,8,8,3.66s,1,10,-,,-,1,4,13.0,0.44,,83%,39.0,6,2,-,-,,1,12,-,-,1,-,-,-,,-,-,-,1,-,-,-,,85:00,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
12,,"Joseph
                
                  Tapine",13.0,Lock,,53:00,,-,-,-,-,-,-,-,,26.0,,8.0,63,-,,26,-,-,-,-,3,8,7,3.49s,-,-,-,,1,1,1,9.0,0.12,,80.8%,21.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,27:17,26:04,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
13,,"Adam
                
                  Clydsdale",14.0,Interchange,,-,,-,-,-,-,-,-,-,,-1.0,,1.0,8,-,,-,-,-,-,-,-,-,-,-,1,8,-,,-,-,6,7.0,6,,100%,1.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,04:59,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
14,,"Luke
                
                  Bateman",15.0,Interchange,,32:00,,-,-,-,-,-,-,-,,18.0,,3.0,28,10,,3,-,-,-,-,-,2,2,3.98s,-,-,-,,-,1,1,4.0,0.33,,87%,20.0,1,2,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,31:26,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
15,,"Dunamis
                
                  Lui",16.0,Interchange,,19:00,,-,-,-,-,-,-,-,,8.0,,3.0,27,-,,4,-,-,-,-,-,3,2,2.94s,-,-,-,,-,-,-,3.0,-,,83.3%,10.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,18:30,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
16,,"Iosia
                
                  Soliola",17.0,Interchange,,46:00,,-,-,-,-,-,-,-,,25.0,,6.0,38,-,,11,-,-,-,-,-,4,6,2.94s,1,2,-,,-,-,2,8.0,0.33,,95.5%,21.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,45:35,-,Raiders,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,85:00,,4,1,-,-,-,-,-,,33.0,,17.0,168.0,26,,38,-,-,-,-,4,-,15,3.41s,-,-,-,,-,4,16,33.0,0.94,,50%,2.0,2,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,85:00,-,Sea,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
1,,"Jorge
                
                  Taufua",2.0,Winger,,85:00,,-,-,-,-,-,-,-,,40.0,,15.0,150.0,16,,32,1,-,-,-,6,-,13,4.05s,-,-,-,,-,1,1,16.0,0.07,,60%,3.0,1,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,85:00,-,Sea,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
2,,"Dylan
                
                  Walker",3.0,Centre,,85:00,,12,1,2,3,2,66.67%,-,,56.0,,9.0,101.0,-,,25,1,-,-,-,6,-,7,4.57s,1,16,-,,-,1,7,14.0,0.78,,82.4%,14.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,1,-,-,,85:00,-,Sea,8,2017-04-21T08:00:00Z,Raiders vs Sea Eagles,2017
