,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,27,,9.0,94.0,34,,24.0,-,1,-,-,1,-,8.0,4.22s,1,6,-,,-,1,12,21.0,1.33,,85.7%,12,-,2,-,-,,1,30,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,16,,16.0,115.0,20,,40.0,-,-,-,-,2,-,14.0,2.92s,-,-,-,,-,-,2,19.0,0.12,,-,-,1,1,1,2,,1,34,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
2,,"James
                
                  Roberts",3.0,Centre,,75:00,,4,1,-,-,-,-,-,,47,,10.0,180.0,-,,27.0,1,-,-,-,6,-,8.0,3s,3,32,-,,-,1,3,12.0,0.3,,53.8%,7,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,74:33,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
3,,"Tautau
                
                  Moga",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,43,,12.0,139.0,-,,49.0,-,-,-,-,4,-,10.0,3.13s,-,-,-,,-,1,2,15.0,0.17,,87.5%,14,-,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
4,,"Jordan
                
                  Kahu",5.0,Winger,,80:00,,12,1,4,6,-,66.67%,-,,41,,9.0,96.0,7,,25.0,-,-,1,-,3,-,7.0,3.57s,-,-,-,,-,-,4,12.0,0.44,,80%,4,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,37,,6.0,38.0,-,,2.0,-,1,1,-,3,-,2.0,3.78s,1,13,-,,1,4,26,40.0,4.33,,63.6%,14,4,4,-,-,,11,247,2,3,2,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
6,,"Kodi
                
                  Nikorima",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,46,,12.0,69.0,-,,18.0,-,-,-,-,3,-,4.0,3.51s,-,-,-,,1,3,19,32.0,1.58,,74.4%,29,8,2,-,-,,6,171,-,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
7,,"Herman
                
                  Ese'ese",16.0,Prop,,40:00,,-,-,-,-,-,-,-,,33,,12.0,107.0,46,,39.0,-,-,-,-,1,8,11.0,3.13s,-,-,-,,-,-,-,12.0,-,,88.9%,24,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,24:10,16:26,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
8,,"Andrew
                
                  McCullough",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,61,,7.0,58.0,-,,28.0,-,1,1,-,-,-,4.0,3.18s,7,58,-,,-,10,104,114.0,14.86,,86.9%,53,5,3,-,-,,6,210,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
9,,"Adam
                
                  Blair",10.0,Prop,,47:00,,-,-,-,-,-,-,-,,16,,8.0,58.0,-,,27.0,-,-,-,-,-,7,6.0,3.29s,-,-,-,,1,1,3,10.0,0.38,,75%,21,3,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,25:50,14:33,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
10,,"Alex
                
                  Glenn",14.0,2nd Row,,55:00,,-,-,-,-,-,-,-,,26,,7.0,72.0,-,,24.0,1,-,-,-,1,7,6.0,2.79s,-,-,-,,-,-,7,13.0,1,,81.8%,18,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,48:32,06:50,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
11,,"Matt
                
                  Gillett",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,50,,12.0,89.0,-,,33.0,2,-,-,-,3,10,8.0,4.1s,1,10,-,,-,1,2,13.0,0.17,,74%,37,10,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
12,,"Josh
                
                  McGuire",13.0,Lock,,66:00,,-,-,-,-,-,-,-,,62,,19.0,170.0,-,,75.0,-,-,-,-,2,18,19.0,3.83s,-,-,-,,-,1,6,26.0,0.32,,88%,44,4,2,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,34:40,31:28,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
13,,"Korbin
                
                  Sims",8.0,Interchange,,35:00,,4,1,-,-,-,-,-,,48,,11.0,95.0,14,,34.0,1,-,-,-,4,9,8.0,2.62s,-,-,-,,2,-,1,12.0,0.09,,88.2%,15,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:58,07:28,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
14,,"Sam
                
                  Thaiday",11.0,Interchange,,54:00,,-,-,-,-,-,-,-,,25,,9.0,72.0,-,,32.0,-,-,-,-,3,9,9.0,2.59s,-,-,-,,-,-,-,10.0,-,,78.9%,15,2,2,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,54:10,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
15,,"Joe
                
                  Ofahengaue",15.0,Interchange,,22:00,,-,-,-,-,-,-,-,,16,,11.0,93.0,21,,34.0,-,-,-,-,-,9,11.0,3.29s,-,-,-,,-,2,-,11.0,-,,86.7%,13,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,22:04,-,Broncos,9,2017-04-27T09:50:00Z,Broncos vs Panthers,2017
