,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kalyn
                
                  Ponga",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,50.0,,12.0,131.0,110,,21,1,-,-,-,10,-,14.0,4.32s,2,13,-,,-,2,3,18.0,0.25,,33.3%,1.0,2,-,-,8,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
1,,"Kyle
                
                  Feldt",2.0,Winger,,80:00,,2,-,1,1,-,100%,-,,19.0,,12.0,103.0,40,,30,-,-,-,-,4,-,11.0,4.12s,-,-,-,,-,-,4,18.0,0.33,,75%,3.0,1,-,-,2,,-,-,-,-,-,-,-,-,,2,1,-,2,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
2,,"Justin
                
                  O'Neill",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,22.0,,9.0,77.0,-,,22,-,-,-,-,1,1,7.0,4.13s,1,11,-,,1,1,1,11.0,0.11,,78.9%,15.0,3,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
3,,"Kane
                
                  Linnett",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,12.0,100.0,-,,43,-,-,-,-,1,-,11.0,3.53s,-,-,-,,-,-,-,12.0,-,,100%,10.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
4,,"Antonio
                
                  Winterstein",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,28.0,,12.0,124.0,7,,52,-,-,-,-,2,-,11.0,3.5s,1,11,-,,-,-,1,17.0,0.08,,100%,1.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
5,,"John
                
                  Asiata",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,22.0,,8.0,45.0,3,,17,-,-,1,-,-,-,5.0,3.45s,-,-,-,,1,6,32,46.0,4,,88.9%,16.0,2,-,-,2,,4,72,-,-,-,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
6,,"Michael
                
                  Morgan",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,45.0,,13.0,95.0,-,,41,-,-,-,-,3,-,11.0,3.2s,-,-,-,,-,9,22,48.0,1.69,,75.9%,22.0,6,1,-,-,,13,426,-,3,2,-,-,-,,2,-,1,-,-,-,-,,80:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
7,,"Patrick
                
                  Kaufusi",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,29.0,,7.0,62.0,-,,29,-,-,-,-,1,7,7.0,3.57s,-,-,-,,-,-,2,9.0,0.29,,96%,24.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,19:31,21:28,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
8,,"Ray
                
                  Thompson",14.0,Hooker,,51:00,,-,-,-,-,-,-,-,,27.0,,4.0,14.0,-,,-,-,-,-,-,-,1,1.0,6.52s,3,14,-,,-,3,67,61.0,16.75,,88.9%,32.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:53,19:40,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
9,,"Scott
                
                  Bolton",10.0,Prop,,58:00,,-,-,-,-,-,-,-,,45.0,,11.0,84.0,22,,28,-,-,-,-,-,8,8.0,3.63s,-,-,-,,-,-,8,18.0,0.73,,100%,39.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,32:04,26:03,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,76:00,,-,-,-,-,-,-,-,,36.0,,8.0,71.0,-,,41,-,-,-,-,1,8,8.0,4.8s,-,-,-,,-,-,1,14.0,0.12,,92.5%,37.0,3,-,1,1,,-,-,-,-,-,-,-,-,,3,2,-,-,-,-,-,,76:00,-,Cowboys,9,2017-04-28T09:50:00Z,Cowboys vs Eels,2017
