,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Ben
                
                  Hampton",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,20.0,,11.0,99.0,36,,30,-,-,-,-,5,-,9.0,3.58s,-,-,-,,-,4,12,23.0,1.09,,75%,3.0,1,-,-,3,,-,-,-,-,-,-,-,-,,4,2,-,-,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
1,,"Kyle
                
                  Feldt",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,34.0,,7.0,53.0,-,,13,1,-,-,-,3,-,4.0,3.06s,1,4,-,,-,7,6,13.0,0.86,,80%,12.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
2,,"Justin
                
                  O'Neill",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,36.0,,9.0,64.0,-,,14,1,-,-,-,3,-,8.0,3.03s,1,14,-,,-,3,1,11.0,0.11,,89.5%,17.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
3,,"Javid
                
                  Bowen",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,15.0,,7.0,51.0,2,,13,-,-,-,-,3,-,7.0,4.03s,-,-,-,,-,1,1,11.0,0.14,,80%,4.0,-,1,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
4,,"Antonio
                
                  Winterstein",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,10.0,77.0,8,,21,-,-,-,-,-,-,8.0,3.33s,-,-,-,,1,-,-,11.0,-,,100%,3.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
5,,"Te Maire
                
                  Martin",14.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,17.0,,10.0,77.0,-,,24,-,-,-,-,-,-,7.0,4.01s,-,-,-,,-,9,17,29.0,1.7,,83.3%,15.0,-,3,-,-,,3,35,-,2,1,-,-,-,,2,2,-,1,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
6,,"Johnathan
                
                  Thurston",7.0,Halfback,,80:00,,4,-,1,4,1,40%,-,,33.0,,7.0,33.0,-,,2,-,1,2,-,-,-,2.0,4.68s,-,-,-,,-,8,52,64.0,7.43,,85.7%,12.0,2,-,-,-,,9,205,-,4,3,-,1,1,,2,1,-,1,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
7,,"Matthew
                
                  Scott",8.0,Prop,,33:00,,-,-,-,-,-,-,-,,22.0,,10.0,95.0,13,,38,-,-,-,-,-,9,9.0,3.29s,-,-,-,,1,2,1,11.0,0.1,,85%,17.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:11,16:08,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
8,,"Jake
                
                  Granville",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,44.0,,4.0,23.0,1,,-,-,1,1,-,-,1,1.0,4s,2,16,-,,2,11,129,123.0,32.25,,91.9%,34.0,2,1,-,1,,1,12,1,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
9,,"Jordan
                
                  McLean",10.0,Prop,,42:00,,-,-,-,-,-,-,-,,24.0,,8.0,57.0,-,,26,-,-,-,-,-,8,8.0,3.21s,-,-,-,,-,-,2,10.0,0.25,,87.5%,21.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:59,17:28,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,55.0,,9.0,88.0,-,,27,-,-,-,-,6,9,7.0,4.04s,-,-,-,,1,-,4,13.0,0.44,,80%,20.0,2,3,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
11,,"Ethan
                
                  Lowe",12.0,2nd Row,,63:00,,-,-,-,-,-,-,-,,41.0,,13.0,99.0,-,,34,-,-,-,-,1,13,11.0,3.95s,-,-,-,,1,1,3,16.0,0.23,,91.7%,33.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,62:31,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
12,,"Jason
                
                  Taumalolo",13.0,Lock,,52:00,,-,-,-,-,-,-,-,,69.0,,17.0,184.0,14,,75,-,-,-,-,10,16,13.0,3.72s,-,-,-,,1,8,-,17.0,-,,96.4%,27.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,2,1,1,-,-,-,,31:18,21:28,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
13,,"Coen
                
                  Hess",15.0,Interchange,,55:00,,4,1,-,-,-,-,-,,48.0,,14.0,99.0,28,,30,1,-,-,-,3,11,12.0,3.2s,-,-,-,,-,3,3,17.0,0.21,,91.7%,22.0,-,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,55:01,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
14,,"Scott
                
                  Bolton",16.0,Interchange,,34:00,,-,-,-,-,-,-,-,,28.0,,13.0,127.0,-,,45,-,-,-,-,1,13,12.0,3.77s,-,-,-,,-,3,5,18.0,0.38,,83.3%,15.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,33:51,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
15,,"John
                
                  Asiata",17.0,Interchange,,28:00,,-,-,-,-,-,-,-,,25.0,,10.0,87.0,-,,28,-,-,-,-,1,9,8.0,3.86s,-,-,-,,1,6,4,13.0,0.4,,85.7%,12.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:14,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
16,,"Corey
                
                  Jensen",18.0,Interchange,,13:00,,-,-,-,-,-,-,-,,11.0,,6.0,35.0,-,,8,-,-,-,-,1,6,6.0,4.14s,-,-,-,,-,-,1,7.0,0.17,,83.3%,5.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:49,-,Cowboys,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
0,,"Valentine
                
                  Holmes",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,8.0,,12.0,93.0,19,,30,-,-,-,-,2,-,8.0,4.21s,-,-,-,,3,4,6,20.0,0.5,,25%,2.0,6,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Sharks,1,2018-03-09T09:05:00Z,Cowboys vs Sharks,2018
