,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alex
                
                  Johnston",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,36,,12,126,28,,29,1,1,-,-,6,-,9,3.34s,1,12,-,,-,6,11,24,0.92,,75%,3,-,1,-,3,,-,-,-,-,-,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
1,,"Richard
                
                  Kennar",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,49,,10,123,30,,35,2,-,-,-,3,1,8,3.28s,2,26,-,,-,-,6,16,0.6,,75%,6,2,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
2,,"Dane
                
                  Gagai",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,48,,12,126,2,,26,1,2,2,-,4,1,10,2.91s,-,-,-,,-,1,12,20,1,,85%,17,3,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
3,,"Greg
                
                  Inglis",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,26,,12,121,-,,41,-,-,-,-,3,-,9,4.44s,-,-,-,,-,-,6,14,0.5,,85.7%,6,1,-,-,-,,1,25,-,1,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
4,,"Robert
                
                  Jennings",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,33,,11,81,8,,22,-,1,1,-,5,-,11,3.66s,-,-,-,,1,-,2,13,0.18,,50%,1,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
5,,"Cody
                
                  Walker",6.0,Five-Eighth,,80:00,,8,2,-,-,-,-,-,,54,,6,35,-,,-,2,-,-,-,4,-,2,4.3s,-,-,-,,-,6,31,37,5.17,,92%,23,2,-,-,-,,1,3,-,-,1,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
6,,"Adam
                
                  Reynolds",7.0,Halfback,,80:00,,4,-,2,4,-,50%,-,,35,,7,42,-,,3,-,2,-,-,-,-,1,2.76s,-,-,-,,-,8,38,47,5.43,,78.9%,15,-,4,-,-,,7,204,1,4,2,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
7,,"Thomas
                
                  Burgess",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,35,,12,115,-,,44,-,-,-,-,-,12,12,3.48s,-,-,-,,-,-,-,12,-,,92.3%,24,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:51,20:45,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
8,,"Damien
                
                  Cook",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,56,,9,88,-,,19,1,-,-,-,5,-,3,5.8s,7,77,-,,-,13,90,94,10,,84.9%,45,5,3,-,-,,-,-,-,-,-,-,-,-,,2,2,1,1,-,-,-,,80:00,-,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
9,,"Mark
                
                  Nicholls",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,28,,6,63,16,,30,-,-,-,-,-,5,5,4.02s,-,-,-,,-,1,1,7,0.17,,84.6%,22,-,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:31,10:59,Rabbitohs,1,2018-03-10T08:00:00Z,Rabbitohs vs Warriors,2018
