,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Raiders vs Sharks,2018
1,Conversion-Made,Chad Townsend,,,16-24,Sharks,80:00,Raiders vs Sharks,2018
2,Try,Valentine Holmes,,,16-22,Sharks,78:45,Raiders vs Sharks,2018
3,Error,Aidan Sezer,,,,Raiders,78:32,Raiders vs Sharks,2018
4,Error,James Segeyaro,,,,Sharks,77:31,Raiders vs Sharks,2018
5,Interchange,,                   Matt Prior,                   Jayden Brailey,,Sharks,76:44,Raiders vs Sharks,2018
6,Error,Andrew Fifita,,,,Sharks,75:15,Raiders vs Sharks,2018
7,Linebreak,James Segeyaro,,,,Sharks,74:50,Raiders vs Sharks,2018
8,Interchange,,                   Ata Hingano,                   Siliva Havili,,Raiders,73:07,Raiders vs Sharks,2018
9,Error,Ata Hingano,,,,Raiders,71:18,Raiders vs Sharks,2018
10,Interchange,,                   Shannon Boyd,                   Dunamis Lui,,Raiders,70:47,Raiders vs Sharks,2018
11,Error,Matt Moylan,,,,Sharks,70:31,Raiders vs Sharks,2018
12,Interchange,,                   Jack Williams,                   Ava Seumanufagai,,Sharks,69:37,Raiders vs Sharks,2018
13,Linebreak,Valentine Holmes,,,,Sharks,68:32,Raiders vs Sharks,2018
14,Conversion-Missed,Chad Townsend,,,,Sharks,67:35,Raiders vs Sharks,2018
15,Try,Sosaia Feki,,,16-18,Sharks,66:01,Raiders vs Sharks,2018
16,Linebreak,Sosaia Feki,,,,Sharks,66:01,Raiders vs Sharks,2018
17,Interchange,,                   Siliva Havili,                   Iosia Soliola,,Raiders,64:48,Raiders vs Sharks,2018
18,Error,Aidan Sezer,,,,Raiders,64:46,Raiders vs Sharks,2018
19,Error,Edrick Lee,,,,Sharks,61:58,Raiders vs Sharks,2018
20,Penalty - Offside inside 10m,Luke Bateman,,,,Raiders,60:36,Raiders vs Sharks,2018
21,Penalty - Leg Pull,Matt Moylan,,,,Sharks,59:11,Raiders vs Sharks,2018
22,Penalty - Flop,Chad Townsend,,,,Sharks,58:25,Raiders vs Sharks,2018
23,Error,James Segeyaro,,,,Sharks,57:26,Raiders vs Sharks,2018
24,Conversion-Made,Chad Townsend,,,16-14,Sharks,56:32,Raiders vs Sharks,2018
25,Interchange,,                   Dunamis Lui,                   Shannon Boyd,,Raiders,56:28,Raiders vs Sharks,2018
26,Try,Jack Williams,,,16-12,Sharks,55:04,Raiders vs Sharks,2018
27,Error,Aidan Sezer,,,,Raiders,53:18,Raiders vs Sharks,2018
28,Error,Sosaia Feki,,,,Sharks,52:29,Raiders vs Sharks,2018
29,Interchange,,                   Braden Uele,                   Matt Prior,,Sharks,51:43,Raiders vs Sharks,2018
30,Penalty - Offside inside 10m,Joseph Tapine,,,,Raiders,51:37,Raiders vs Sharks,2018
31,Penalty - Offside inside 10m,Luke Bateman,,,,Raiders,50:10,Raiders vs Sharks,2018
32,Interchange,,                   Jayden Brailey,                   James Segeyaro,,Sharks,47:49,Raiders vs Sharks,2018
33,Interchange,,                   Charlie Gubb,                   Luke Bateman,,Raiders,47:31,Raiders vs Sharks,2018
34,Error,Joseph Paulo,,,,Sharks,46:31,Raiders vs Sharks,2018
35,Error,Jarrod Croker,,,,Raiders,45:18,Raiders vs Sharks,2018
36,Error,Ricky Leutele,,,,Sharks,44:10,Raiders vs Sharks,2018
37,Kick Bomb,Chad Townsend,,,,Sharks,44:04,Raiders vs Sharks,2018
38,Penalty - Offside Downtown,Joseph Leilua,,,,Raiders,41:02,Raiders vs Sharks,2018
39,Kick Bomb,Aidan Sezer,,,,Raiders,41:00,Raiders vs Sharks,2018
40,Penalty Shot-Made,Jarrod Croker,,,16-8,Raiders,39:04,Raiders vs Sharks,2018
41,Penalty - Offside inside 10m,Matt Moylan,,,,Sharks,37:25,Raiders vs Sharks,2018
42,Error,Matt Moylan,,,,Sharks,36:19,Raiders vs Sharks,2018
43,Penalty Shot-Made,Jarrod Croker,,,14-8,Raiders,34:10,Raiders vs Sharks,2018
44,Interchange,,                   Matt Prior,                   Braden Uele,,Sharks,33:17,Raiders vs Sharks,2018
45,Penalty - Offside inside 10m,Matt Prior,,,,Sharks,32:36,Raiders vs Sharks,2018
46,Error,Charlie Gubb,,,,Raiders,30:47,Raiders vs Sharks,2018
47,Conversion-Made,Jarrod Croker,,,12-8,Raiders,29:44,Raiders vs Sharks,2018
48,Interchange,,                   Blake Austin,                   Ata Hingano,,Raiders,29:13,Raiders vs Sharks,2018
49,Try,Blake Austin,,,10-8,Raiders,27:43,Raiders vs Sharks,2018
50,Linebreak,Blake Austin,,,,Raiders,27:42,Raiders vs Sharks,2018
51,Penalty - Leg Pull,Joseph Paulo,,,,Sharks,26:58,Raiders vs Sharks,2018
52,Penalty - Offside inside 10m,Jayden Brailey,,,,Sharks,26:12,Raiders vs Sharks,2018
53,Penalty - Slow Peel,Andrew Fifita,,,,Sharks,25:36,Raiders vs Sharks,2018
54,Kick Bomb,Chad Townsend,,,,Sharks,25:03,Raiders vs Sharks,2018
55,Interchange,,                   Iosia Soliola,                   Charlie Gubb,,Raiders,23:33,Raiders vs Sharks,2018
56,Penalty Shot-Made,Chad Townsend,,,6-8,Sharks,23:30,Raiders vs Sharks,2018
57,Penalty - Slow Peel,Joseph Tapine,,,,Raiders,21:48,Raiders vs Sharks,2018
58,Error,Elliott Whitehead,,,,Raiders,20:24,Raiders vs Sharks,2018
59,Interchange,,                   Shannon Boyd,                   Dunamis Lui,,Raiders,20:19,Raiders vs Sharks,2018
60,Interchange,,                   Ava Seumanufagai,                   Jack Williams,,Sharks,19:11,Raiders vs Sharks,2018
61,Error,Aidan Sezer,,,,Raiders,18:21,Raiders vs Sharks,2018
62,Kick Bomb,Blake Austin,,,,Raiders,16:55,Raiders vs Sharks,2018
