,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,57.0,,16.0,196.0,24,,67,1,-,1,-,9,1,9.0,3.35s,1,14,-,,1,3,11,24.0,0.69,,66.7%,6.0,3,-,-,2,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
1,,"Matthew
                
                  Wright",2.0,Winger,,74:00,,-,-,-,-,-,-,-,,21.0,,10.0,96.0,21,,23,-,-,-,-,2,-,11.0,3.57s,-,-,-,,-,-,3,16.0,0.3,,100%,3.0,-,-,-,1,,2,5,1,-,1,-,-,-,,-,-,-,-,-,-,-,,74:29,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
2,,"Moses
                
                  Suli",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,23.0,,15.0,149.0,-,,54,-,-,-,-,3,2,13.0,3.52s,-,-,-,,-,1,4,16.0,0.27,,72.7%,8.0,2,1,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
3,,"Brian
                
                  Kelly",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,12.0,105.0,-,,42,-,1,1,-,2,-,10.0,3.48s,-,-,-,,1,-,6,16.0,0.5,,81%,17.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,23.0,,10.0,83.0,9,,20,1,-,-,-,1,1,9.0,3.8s,1,4,-,,-,-,3,13.0,0.3,,66.7%,4.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
5,,"Dylan
                
                  Walker",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,27.0,,11.0,101.0,12,,19,-,1,1,-,4,-,6.0,5.1s,1,5,-,,1,4,29,40.0,2.64,,71.4%,15.0,6,-,-,-,,2,77,-,1,-,-,-,1,,2,1,-,3,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,14,-,4,6,3,77.78%,-,,64.0,,6.0,34.0,-,,-,-,-,1,-,2,-,2.0,3.62s,-,-,-,,1,3,35,50.0,5.83,,92.9%,26.0,2,-,-,-,,12,293,-,1,3,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
7,,"Addin
                
                  Fonua-Blake",8.0,Prop,,49:00,,-,-,-,-,-,-,-,,49.0,,14.0,155.0,56,,72,-,-,-,-,3,9,13.0,3.49s,-,-,-,,1,-,2,16.0,0.14,,95.8%,23.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,18:01,30:58,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,82.0,,9.0,90.0,4,,26,1,-,-,-,6,4,7.0,3.51s,4,50,-,,-,7,107,116.0,11.89,,97.7%,42.0,-,1,-,1,,1,2,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
9,,"Martin
                
                  Taupau",10.0,Prop,,57:00,,-,-,-,-,-,-,-,,47.0,,9.0,99.0,-,,46,-,-,-,-,2,9,7.0,2.6s,-,-,-,,2,-,-,9.0,-,,91.4%,32.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,28:23,28:03,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
10,,"Joel
                
                  Thompson",11.0,2nd Row,,80:00,,8,2,-,-,-,-,-,,68.0,,10.0,104.0,-,,40,1,-,-,-,7,10,9.0,3.53s,-,-,-,,-,-,-,13.0,-,,83.3%,25.0,3,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
11,,"Shaun
                
                  Lane",12.0,2nd Row,,55:00,,-,-,-,-,-,-,-,,44.0,,9.0,99.0,-,,47,-,-,-,-,2,9,6.0,3.23s,-,-,-,,3,-,-,9.0,-,,89.3%,25.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,51:56,03:22,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
12,,"Jake
                
                  Trbojevic",13.0,Lock,,80:00,,8,2,-,-,-,-,-,,91.0,,19.0,199.0,-,,66,1,-,-,-,4,18,14.0,2.71s,-,-,-,,1,6,8,26.0,0.42,,97.8%,44.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
13,,"Frank
                
                  Winterstein",15.0,Interchange,,38:00,,-,-,-,-,-,-,-,,10.0,,2.0,15.0,-,,3,-,-,-,-,-,2,2.0,3s,-,-,-,,-,-,-,2.0,-,,78.6%,11.0,-,3,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,38:29,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
14,,"Lloyd
                
                  Perrett",16.0,Interchange,,17:00,,-,-,-,-,-,-,-,,20.0,,5.0,38.0,-,,16,-,-,-,-,-,5,2.0,2.86s,-,-,-,,2,-,-,5.0,-,,92.9%,13.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:17,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
15,,"Taniela
                
                  Paseka",17.0,Interchange,,24:00,,-,-,-,-,-,-,-,,18.0,,6.0,76.0,18,,36,-,-,-,-,1,5,5.0,3.33s,-,-,-,,-,-,-,6.0,-,,100%,10.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,23:30,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
16,,"Tom
                
                  Wright",18.0,Interchange,,06:00,,-,-,-,-,-,-,-,,3.0,,2.0,15.0,-,,6,-,-,-,-,-,2,1.0,3.16s,-,-,-,,-,-,-,2.0,-,,100%,4.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,05:31,-,Sea,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,10.0,,15.0,98.0,16,,40,-,-,-,-,2,-,10,3.89s,-,-,-,,-,8,18,31.0,1.2,,50%,3.0,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,16.0,,12.0,141.0,59,,37,-,-,-,-,-,1,11,3.35s,-,-,-,,-,-,-,14.0,-,,75%,3.0,1,-,-,2,,1,21,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
2,,"James
                
                  Roberts",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,42.0,,10.0,91.0,-,,21,-,1,1,-,5,-,7,3.43s,-,-,-,,1,1,5,12.0,0.5,,81.3%,13.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
3,,"Jack
                
                  Bird",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,21.0,,6.0,28.0,-,,7,-,-,-,-,1,-,6,3.91s,-,-,-,,-,2,9,13.0,1.5,,80.6%,25.0,4,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
4,,"Jamayne
                
                  Isaako",5.0,Winger,,80:00,,12,1,3,4,1,80%,-,,32.0,,9.0,76.0,20,,16,1,-,-,-,3,1,7,3.23s,-,-,-,,-,-,4,14.0,0.44,,57.1%,4.0,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,48.0,,16.0,123.0,-,,14,-,1,-,-,3,-,5,3.39s,-,-,-,,2,10,30,47.0,1.88,,77.8%,7.0,2,-,-,-,,8,299,-,1,1,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
6,,"Kodi
                
                  Nikorima",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,23.0,,5.0,54.0,-,,20,-,1,1,-,1,-,4,2.47s,-,-,-,,-,7,25,33.0,5,,73.9%,17.0,5,1,-,-,,3,99,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
7,,"Matthew
                
                  Lodge",8.0,Prop,,48:00,,-,-,-,-,-,-,-,,29.0,,14.0,122.0,33,,46,-,-,-,-,1,9,11,2.96s,-,-,-,,1,-,5,18.0,0.36,,80%,16.0,1,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,25:18,23:01,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
8,,"Andrew
                
                  McCullough",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,58.0,,2.0,5.0,-,,-,1,1,1,-,3,-,-,-,2,5,-,,-,7,91,89.0,45.5,,81.5%,44.0,6,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
9,,"Sam
                
                  Thaiday",10.0,Prop,,40:00,,4,1,-,-,-,-,-,,45.0,,6.0,52.0,-,,19,1,-,-,-,2,6,4,3.64s,-,-,-,,1,1,3,9.0,0.5,,85.7%,24.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:25,20:01,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
10,,"Alex
                
                  Glenn",11.0,2nd Row,,68:00,,-,-,-,-,-,-,-,,33.0,,11.0,88.0,-,,33,-,-,-,-,1,10,9,2.95s,-,-,-,,-,-,3,14.0,0.27,,78.4%,29.0,3,5,-,-,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,68:27,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
11,,"Jaydn
                
                  Su'A",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,41.0,,16.0,140.0,-,,40,1,-,-,-,1,15,11,3.75s,-,-,-,,2,-,2,17.0,0.13,,83.3%,30.0,5,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
12,,"Tevita
                
                  Pangai Junior",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,37.0,,16.0,163.0,-,,61,1,-,-,-,1,16,13,3.15s,-,-,-,,1,2,3,20.0,0.19,,93.8%,15.0,-,1,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,31:18,27:07,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
13,,"Payne
                
                  Haas",14.0,Interchange,,09:00,,-,-,-,-,-,-,-,,6.0,,1.0,7.0,-,,3,-,-,-,-,-,1,1,2.48s,-,-,-,,-,-,-,1.0,-,,83.3%,10.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,08:45,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
14,,"Joe
                
                  Ofahengaue",15.0,Interchange,,49:00,,-,-,-,-,-,-,-,,39.0,,11.0,103.0,16,,31,-,-,-,-,-,10,11,2.81s,-,-,-,,-,-,1,12.0,0.09,,94.3%,33.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,37:32,11:33,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
15,,"Korbin
                
                  Sims",16.0,Interchange,,28:00,,-,-,-,-,-,-,-,,12.0,,4.0,22.0,-,,5,-,-,-,-,-,4,3,3.83s,-,-,-,,1,1,-,4.0,-,,78.6%,22.0,6,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:34,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
16,,"Tom
                
                  Opacic",17.0,Interchange,,20:00,,-,-,-,-,-,-,-,,-1.0,,3.0,12.0,2,,5,-,-,-,-,-,-,2,3.58s,-,-,-,,-,-,3,5.0,1,,57.1%,4.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,19:55,-,Broncos,10,2018-05-12T09:35:00Z,Sea Eagles vs Broncos,2018
