,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Clinton
                
                  Gutherson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,39.0,,17.0,181.0,80,,27.0,1,-,-,-,2,-,11.0,4.13s,2,25,-,,-,5,33,45.0,1.94,,80%,4.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
1,,"Bevan
                
                  French",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,7.0,,3.0,28.0,11,,8.0,-,-,-,-,1,-,4.0,3.59s,1,12,-,,-,2,7,13.0,2.33,,83.3%,5.0,1,-,-,1,,1,5,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
2,,"Michael
                
                  Jennings",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,13.0,99.0,-,,22.0,-,-,-,-,1,-,7.0,3.01s,1,9,-,,1,-,6,17.0,0.46,,82.4%,14.0,2,1,-,1,,-,-,-,-,-,-,-,-,,3,3,-,-,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,31.0,,15.0,100.0,-,,26.0,-,-,-,-,2,2,7.0,3.17s,-,-,-,,5,1,11,22.0,0.73,,100%,9.0,-,-,-,-,,1,5,-,-,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
4,,"George
                
                  Jennings",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,32.0,,14.0,113.0,29,,39.0,-,-,-,-,4,1,13.0,3.61s,-,-,-,,1,-,2,16.0,0.14,,87.5%,7.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
5,,"Corey
                
                  Norman",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,32.0,,12.0,92.0,-,,27.0,-,1,1,-,1,-,8.0,3.15s,-,-,-,,-,10,33,47.0,2.75,,69.2%,18.0,4,4,-,-,,6,107,1,1,3,-,1,-,,1,-,-,1,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
6,,"Mitchell
                
                  Moses",7.0,Halfback,,80:00,,6,-,2,2,1,100%,-,,27.0,,7.0,42.0,-,,3.0,-,-,-,-,1,-,1.0,3.24s,-,-,-,,-,5,39,48.0,5.57,,80%,16.0,3,1,-,-,,6,136,2,1,3,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
7,,"Daniel
                
                  Alvaro",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,37.0,,11.0,93.0,28,,29.0,-,-,-,-,1,9,10.0,3.55s,-,-,-,,1,-,1,12.0,0.09,,89.3%,25.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:34,14:02,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
8,,"Cameron
                
                  King",9.0,Hooker,,30:00,,-,-,-,-,-,-,-,,17.0,,2.0,25.0,-,,5.0,-,-,-,-,-,1,2.0,3.3s,1,9,-,,-,-,17,19.0,8.5,,100%,17.0,-,-,-,-,,1,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,30:25,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
9,,"Peni
                
                  Terepo",10.0,Prop,,56:00,,-,-,-,-,-,-,-,,59.0,,13.0,127.0,16,,29.0,-,1,1,-,3,12,12.0,3.06s,-,-,-,,-,1,3,15.0,0.23,,100%,31.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:18,30:33,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
10,,"Beau
                
                  Scott",11.0,2nd Row,,56:00,,-,-,-,-,-,-,-,,27.0,,7.0,54.0,-,,21.0,-,-,-,-,1,7,7.0,4.54s,-,-,-,,-,-,2,9.0,0.29,,88.5%,23.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,56:01,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
11,,"Tepai
                
                  Moeroa",12.0,2nd Row,,77:00,,-,-,-,-,-,-,-,,24.0,,9.0,75.0,-,,29.0,-,-,-,-,-,9,8.0,3.27s,-,-,-,,-,-,-,9.0,-,,79.4%,27.0,4,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,76:48,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
12,,"Manu
                
                  Ma'u",13.0,Lock,,80:00,,4,1,-,-,-,-,-,,69.0,,18.0,136.0,-,,50.0,1,-,-,-,5,18,13.0,2.82s,-,-,-,,-,3,3,21.0,0.17,,90.7%,39.0,3,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
13,,"Will
                
                  Smith",14.0,Interchange,,50:00,,-,-,-,-,-,-,-,,32.0,,6.0,43.0,-,,10.0,-,-,-,-,1,1,4.0,3.69s,5,41,1,,1,2,68,75.0,11.33,,87.1%,27.0,2,2,-,-,,1,40,-,-,-,-,-,-,,1,1,-,-,-,-,-,,49:34,-,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
14,,"Suaia
                
                  Matagi",15.0,Interchange,,31:00,,-,-,-,-,-,-,-,,22.0,,15.0,151.0,63,,46.0,-,-,-,-,-,10,13.0,3.33s,-,-,-,,-,-,1,15.0,0.07,,90%,9.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:52,09:57,Eels,11,2018-05-18T08:00:00Z,Eels vs Warriors,2018
