,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Bulldogs,2018
1,Error,Moses Mbye,,,,Bulldogs,79:54,Sharks vs Bulldogs,2018
2,Penalty - Crowding,Jack Williams,,,,Sharks,79:36,Sharks vs Bulldogs,2018
3,Penalty Shot-Made,Moses Mbye,,,22-16,Bulldogs,79:16,Sharks vs Bulldogs,2018
4,Sin Bin,Josh Dugan,,,,Sharks,79:10,Sharks vs Bulldogs,2018
5,Penalty - Professional Foul,Josh Dugan,,,,Sharks,79:07,Sharks vs Bulldogs,2018
6,Penalty - Slow Peel,Josh Dugan,,,,Sharks,79:01,Sharks vs Bulldogs,2018
7,Linebreak,Will Hopoate,,,,Bulldogs,78:59,Sharks vs Bulldogs,2018
8,Penalty - 2nd Effort,Andrew Fifita,,,,Sharks,78:54,Sharks vs Bulldogs,2018
9,Error,Moses Mbye,,,,Bulldogs,76:47,Sharks vs Bulldogs,2018
10,On Report,Chad Townsend,,,,Sharks,75:56,Sharks vs Bulldogs,2018
11,Penalty - Dangerous Tackle,Chad Townsend,,,,Sharks,75:43,Sharks vs Bulldogs,2018
12,Error,Joseph Paulo,,,,Sharks,73:10,Sharks vs Bulldogs,2018
13,Linebreak,Joseph Paulo,,,,Sharks,73:10,Sharks vs Bulldogs,2018
14,Penalty - Offside inside 10m,Josh Jackson,,,,Bulldogs,72:07,Sharks vs Bulldogs,2018
15,Interchange,,                   Paul Gallen,                   Jack Williams,,Sharks,71:29,Sharks vs Bulldogs,2018
16,Error,Kieran Foran,,,,Bulldogs,71:27,Sharks vs Bulldogs,2018
17,Penalty - Slow Peel,Matt Prior,,,,Sharks,70:30,Sharks vs Bulldogs,2018
18,Interchange,,                   Adam Elliott,                   Asipeli Fine,,Bulldogs,68:55,Sharks vs Bulldogs,2018
19,Conversion-Made,Chad Townsend,,,22-14,Sharks,68:53,Sharks vs Bulldogs,2018
20,Video Referee,Try,,,,Sharks,67:33,Sharks vs Bulldogs,2018
21,Try,Matt Prior,,,20-14,Sharks,67:30,Sharks vs Bulldogs,2018
22,Linebreak,Matt Prior,,,,Sharks,67:30,Sharks vs Bulldogs,2018
23,Penalty - Holding Down,Aaron Woods,,,,Bulldogs,66:49,Sharks vs Bulldogs,2018
24,Penalty - Crowding,Adam Elliott,,,,Bulldogs,66:03,Sharks vs Bulldogs,2018
25,Interchange,,                   Clay Priest,                   Aaron Woods,,Bulldogs,65:16,Sharks vs Bulldogs,2018
26,Error,Kerrod Holland,,,,Bulldogs,63:24,Sharks vs Bulldogs,2018
27,Error,James Segeyaro,,,,Sharks,62:41,Sharks vs Bulldogs,2018
28,Kick Bomb,Matt Frawley,,,,Bulldogs,61:55,Sharks vs Bulldogs,2018
29,Kick Bomb,Moses Mbye,,,,Bulldogs,60:17,Sharks vs Bulldogs,2018
30,Interchange,,                   Kurt Capewell,                   Andrew Fifita,,Sharks,59:24,Sharks vs Bulldogs,2018
31,Conversion-Missed,Moses Mbye,,,,Bulldogs,59:23,Sharks vs Bulldogs,2018
32,Try,Brett Morris,,,16-14,Bulldogs,57:57,Sharks vs Bulldogs,2018
33,Linebreak,Brett Morris,,,,Bulldogs,57:57,Sharks vs Bulldogs,2018
34,Error,Matt Moylan,,,,Sharks,56:24,Sharks vs Bulldogs,2018
35,Kick Bomb,Chad Townsend,,,,Sharks,53:57,Sharks vs Bulldogs,2018
36,Penalty - Dangerous Tackle,Will Hopoate,,,,Bulldogs,52:43,Sharks vs Bulldogs,2018
37,Linebreak,Kerrod Holland,,,,Bulldogs,51:49,Sharks vs Bulldogs,2018
38,Kick Bomb,Matt Moylan,,,,Sharks,51:21,Sharks vs Bulldogs,2018
39,Interchange,,                   Aaron Woods,                   Clay Priest,,Bulldogs,50:19,Sharks vs Bulldogs,2018
40,Conversion-Made,Chad Townsend,,,16-10,Sharks,50:15,Sharks vs Bulldogs,2018
41,Interchange,,                   Renouf Toomaga,                   Adam Elliott,,Bulldogs,50:06,Sharks vs Bulldogs,2018
42,Try,Jesse Ramien,,,14-10,Sharks,48:31,Sharks vs Bulldogs,2018
43,Linebreak,Jesse Ramien,,,,Sharks,48:29,Sharks vs Bulldogs,2018
44,Penalties - Other,Aaron Woods,,,,Bulldogs,47:27,Sharks vs Bulldogs,2018
45,Interchange,,                   Jayden Brailey,                   James Segeyaro,,Sharks,46:03,Sharks vs Bulldogs,2018
46,Kick Bomb,Kieran Foran,,,,Bulldogs,46:03,Sharks vs Bulldogs,2018
47,Error,Matt Moylan,,,,Sharks,45:13,Sharks vs Bulldogs,2018
48,Error,Matt Frawley,,,,Bulldogs,44:37,Sharks vs Bulldogs,2018
49,Interchange,,                   Ava Seumanufagai,                   Paul Gallen,,Sharks,44:30,Sharks vs Bulldogs,2018
50,Interchange,,                   Andrew Fifita,                   Matt Prior,,Sharks,44:25,Sharks vs Bulldogs,2018
51,Penalty - Ball Strip,Kieran Foran,,,,Bulldogs,43:23,Sharks vs Bulldogs,2018
52,Kick Bomb,Chad Townsend,,,,Sharks,42:31,Sharks vs Bulldogs,2018
53,Kick Bomb,Chad Townsend,,,,Sharks,40:57,Sharks vs Bulldogs,2018
54,Interchange,,                   Josh Morris,                   Kerrod Holland,,Bulldogs,40:01,Sharks vs Bulldogs,2018
55,Drop Goal-Missed,Matt Moylan,,,,Sharks,39:57,Sharks vs Bulldogs,2018
56,Error,Moses Mbye,,,,Bulldogs,39:36,Sharks vs Bulldogs,2018
57,Penalty Shot-Made,Moses Mbye,,,10-10,Bulldogs,38:26,Sharks vs Bulldogs,2018
58,Penalty - Offside inside 10m,Matt Moylan,,,,Sharks,36:55,Sharks vs Bulldogs,2018
59,Penalty - Escorts,Jesse Ramien,,,,Sharks,36:33,Sharks vs Bulldogs,2018
60,Penalty - Ball Strip,Jesse Ramien,,,,Sharks,35:16,Sharks vs Bulldogs,2018
61,Penalty - 2nd Effort,Ava Seumanufagai,,,,Sharks,34:26,Sharks vs Bulldogs,2018
62,Interchange,,                   Adam Elliott,                   Renouf Toomaga,,Bulldogs,33:51,Sharks vs Bulldogs,2018
63,Error,Brett Morris,,,,Bulldogs,32:55,Sharks vs Bulldogs,2018
64,Kick Bomb,Moses Mbye,,,,Bulldogs,32:50,Sharks vs Bulldogs,2018
65,Conversion-Missed,Moses Mbye,,,,Bulldogs,31:47,Sharks vs Bulldogs,2018
66,Video Referee,Try,,,,Bulldogs,30:28,Sharks vs Bulldogs,2018
67,Try,Brett Morris,,,10-8,Bulldogs,30:20,Sharks vs Bulldogs,2018
68,Linebreak,Brett Morris,,,,Bulldogs,30:19,Sharks vs Bulldogs,2018
69,Penalty - Flop,Jesse Ramien,,,,Sharks,28:37,Sharks vs Bulldogs,2018
70,Line Dropout,Josh Dugan,,,,Sharks,28:23,Sharks vs Bulldogs,2018
71,Error,Kurt Capewell,,,,Sharks,26:25,Sharks vs Bulldogs,2018
72,Interchange,,                   Matt Prior,                   Jayson Bukuya,,Sharks,25:21,Sharks vs Bulldogs,2018
73,Interchange,,                   Paul Gallen,                   Ava Seumanufagai,,Sharks,25:21,Sharks vs Bulldogs,2018
74,Error,Chad Townsend,,,,Sharks,25:16,Sharks vs Bulldogs,2018
75,Interchange,,                   Clay Priest,                   David Klemmer,,Bulldogs,20:44,Sharks vs Bulldogs,2018
76,Error,Matt Prior,,,,Sharks,19:40,Sharks vs Bulldogs,2018
77,Error,Will Hopoate,,,,Bulldogs,18:52,Sharks vs Bulldogs,2018
78,Conversion-Missed,Chad Townsend,,,,Sharks,18:26,Sharks vs Bulldogs,2018
79,Try,Valentine Holmes,,,10-4,Sharks,16:53,Sharks vs Bulldogs,2018
80,Penalty - Offside inside 10m,Adam Elliott,,,,Bulldogs,16:01,Sharks vs Bulldogs,2018
81,Conversion-Made,Chad Townsend,,,6-4,Sharks,15:31,Sharks vs Bulldogs,2018
82,Video Referee,Try,,,,Sharks,14:04,Sharks vs Bulldogs,2018
83,Try,Edrick Lee,,,4-4,Sharks,13:57,Sharks vs Bulldogs,2018
84,Linebreak,Edrick Lee,,,,Sharks,13:57,Sharks vs Bulldogs,2018
85,Penalty - Offside inside 10m,Aaron Woods,,,,Bulldogs,13:27,Sharks vs Bulldogs,2018
86,Penalty - Late Tackle,Clay Priest,,,,Bulldogs,12:36,Sharks vs Bulldogs,2018
87,Error,Aaron Woods,,,,Bulldogs,10:56,Sharks vs Bulldogs,2018
88,Conversion-Missed,Moses Mbye,,,,Bulldogs,10:22,Sharks vs Bulldogs,2018
89,Try,Josh Morris,,,0-4,Bulldogs,08:36,Sharks vs Bulldogs,2018
90,Linebreak,Josh Morris,,,,Bulldogs,08:36,Sharks vs Bulldogs,2018
91,Error,Josh Dugan,,,,Sharks,07:21,Sharks vs Bulldogs,2018
92,Penalty - Offside inside 10m,Aaron Woods,,,,Bulldogs,05:22,Sharks vs Bulldogs,2018
93,Penalty - Slow Peel,Josh Jackson,,,,Bulldogs,03:09,Sharks vs Bulldogs,2018
94,Kick Bomb,Moses Mbye,,,,Bulldogs,00:50,Sharks vs Bulldogs,2018
95,KICK OFF,,,,,,00:00,Sharks vs Bulldogs,2018
