,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Knights,2018
1,Error,Anthony Don,,,,Titans,79:49,Titans vs Knights,2018
2,Error,Brenko Lee,,,,Titans,79:06,Titans vs Knights,2018
3,Penalties - Other,Kalyn Ponga,,,,Knights,78:03,Titans vs Knights,2018
4,Drop Goal-Made,Ashley Taylor,,,33-26,Titans,77:52,Titans vs Knights,2018
5,Penalty - Dangerous Tackle,Sione Mata'utia,,,,Knights,76:33,Titans vs Knights,2018
6,Conversion-Made,Ashley Taylor,,,32-26,Titans,76:23,Titans vs Knights,2018
7,Interchange,,                   Daniel Saifiti,                   Herman Ese'ese,,Knights,75:05,Titans vs Knights,2018
8,Video Referee,Try,,,,Titans,75:03,Titans vs Knights,2018
9,Try,Alexander Brimson,,,30-26,Titans,74:59,Titans vs Knights,2018
10,Penalty Shot-Missed,Ashley Taylor,,,,Titans,73:27,Titans vs Knights,2018
11,Penalty - Offside General,Sione Mata'utia,,,,Knights,72:00,Titans vs Knights,2018
12,Penalty - Dangerous Tackle,Brock Lamb,,,,Knights,71:02,Titans vs Knights,2018
13,Interchange,,                   Aidan Guerra,                   Slade Griffin,,Knights,70:01,Titans vs Knights,2018
14,Kick Bomb,Ashley Taylor,,,,Titans,69:49,Titans vs Knights,2018
15,Penalty Shot-Made,Ashley Taylor,,,26-26,Titans,68:20,Titans vs Knights,2018
16,Penalty - Dangerous Tackle,Connor Watson,,,,Knights,67:39,Titans vs Knights,2018
17,Linebreak,Anthony Don,,,,Titans,67:36,Titans vs Knights,2018
18,Interchange,,                   Keegan Hipgrave,                   Max King,,Titans,67:02,Titans vs Knights,2018
19,Kick Bomb,Brock Lamb,,,,Knights,66:50,Titans vs Knights,2018
20,Interchange,,                   Herman Ese'ese,                   Josh King,,Knights,66:43,Titans vs Knights,2018
21,Conversion-Made,Ashley Taylor,,,24-26,Titans,64:59,Titans vs Knights,2018
22,Try,Anthony Don,,,22-26,Titans,63:32,Titans vs Knights,2018
23,Linebreak,Anthony Don,,,,Titans,63:31,Titans vs Knights,2018
24,Error,Daniel Saifiti,,,,Knights,62:34,Titans vs Knights,2018
25,Interchange,,                   Moeaki Fotuaika,                   Bryce Cartwright,,Titans,62:26,Titans vs Knights,2018
26,Conversion-Made,Brock Lamb,,,18-26,Knights,62:17,Titans vs Knights,2018
27,Interchange - Sin Bin Return,Jarrod Wallace,,,,Titans,61:21,Titans vs Knights,2018
28,Try,Kalyn Ponga,,,18-24,Knights,60:36,Titans vs Knights,2018
29,Linebreak,Kalyn Ponga,,,,Knights,60:26,Titans vs Knights,2018
30,Conversion-Made,Brock Lamb,,,18-20,Knights,58:07,Titans vs Knights,2018
31,Video Referee,Try,,,,Knights,56:52,Titans vs Knights,2018
32,Try,Ken Sio,,,18-18,Knights,56:44,Titans vs Knights,2018
33,Linebreak,Ken Sio,,,,Knights,56:42,Titans vs Knights,2018
34,Linebreak,Connor Watson,,,,Knights,56:04,Titans vs Knights,2018
35,Interchange,,                   Jacob Lillyman,                   Daniel Saifiti,,Knights,55:36,Titans vs Knights,2018
36,Penalty - Offside inside 10m,Keegan Hipgrave,,,,Titans,55:12,Titans vs Knights,2018
37,Linebreak,Keegan Hipgrave,,,,Titans,54:02,Titans vs Knights,2018
38,Penalty - Offside inside 10m,Mitchell Barnett,,,,Knights,53:02,Titans vs Knights,2018
39,Error,Kalyn Ponga,,,,Knights,51:50,Titans vs Knights,2018
40,Sin Bin,Jarrod Wallace,,,,Titans,51:12,Titans vs Knights,2018
41,Penalty - Professional Foul,Jarrod Wallace,,,,Titans,51:07,Titans vs Knights,2018
42,Penalty - Slow Peel,Jarrod Wallace,,,,Titans,50:57,Titans vs Knights,2018
43,Penalty - Holding Down,Mitch Rein,,,,Titans,50:09,Titans vs Knights,2018
44,Interchange,,                   Nathan Peats,                   Mitch Rein,,Titans,49:47,Titans vs Knights,2018
45,Error,Alexander Brimson,,,,Titans,49:47,Titans vs Knights,2018
46,Penalty - Slow Peel,Danny Levi,,,,Knights,48:59,Titans vs Knights,2018
47,Error,Shaun Kenny-Dowall,,,,Knights,48:20,Titans vs Knights,2018
48,Conversion-Made,Ashley Taylor,,,18-14,Titans,47:53,Titans vs Knights,2018
49,Interchange,,                   Slade Griffin,                   Danny Levi,,Knights,47:12,Titans vs Knights,2018
50,Try,Phillip Sami,,,16-14,Titans,46:22,Titans vs Knights,2018
51,Linebreak,Phillip Sami,,,,Titans,46:22,Titans vs Knights,2018
52,Interchange,,                   Jack Stockwell,                   Jarrod Wallace,,Titans,45:31,Titans vs Knights,2018
53,Penalty - Crowding,Lachlan Fitzgibbon,,,,Knights,45:10,Titans vs Knights,2018
