,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Broncos vs Eels,2018
1,Linebreak,Siosaia Vave,,,,Eels,79:59,Broncos vs Eels,2018
2,Kick Bomb,Mitchell Moses,,,,Eels,78:30,Broncos vs Eels,2018
3,Interchange,,                   Marata Niukore,                   Cameron King,,Eels,78:08,Broncos vs Eels,2018
4,Error,Brad Takairangi,,,,Eels,76:27,Broncos vs Eels,2018
5,Kick Bomb,Anthony Milford,,,,Broncos,75:32,Broncos vs Eels,2018
6,Error,Corey Norman,,,,Eels,73:57,Broncos vs Eels,2018
7,Penalty - Dangerous Tackle,Matthew Lodge,,,,Broncos,73:25,Broncos vs Eels,2018
8,Penalty - Obstruction,Sam Thaiday,,,,Broncos,72:15,Broncos vs Eels,2018
9,Interchange,,                   Joe Ofahengaue,                   Patrick Mago,,Broncos,70:27,Broncos vs Eels,2018
10,Interchange,,                   Daniel Alvaro,                   David Gower,,Eels,68:18,Broncos vs Eels,2018
11,Penalty Shot-Made,Jamayne Isaako,,,18-10,Broncos,68:00,Broncos vs Eels,2018
12,Penalty - Escorts,Brad Takairangi,,,,Eels,66:30,Broncos vs Eels,2018
13,Interchange,,                   George Fai,                   Sam Thaiday,,Broncos,65:34,Broncos vs Eels,2018
14,Kick Bomb,Mitchell Moses,,,,Eels,65:18,Broncos vs Eels,2018
15,Penalty Shot-Made,Mitchell Moses,,,16-10,Eels,63:53,Broncos vs Eels,2018
16,Penalty - 2nd Effort,Joe Ofahengaue,,,,Broncos,63:16,Broncos vs Eels,2018
17,Interchange,,                   Suaia Matagi,                   Peni Terepo,,Eels,62:49,Broncos vs Eels,2018
18,Error,Corey Norman,,,,Eels,61:06,Broncos vs Eels,2018
19,Interchange,,                   James Roberts,                   Kotoni Staggs,,Broncos,59:55,Broncos vs Eels,2018
20,Interchange,,                   David Gower,                   Marata Niukore,,Eels,58:03,Broncos vs Eels,2018
21,Kick Bomb,Kodi Nikorima,,,,Broncos,57:53,Broncos vs Eels,2018
22,Error,Michael Jennings,,,,Eels,56:13,Broncos vs Eels,2018
23,Penalty - Working on the Ground,Anthony Milford,,,,Broncos,55:06,Broncos vs Eels,2018
24,Conversion-Made,Mitchell Moses,,,16-8,Eels,53:00,Broncos vs Eels,2018
25,Try,George Jennings,,,16-6,Eels,52:00,Broncos vs Eels,2018
26,Error,Anthony Milford,,,,Broncos,51:48,Broncos vs Eels,2018
27,Interchange,,                   Sam Thaiday,                   George Fai,,Broncos,51:21,Broncos vs Eels,2018
28,Error,David Gower,,,,Eels,50:37,Broncos vs Eels,2018
29,Error,Brad Takairangi,,,,Eels,48:14,Broncos vs Eels,2018
30,Interchange,,                   Peni Terepo,                   Suaia Matagi,,Eels,47:43,Broncos vs Eels,2018
31,Error,Jamayne Isaako,,,,Broncos,47:17,Broncos vs Eels,2018
32,Kick Bomb,Anthony Milford,,,,Broncos,47:13,Broncos vs Eels,2018
33,Interchange,,                   Sam Tagataese,                   Matthew Lodge,,Broncos,46:59,Broncos vs Eels,2018
34,Kick Bomb,Mitchell Moses,,,,Eels,46:16,Broncos vs Eels,2018
35,Kick Bomb,Anthony Milford,,,,Broncos,45:26,Broncos vs Eels,2018
36,Conversion-Missed,Jamayne Isaako,,,,Broncos,44:29,Broncos vs Eels,2018
37,Video Referee,Try,,,,Broncos,43:01,Broncos vs Eels,2018
38,Try,James Roberts,,,16-2,Broncos,42:54,Broncos vs Eels,2018
39,Linebreak,Jaydn Su'A,,,,Broncos,42:48,Broncos vs Eels,2018
40,Kick Bomb,Anthony Milford,,,,Broncos,41:28,Broncos vs Eels,2018
41,Penalty Shot-Made,Mitchell Moses,,,12-2,Eels,40:00,Broncos vs Eels,2018
42,Penalty - Slow Peel,Andrew McCullough,,,,Broncos,39:36,Broncos vs Eels,2018
43,Error,Joe Ofahengaue,,,,Broncos,39:09,Broncos vs Eels,2018
44,Error,Clinton Gutherson,,,,Eels,37:45,Broncos vs Eels,2018
45,Error,Jamayne Isaako,,,,Broncos,37:42,Broncos vs Eels,2018
46,Error,Will Smith,,,,Eels,36:52,Broncos vs Eels,2018
47,Error,Peni Terepo,,,,Eels,33:50,Broncos vs Eels,2018
48,Line Dropout,Jamayne Isaako,,,,Broncos,33:42,Broncos vs Eels,2018
49,Interchange - HIA Cleared,,                   Cameron King,                   Daniel Alvaro,,Eels,32:15,Broncos vs Eels,2018
50,Penalty - Slow Peel,Tevita Pangai Junior,,,,Broncos,31:53,Broncos vs Eels,2018
51,Interchange,,                   Suaia Matagi,                   Peni Terepo,,Eels,30:17,Broncos vs Eels,2018
52,Interchange,,                   Patrick Mago,                   Sam Thaiday,,Broncos,29:25,Broncos vs Eels,2018
53,Line Dropout,Jamayne Isaako,,,,Broncos,28:14,Broncos vs Eels,2018
54,Penalty - Offside inside 10m,Jordan Kahu,,,,Broncos,26:21,Broncos vs Eels,2018
55,Interchange,,                   Matthew Lodge,                   Sam Tagataese,,Broncos,25:19,Broncos vs Eels,2018
56,Error,Michael Jennings,,,,Eels,25:17,Broncos vs Eels,2018
57,Interchange,,                   Peni Terepo,                   Will Smith,,Eels,24:53,Broncos vs Eels,2018
58,Error,Kodi Nikorima,,,,Broncos,23:59,Broncos vs Eels,2018
59,Interchange - Sin Bin Return,Michael Jennings,,,,Eels,23:08,Broncos vs Eels,2018
60,Error,Clinton Gutherson,,,,Eels,22:57,Broncos vs Eels,2018
61,Kick Bomb,Mitchell Moses,,,,Eels,22:54,Broncos vs Eels,2018
62,Error,Suaia Matagi,,,,Eels,20:39,Broncos vs Eels,2018
63,Penalty - Offside inside 10m,Darius Boyd,,,,Broncos,19:53,Broncos vs Eels,2018
64,Penalty - Slow Peel,Jaydn Su'A,,,,Broncos,19:36,Broncos vs Eels,2018
65,Line Dropout,Jamayne Isaako,,,,Broncos,19:25,Broncos vs Eels,2018
66,Interchange,,                   Sam Thaiday,                   Patrick Mago,,Broncos,19:17,Broncos vs Eels,2018
67,Interchange - HIA,,                   Daniel Alvaro,                   Suaia Matagi,,Eels,18:04,Broncos vs Eels,2018
68,Interchange,,                   Siosaia Vave,                   David Gower,,Eels,17:41,Broncos vs Eels,2018
69,Linebreak,Tevita Pangai Junior,,,,Broncos,16:52,Broncos vs Eels,2018
70,Conversion-Made,Jamayne Isaako,,,12-0,Broncos,16:08,Broncos vs Eels,2018
71,Try,Corey Oates,,,10-0,Broncos,14:33,Broncos vs Eels,2018
72,Linebreak,Corey Oates,,,,Broncos,14:33,Broncos vs Eels,2018
73,Penalty - Dangerous Tackle,Mitchell Moses,,,,Eels,13:16,Broncos vs Eels,2018
74,Sin Bin,Michael Jennings,,,,Eels,12:35,Broncos vs Eels,2018
75,Penalty - Professional Foul,Michael Jennings,,,,Eels,12:31,Broncos vs Eels,2018
76,Penalty - Dangerous Tackle,Michael Jennings,,,,Eels,12:24,Broncos vs Eels,2018
77,Penalty - Ball Strip,Siosaia Vave,,,,Eels,11:40,Broncos vs Eels,2018
78,Conversion-Made,Jamayne Isaako,,,6-0,Broncos,09:24,Broncos vs Eels,2018
79,Video Referee,Try,,,,Broncos,08:32,Broncos vs Eels,2018
80,Try,Jamayne Isaako,,,4-0,Broncos,08:27,Broncos vs Eels,2018
81,Penalty - Offside Downtown,Daniel Alvaro,,,,Eels,06:59,Broncos vs Eels,2018
82,Error,James Roberts,,,,Broncos,05:07,Broncos vs Eels,2018
83,Kick Bomb,Mitchell Moses,,,,Eels,03:24,Broncos vs Eels,2018
84,Error,Tepai Moeroa,,,,Eels,01:44,Broncos vs Eels,2018
85,Kick Bomb,Mitchell Moses,,,,Eels,01:41,Broncos vs Eels,2018
86,KICK OFF,,,,,,00:00,Broncos vs Eels,2018
