,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Titans,2018
1,Error,Brenko Lee,,,,Titans,79:42,Roosters vs Titans,2018
2,Error,Luke Keary,,,,Roosters,79:03,Roosters vs Titans,2018
3,Penalty - Ball Strip,Keegan Hipgrave,,,,Titans,78:07,Roosters vs Titans,2018
4,Error,Dale Copley,,,,Titans,78:01,Roosters vs Titans,2018
5,Conversion-Made,Blake Ferguson,,,34-14,Roosters,76:37,Roosters vs Titans,2018
6,Interchange,,                   Jake Friend,                   Kurt Baptiste,,Roosters,76:31,Roosters vs Titans,2018
7,Interchange,,                   Ryan James,                   Max King,,Titans,75:11,Roosters vs Titans,2018
8,Try,Mitchell Aubusson,,,32-14,Roosters,74:46,Roosters vs Titans,2018
9,Linebreak,James Tedesco,,,,Roosters,74:37,Roosters vs Titans,2018
10,Error,Anthony Don,,,,Titans,73:18,Roosters vs Titans,2018
11,Sin Bin,Latrell Mitchell,,,,Roosters,72:06,Roosters vs Titans,2018
12,Penalty - Offside inside 10m,Latrell Mitchell,,,,Roosters,72:02,Roosters vs Titans,2018
13,Penalty - Offside inside 10m,Boyd Cordner,,,,Roosters,71:24,Roosters vs Titans,2018
14,Linebreak,Anthony Don,,,,Titans,71:05,Roosters vs Titans,2018
15,Kick Bomb,Cooper Cronk,,,,Roosters,70:41,Roosters vs Titans,2018
16,Kick Bomb,Luke Keary,,,,Roosters,68:33,Roosters vs Titans,2018
17,Error,Alexander Brimson,,,,Titans,67:12,Roosters vs Titans,2018
18,Penalty - Offside inside 10m,Mitchell Aubusson,,,,Roosters,66:39,Roosters vs Titans,2018
19,Line Dropout,Latrell Mitchell,,,,Roosters,66:00,Roosters vs Titans,2018
20,Interchange,,                   Zane Tetevano,                   Jared Waerea-Hargreaves,,Roosters,65:25,Roosters vs Titans,2018
21,Error,Mitchell Aubusson,,,,Roosters,64:35,Roosters vs Titans,2018
22,Error,Anthony Don,,,,Titans,64:27,Roosters vs Titans,2018
23,Kick Bomb,Luke Keary,,,,Roosters,64:00,Roosters vs Titans,2018
24,Interchange,,                   Victor Radley,                   Dylan Napa,,Roosters,63:43,Roosters vs Titans,2018
25,Error,Ashley Taylor,,,,Titans,62:44,Roosters vs Titans,2018
26,Kick Bomb,Cooper Cronk,,,,Roosters,62:01,Roosters vs Titans,2018
27,Error,Bryce Cartwright,,,,Titans,60:42,Roosters vs Titans,2018
28,Interchange - Sin Bin Return,Ashley Taylor,,,,Titans,60:11,Roosters vs Titans,2018
29,Error,Siosiua Taukeiaho,,,,Roosters,59:50,Roosters vs Titans,2018
30,Interchange,,                   Jai Arrow,                   Mitch Rein,,Titans,59:02,Roosters vs Titans,2018
31,Conversion-Made,Latrell Mitchell,,,28-14,Roosters,59:01,Roosters vs Titans,2018
32,Interchange,,                   Nat Butcher,                   Siosiua Taukeiaho,,Roosters,58:22,Roosters vs Titans,2018
33,Try,Cooper Cronk,,,26-14,Roosters,57:52,Roosters vs Titans,2018
34,Error,Bryce Cartwright,,,,Titans,57:51,Roosters vs Titans,2018
35,Penalty - Slow Peel,Jarrod Wallace,,,,Titans,56:06,Roosters vs Titans,2018
36,Interchange - HIA Cleared,,                   Max King,                   Keegan Hipgrave,,Titans,55:33,Roosters vs Titans,2018
37,Error,James Tedesco,,,,Roosters,54:22,Roosters vs Titans,2018
38,Conversion-Made,Latrell Mitchell,,,22-14,Roosters,53:40,Roosters vs Titans,2018
39,Try,Latrell Mitchell,,,20-14,Roosters,52:10,Roosters vs Titans,2018
40,Linebreak,Latrell Mitchell,,,,Roosters,52:07,Roosters vs Titans,2018
41,Penalty Shot-Made,Latrell Mitchell,,,16-14,Roosters,50:44,Roosters vs Titans,2018
42,Sin Bin,Ashley Taylor,,,,Titans,49:18,Roosters vs Titans,2018
43,Penalty - Ball Strip,Ashley Taylor,,,,Titans,49:13,Roosters vs Titans,2018
44,Error,Anthony Don,,,,Titans,49:08,Roosters vs Titans,2018
45,Kick Bomb,Cooper Cronk,,,,Roosters,49:04,Roosters vs Titans,2018
46,Interchange,,                   Moeaki Fotuaika,                   Jarrod Wallace,,Titans,47:58,Roosters vs Titans,2018
47,Penalty Shot-Made,Latrell Mitchell,,,14-14,Roosters,47:39,Roosters vs Titans,2018
48,Penalty - Slow Peel,Bryce Cartwright,,,,Titans,46:35,Roosters vs Titans,2018
49,Penalty - Escorts,Konrad Hurrell,,,,Titans,46:02,Roosters vs Titans,2018
50,Kick Bomb,Cooper Cronk,,,,Roosters,45:59,Roosters vs Titans,2018
51,Conversion-Made,Latrell Mitchell,,,12-14,Roosters,45:07,Roosters vs Titans,2018
52,Try,Isaac Liu,,,10-14,Roosters,44:00,Roosters vs Titans,2018
53,Linebreak,Isaac Liu,,,,Roosters,43:59,Roosters vs Titans,2018
54,Interchange - HIA,,                   Keegan Hipgrave,                   Ryan James,,Titans,42:59,Roosters vs Titans,2018
55,Error,Joseph Manu,,,,Roosters,40:57,Roosters vs Titans,2018
56,Penalty - Early Tackle,Moeaki Fotuaika,,,,Titans,40:00,Roosters vs Titans,2018
57,Error,Cooper Cronk,,,,Roosters,40:00,Roosters vs Titans,2018
58,Drop Goal-Missed,Ashley Taylor,,,,Titans,39:58,Roosters vs Titans,2018
59,Penalty Shot-Made,Michael Gordon,,,6-14,Titans,36:57,Roosters vs Titans,2018
60,Penalty - Offside inside 10m,Nat Butcher,,,,Roosters,35:23,Roosters vs Titans,2018
61,Penalty - Crowding,Nat Butcher,,,,Roosters,34:34,Roosters vs Titans,2018
62,Kick Bomb,Ashley Taylor,,,,Titans,33:32,Roosters vs Titans,2018
63,Conversion-Made,Michael Gordon,,,6-12,Titans,32:35,Roosters vs Titans,2018
64,Interchange,,                   Dylan Napa,                   Nat Butcher,,Roosters,30:56,Roosters vs Titans,2018
65,Video Referee,Try,,,,Titans,30:56,Roosters vs Titans,2018
66,Try,Anthony Don,,,6-10,Titans,30:50,Roosters vs Titans,2018
67,Linebreak,Anthony Don,,,,Titans,30:50,Roosters vs Titans,2018
68,Interchange,,                   Kevin Proctor,                   Bryce Cartwright,,Titans,30:07,Roosters vs Titans,2018
69,Error,Luke Keary,,,,Roosters,29:54,Roosters vs Titans,2018
70,Kick Bomb,Cooper Cronk,,,,Roosters,28:30,Roosters vs Titans,2018
71,Interchange,,                   Siosiua Taukeiaho,                   Victor Radley,,Roosters,27:21,Roosters vs Titans,2018
72,Interchange,,                   Jared Waerea-Hargreaves,                   Zane Tetevano,,Roosters,27:21,Roosters vs Titans,2018
73,Penalty - Obstruction,Moeaki Fotuaika,,,,Titans,27:03,Roosters vs Titans,2018
74,Error,Latrell Mitchell,,,,Roosters,26:26,Roosters vs Titans,2018
75,Interchange,,                   Ryan James,                   Moeaki Fotuaika,,Titans,25:58,Roosters vs Titans,2018
76,Error,Luke Keary,,,,Roosters,23:04,Roosters vs Titans,2018
77,Error,Konrad Hurrell,,,,Titans,21:18,Roosters vs Titans,2018
78,Penalty Shot-Missed,Latrell Mitchell,,,,Roosters,19:35,Roosters vs Titans,2018
79,Penalty - Dangerous Tackle,Keegan Hipgrave,,,,Titans,18:16,Roosters vs Titans,2018
80,Penalty - Offside inside 10m,Kevin Proctor,,,,Titans,17:31,Roosters vs Titans,2018
81,Interchange,,                   Jarrod Wallace,                   Max King,,Titans,16:49,Roosters vs Titans,2018
82,Kick Bomb,Luke Keary,,,,Roosters,16:15,Roosters vs Titans,2018
83,Conversion-Made,Latrell Mitchell,,,6-6,Roosters,15:18,Roosters vs Titans,2018
84,Video Referee,Try,,,,Roosters,14:31,Roosters vs Titans,2018
85,Try,James Tedesco,,,4-6,Roosters,14:24,Roosters vs Titans,2018
