,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Bevan
                
                  French",1.0,Fullback,,02:00,,-,-,-,-,-,-,-,,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,02:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
1,,"Josh
                
                  Hoffman",22.0,Winger,,80:00,,4,1,-,-,-,-,-,,56,,17,173,32,,49,2,-,-,-,6,-,16,3.51s,1,7,-,,-,1,3,22,0.18,,83.3%,5,1,-,-,3,,1,24,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
2,,"Michael
                
                  Jennings",3.0,Centre,,71:00,,-,-,-,-,-,-,-,,4,,7,50,10,,16,-,-,-,-,1,1,7,2.45s,1,7,-,,-,-,7,12,1,,70%,14,5,1,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,1,-,,71:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,33,,8,71,-,,28,-,1,1,-,2,-,3,3.72s,-,-,-,,3,1,13,22,1.63,,85%,17,3,-,1,-,,3,52,-,1,2,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
4,,"George
                
                  Jennings",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,33,,12,143,64,,31,-,-,-,-,2,-,11,3.22s,1,10,-,,-,-,1,14,0.08,,83.3%,15,-,3,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
5,,"Clinton
                
                  Gutherson",6.0,Five-Eighth,,80:00,,-,-,-,1,-,-,-,,28,,7,66,13,,16,-,1,-,-,-,-,4,4.18s,1,8,-,,-,4,33,46,4.71,,89.5%,17,1,1,-,-,,8,188,-,2,2,-,-,1,,2,1,-,-,-,-,-,,80:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
6,,"Mitchell
                
                  Moses",7.0,Halfback,,25:00,,-,-,-,-,-,-,-,,9,,2,11,-,,-,-,-,-,-,1,-,-,-,-,-,-,,-,2,12,19,6,,80%,8,2,-,-,-,,5,101,-,1,2,-,-,-,,2,1,-,-,-,-,-,,24:57,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
7,,"Daniel
                
                  Alvaro",8.0,Prop,,63:00,,-,-,-,-,-,-,-,,87,,18,172,-,,73,-,-,-,-,3,17,13,3.22s,-,-,-,,2,1,3,20,0.17,,95.1%,58,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,47:41,15:05,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
8,,"Cameron
                
                  King",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,52,,6,67,-,,23,-,-,-,-,-,2,6,3.25s,4,54,-,,-,3,101,104,16.83,,90.6%,48,4,1,-,-,,2,74,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
9,,"David
                
                  Gower",16.0,Prop,,55:00,,-,-,-,-,-,-,-,,49,,12,115,-,,59,-,-,-,-,1,11,9,3.16s,-,-,-,,1,-,3,13,0.25,,97.2%,35,-,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,21:56,32:19,Eels,13,2018-06-02T09:35:00Z,Eels vs Knights,2018
