,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Cowboys,2018
1,Penalty - Offside inside 10m,Ethan Lowe,,,,Cowboys,79:21,Sea Eagles vs Cowboys,2018
2,Eagles Interchange,,,,,Sea,79:10,Sea Eagles vs Cowboys,2018
3,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,78:00,Sea Eagles vs Cowboys,2018
4,Eagles Interchange - HIA,,                   Shaun Lane,                   Toafofoa Sipley,,Sea,74:52,Sea Eagles vs Cowboys,2018
5,Error,Shaun Lane,,,,Sea Eagles,74:35,Sea Eagles vs Cowboys,2018
6,Line Dropout,Kyle Feldt,,,,Cowboys,73:55,Sea Eagles vs Cowboys,2018
7,Eagles Interchange,,                   Addin Fonua-Blake,                   Shaun Lane,,Sea,73:39,Sea Eagles vs Cowboys,2018
8,Line Dropout,Kyle Feldt,,,,Cowboys,71:59,Sea Eagles vs Cowboys,2018
9,Interchange,,                   Sam Hoare,                   Shaun Fensom,,Cowboys,71:36,Sea Eagles vs Cowboys,2018
10,Error,Sam Hoare,,,,Cowboys,70:02,Sea Eagles vs Cowboys,2018
11,Conversion-Made,Johnathan Thurston,,,12-26,Cowboys,69:43,Sea Eagles vs Cowboys,2018
12,Try,Enari Tuala,,,12-24,Cowboys,68:02,Sea Eagles vs Cowboys,2018
13,Error,Frank Winterstein,,,,Sea Eagles,66:25,Sea Eagles vs Cowboys,2018
14,Eagles Interchange,,                   Lloyd Perrett,                   Jack Gosiewski,,Sea,65:38,Sea Eagles vs Cowboys,2018
15,Conversion-Missed,Johnathan Thurston,,,,Cowboys,65:35,Sea Eagles vs Cowboys,2018
16,Try,Antonio Winterstein,,,12-20,Cowboys,64:06,Sea Eagles vs Cowboys,2018
17,Linebreak,Antonio Winterstein,,,,Cowboys,64:04,Sea Eagles vs Cowboys,2018
18,Interchange,,                   Mitchell Dunn,                   Ethan Lowe,,Cowboys,63:18,Sea Eagles vs Cowboys,2018
19,Kick Bomb,Trent Hodkinson,,,,Sea Eagles,59:54,Sea Eagles vs Cowboys,2018
20,Interchange,,                   Ethan Lowe,                   Corey Jensen,,Cowboys,57:46,Sea Eagles vs Cowboys,2018
21,Penalty - Marker Not Square,Kane Linnett,,,,Cowboys,55:58,Sea Eagles vs Cowboys,2018
22,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,54:39,Sea Eagles vs Cowboys,2018
23,Eagles Interchange,,                   Toafofoa Sipley,                   Lloyd Perrett,,Sea,54:17,Sea Eagles vs Cowboys,2018
24,Penalty - Ball Strip,Martin Taupau,,,,Sea Eagles,52:34,Sea Eagles vs Cowboys,2018
25,Eagles Interchange,,                   Shaun Lane,                   Martin Taupau,,Sea,51:37,Sea Eagles vs Cowboys,2018
26,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,50:13,Sea Eagles vs Cowboys,2018
27,Error,Brad Parker,,,,Sea Eagles,49:41,Sea Eagles vs Cowboys,2018
28,Conversion-Missed,Trent Hodkinson,,,,Sea Eagles,49:30,Sea Eagles vs Cowboys,2018
29,Video Referee,Try,,,,Sea Eagles,48:27,Sea Eagles vs Cowboys,2018
30,Try,Brian Kelly,,,12-16,Sea Eagles,48:21,Sea Eagles vs Cowboys,2018
31,Linebreak,Brian Kelly,,,,Sea Eagles,48:21,Sea Eagles vs Cowboys,2018
32,Error,Lachlan Coote,,,,Cowboys,47:09,Sea Eagles vs Cowboys,2018
33,Error,Lachlan Coote,,,,Cowboys,45:47,Sea Eagles vs Cowboys,2018
34,Interchange,,                   Francis Molo,                   Sam Hoare,,Cowboys,45:07,Sea Eagles vs Cowboys,2018
35,Error,Te Maire Martin,,,,Cowboys,43:21,Sea Eagles vs Cowboys,2018
36,Linebreak,Te Maire Martin,,,,Cowboys,43:21,Sea Eagles vs Cowboys,2018
37,Kick Bomb,Te Maire Martin,,,,Cowboys,41:41,Sea Eagles vs Cowboys,2018
38,Eagles Interchange,,                   Jorge Taufua,                   Brad Parker,,Sea,40:01,Sea Eagles vs Cowboys,2018
39,Error,Jason Taumalolo,,,,Cowboys,39:42,Sea Eagles vs Cowboys,2018
40,Error,Johnathan Thurston,,,,Cowboys,38:51,Sea Eagles vs Cowboys,2018
41,Conversion-Made,Johnathan Thurston,,,8-16,Cowboys,35:11,Sea Eagles vs Cowboys,2018
42,Video Referee,Try,,,,Cowboys,33:47,Sea Eagles vs Cowboys,2018
43,Try,Antonio Winterstein,,,8-14,Cowboys,33:31,Sea Eagles vs Cowboys,2018
44,Linebreak,Antonio Winterstein,,,,Cowboys,33:31,Sea Eagles vs Cowboys,2018
45,Penalty - Offside inside 10m,Daly Cherry-Evans,,,,Sea Eagles,32:23,Sea Eagles vs Cowboys,2018
46,Penalty - Ball Strip,Matthew Wright,,,,Sea Eagles,31:38,Sea Eagles vs Cowboys,2018
47,Error,Matthew Wright,,,,Sea Eagles,31:32,Sea Eagles vs Cowboys,2018
48,Kick Bomb,Johnathan Thurston,,,,Cowboys,31:28,Sea Eagles vs Cowboys,2018
49,Eagles Interchange,,                   Martin Taupau,                   Addin Fonua-Blake,,Sea,30:31,Sea Eagles vs Cowboys,2018
50,Conversion-Made,Johnathan Thurston,,,8-10,Cowboys,30:31,Sea Eagles vs Cowboys,2018
51,Video Referee,Try,,,,Cowboys,29:21,Sea Eagles vs Cowboys,2018
52,Try,Jason Taumalolo,,,8-8,Cowboys,29:21,Sea Eagles vs Cowboys,2018
53,Error,Martin Taupau,,,,Sea Eagles,28:20,Sea Eagles vs Cowboys,2018
54,Penalty - Flop,Francis Molo,,,,Cowboys,27:40,Sea Eagles vs Cowboys,2018
55,Interchange,,                   Corey Jensen,                   Mitchell Dunn,,Cowboys,26:37,Sea Eagles vs Cowboys,2018
56,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,26:15,Sea Eagles vs Cowboys,2018
57,Conversion-Made,Trent Hodkinson,,,8-4,Sea Eagles,25:14,Sea Eagles vs Cowboys,2018
58,Interchange,,                   Shaun Fensom,                   Kane Linnett,,Cowboys,24:12,Sea Eagles vs Cowboys,2018
59,Try,Shaun Lane,,,6-4,Sea Eagles,23:53,Sea Eagles vs Cowboys,2018
60,Linebreak,Shaun Lane,,,,Sea Eagles,23:52,Sea Eagles vs Cowboys,2018
61,Eagles Interchange,,                   Jack Gosiewski,                   Frank Winterstein,,Sea,22:44,Sea Eagles vs Cowboys,2018
62,Linebreak,Kyle Feldt,,,,Cowboys,21:51,Sea Eagles vs Cowboys,2018
63,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,21:41,Sea Eagles vs Cowboys,2018
64,Eagles Interchange,,                   Addin Fonua-Blake,                   Toafofoa Sipley,,Sea,21:11,Sea Eagles vs Cowboys,2018
65,Interchange,,                   Sam Hoare,                   Francis Molo,,Cowboys,20:45,Sea Eagles vs Cowboys,2018
66,Error,Jason Taumalolo,,,,Cowboys,20:38,Sea Eagles vs Cowboys,2018
67,Kick Bomb,Te Maire Martin,,,,Cowboys,19:26,Sea Eagles vs Cowboys,2018
68,Error,Akuila Uate,,,,Sea Eagles,18:37,Sea Eagles vs Cowboys,2018
69,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,18:32,Sea Eagles vs Cowboys,2018
70,Penalty Shot-Made,Johnathan Thurston,,,2-4,Cowboys,16:26,Sea Eagles vs Cowboys,2018
71,On Report,Jack Gosiewski,,,,Sea Eagles,15:23,Sea Eagles vs Cowboys,2018
72,Penalty - Shoulder Charge,Jack Gosiewski,,,,Sea Eagles,15:10,Sea Eagles vs Cowboys,2018
73,Error,Jorge Taufua,,,,Sea Eagles,14:39,Sea Eagles vs Cowboys,2018
