,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,29.0,,21.0,195.0,47,,66.0,-,-,-,-,3,-,18.0,2.68s,1,15,-,,2,6,10,30.0,0.48,,50%,2.0,2,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
1,,"Jorge
                
                  Taufua",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,15.0,160.0,8,,70.0,-,-,-,-,2,-,14.0,3.46s,-,-,-,,-,-,-,15.0,-,,85.7%,6.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
2,,"Brad
                
                  Parker",19.0,Centre,,80:00,,-,-,-,-,-,-,-,,28.0,,14.0,107.0,-,,33.0,-,-,-,-,2,1,9.0,2.96s,-,-,-,,1,1,8,15.0,0.57,,88.9%,16.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
3,,"Brian
                
                  Kelly",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,54.0,,11.0,81.0,-,,25.0,1,-,-,-,6,-,6.0,2.59s,2,25,-,,3,-,5,16.0,0.45,,84.2%,16.0,2,1,-,-,,1,-,-,-,1,-,-,-,,1,1,1,-,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
4,,"Akuila
                
                  Uate",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,34.0,,13.0,126.0,26,,54.0,-,-,-,-,7,-,13.0,2.73s,-,-,-,,-,-,-,15.0,-,,66.7%,2.0,1,-,-,3,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
5,,"Trent
                
                  Hodkinson",6.0,Five-Eighth,,80:00,,6,-,2,2,1,100%,-,,24.0,,4.0,15.0,10,,8.0,-,-,-,-,-,-,2.0,2.62s,-,-,-,,-,6,45,54.0,11.25,,75.9%,22.0,6,1,-,1,,6,203,-,-,1,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,52.0,,10.0,101.0,-,,30.0,-,1,1,-,2,-,3.0,3.11s,1,10,-,,1,3,43,62.0,4.3,,77.4%,24.0,6,1,-,-,,13,341,-,2,2,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
7,,"Addin
                
                  Fonua-Blake",8.0,Prop,,58:00,,-,-,-,-,-,-,-,,48.0,,14.0,162.0,40,,74.0,-,-,-,-,3,11,14.0,3.35s,-,-,-,,-,-,-,14.0,-,,96.2%,25.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,29:22,27:58,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,14:00,,4,1,-,-,-,-,-,,25.0,,2.0,17.0,-,,5.0,1,-,-,-,2,-,1.0,1.64s,2,17,-,,-,1,19,21.0,9.5,,88.9%,8.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,13:39,-,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
9,,"Martin
                
                  Taupau",10.0,Prop,,54:00,,-,-,-,-,-,-,-,,81.0,,18.0,186.0,-,,74.0,-,-,-,-,11,18,15.0,2.54s,-,-,-,,3,1,-,18.0,-,,85.7%,30.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,22:02,22:38,Sea,14,2018-06-09T05:00:00Z,Sea Eagles vs Warriors,2018
