,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Titans,2018
1,Error,Kevin Proctor,,,,Titans,79:07,Bulldogs vs Titans,2018
2,Interchange,,                   Jai Arrow,                   Mitch Rein,,Titans,77:39,Bulldogs vs Titans,2018
3,Error,Jack Stockwell,,,,Titans,77:03,Bulldogs vs Titans,2018
4,Kick Bomb,Matt Frawley,,,,Bulldogs,76:20,Bulldogs vs Titans,2018
5,Interchange,,                   Raymond Faitala-Mariner,                   Adam Elliott,,Bulldogs,75:32,Bulldogs vs Titans,2018
6,Error,Michael Gordon,,,,Titans,74:49,Bulldogs vs Titans,2018
7,Penalty - Marker Not Square,Matt Frawley,,,,Bulldogs,73:20,Bulldogs vs Titans,2018
8,Interchange,,                   Moeaki Fotuaika,                   Keegan Hipgrave,,Titans,73:17,Bulldogs vs Titans,2018
9,Interchange,,                   Ryan James,                   Jack Stockwell,,Titans,73:09,Bulldogs vs Titans,2018
10,Penalty - 2nd Effort,Dale Copley,,,,Titans,70:02,Bulldogs vs Titans,2018
11,Error,Ashley Taylor,,,,Titans,69:14,Bulldogs vs Titans,2018
12,Interchange,,                   Mitch Rein,                   Nathan Peats,,Titans,68:32,Bulldogs vs Titans,2018
13,Kick Bomb,Jeremy Marshall-King,,,,Bulldogs,67:43,Bulldogs vs Titans,2018
14,Error,Kevin Proctor,,,,Titans,66:25,Bulldogs vs Titans,2018
15,Linebreak,Anthony Don,,,,Titans,66:04,Bulldogs vs Titans,2018
16,Error,David Klemmer,,,,Bulldogs,65:40,Bulldogs vs Titans,2018
17,Error,Jeremy Marshall-King,,,,Bulldogs,65:01,Bulldogs vs Titans,2018
18,Penalty - Early Tackle,Moeaki Fotuaika,,,,Titans,64:13,Bulldogs vs Titans,2018
19,Interchange,,                   Adam Elliott,                   Aiden Tolman,,Bulldogs,63:41,Bulldogs vs Titans,2018
20,Error,Jeremy Marshall-King,,,,Bulldogs,62:18,Bulldogs vs Titans,2018
21,Conversion-Made,Michael Gordon,,,10-32,Titans,59:58,Bulldogs vs Titans,2018
22,Try,Kevin Proctor,,,10-30,Titans,58:32,Bulldogs vs Titans,2018
23,Linebreak,Kevin Proctor,,,,Titans,58:30,Bulldogs vs Titans,2018
24,Penalty - Flop,Matt Frawley,,,,Bulldogs,57:28,Bulldogs vs Titans,2018
25,Penalty - Offside inside 10m,Moeaki Fotuaika,,,,Titans,55:49,Bulldogs vs Titans,2018
26,Interchange,,                   Michael Lichaa,                   Kerrod Holland,,Bulldogs,53:35,Bulldogs vs Titans,2018
27,Interchange,,                   Greg Eastwood,                   Kerrod Holland,,Bulldogs,53:32,Bulldogs vs Titans,2018
28,Interchange,,                   Greg Eastwood,                   Aaron Woods,,Bulldogs,53:32,Bulldogs vs Titans,2018
29,Kick Bomb,Ashley Taylor,,,,Titans,53:23,Bulldogs vs Titans,2018
30,Interchange,,                   Keegan Hipgrave,                   Moeaki Fotuaika,,Titans,53:08,Bulldogs vs Titans,2018
31,Interchange,,                   Nathan Peats,                   Jai Arrow,,Titans,50:52,Bulldogs vs Titans,2018
32,Conversion-Made,Moses Mbye,,,10-26,Bulldogs,49:33,Bulldogs vs Titans,2018
