,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kalyn
                
                  Ponga",1.0,Fullback,,14:00,,-,-,-,-,-,-,-,,8.0,,3.0,17.0,5,,3.0,-,-,-,-,1,-,2.0,5.48s,-,-,-,,-,1,7,11.0,2.33,,100%,1.0,-,-,-,-,,2,72,-,1,-,-,-,-,,-,-,-,-,-,-,-,,14:16,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
1,,"Ken
                
                  Sio",2.0,Winger,,80:00,,4,-,2,3,-,66.67%,-,,21.0,,12.0,97.0,19,,34.0,-,-,-,-,1,-,12.0,3.1s,-,-,-,,-,-,2,14.0,0.17,,83.3%,5.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
2,,"Sione
                
                  Mata'utia",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,17.0,,14.0,110.0,-,,54.0,-,-,-,-,-,1,10.0,3.16s,-,-,-,,1,-,5,15.0,0.36,,90.9%,10.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
3,,"Cory
                
                  Denniss",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,14.0,95.0,-,,38.0,-,-,-,-,-,-,11.0,3.33s,-,-,-,,3,1,7,19.0,0.5,,84.6%,11.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
4,,"Shaun
                
                  Kenny-Dowall",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,15.0,,13.0,109.0,38,,41.0,-,-,-,-,1,2,10.0,2.62s,-,-,-,,1,-,6,20.0,0.46,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
5,,"Connor
                
                  Watson",6.0,Five-Eighth,,80:00,,8,2,-,-,-,-,-,,77.0,,19.0,162.0,8,,33.0,3,-,-,-,9,-,12.0,4.22s,1,30,-,,-,7,23,39.0,1.21,,75%,6.0,2,-,-,2,,1,41,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
6,,"Jack
                
                  Cogger",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,45.0,,18.0,92.0,-,,8.0,-,1,1,-,-,-,2.0,4.78s,-,-,-,,-,12,57,73.0,3.17,,85%,17.0,1,2,-,-,,13,279,1,6,2,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
7,,"Herman
                
                  Ese'ese",8.0,Prop,,63:00,,4,1,-,-,-,-,-,,73.0,,17.0,158.0,33,,63.0,1,-,-,-,5,14,15.0,3.64s,-,-,-,,-,-,3,19.0,0.18,,91.1%,41.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,48:06,14:49,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
8,,"Slade
                
                  Griffin",9.0,Hooker,,33:00,,-,-,-,-,-,-,-,,32.0,,4.0,30.0,-,,12.0,-,1,1,-,-,1,2.0,2.62s,3,28,-,,1,3,44,47.0,11,,95.2%,20.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:36,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
9,,"Josh
                
                  King",10.0,Prop,,48:00,,-,-,-,-,-,-,-,,22.0,,7.0,43.0,-,,14.0,-,-,-,-,-,6,5.0,2.8s,-,-,-,,-,-,2,8.0,0.29,,89.7%,26.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,28:39,19:25,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
10,,"Sam
                
                  Stone",11.0,2nd Row,,70:00,,-,-,-,-,-,-,-,,34.0,,9.0,77.0,-,,43.0,-,-,-,-,-,9,9.0,3.58s,-,-,-,,-,-,3,12.0,0.33,,93.9%,31.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,70:16,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
11,,"Mitchell
                
                  Barnett",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,39.0,,20.0,122.0,-,,53.0,-,-,-,-,-,19,14.0,3.74s,-,-,-,,4,1,4,25.0,0.2,,86.2%,25.0,3,1,-,-,,2,42,-,-,-,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
12,,"Aidan
                
                  Guerra",13.0,Lock,,75:00,,-,-,-,-,-,-,-,,52.0,,17.0,110.0,-,,46.0,-,-,-,-,-,16,14.0,3.49s,-,-,-,,-,-,2,18.0,0.12,,89.5%,51.0,3,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,65:11,09:44,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
13,,"Danny
                
                  Levi",14.0,Interchange,,47:00,,-,-,-,-,-,-,-,,26.0,,2.0,15.0,-,,3.0,-,-,-,-,-,-,1.0,2.48s,1,8,-,,-,7,70,71.0,35,,100%,25.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:24,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
14,,"Chris
                
                  Heighington",15.0,Interchange,,40:00,,-,-,-,-,-,-,-,,28.0,,6.0,54.0,16,,20.0,-,-,-,-,1,4,5.0,4.15s,-,-,-,,-,-,3,9.0,0.5,,85.7%,24.0,2,2,-,-,,1,3,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:55,08:03,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
15,,"Jacob
                
                  Lillyman",17.0,Interchange,,24:00,,-,-,-,-,-,-,-,,15.0,,5.0,47.0,-,,25.0,-,-,-,-,-,5,5.0,3.35s,-,-,-,,-,-,-,5.0,-,,86.7%,13.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:50,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
16,,"Jamie
                
                  Buhrer",18.0,Interchange,,66:00,,-,-,-,-,-,-,-,,22.0,,6.0,29.0,-,,9.0,-,-,-,-,-,3,3.0,3.31s,1,11,-,,-,1,21,26.0,3.5,,91.7%,22.0,-,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,65:43,-,Knights,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,28.0,,20.0,168.0,52,,46,-,1,1,-,1,-,15,3.56s,2,22,-,,1,2,15,32.0,0.75,,66.7%,2.0,1,-,-,2,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,14.0,,9.0,58.0,-,,29,-,-,-,-,1,-,6,3.17s,5,37,-,,2,1,1,10.0,0.11,,66.7%,2.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
2,,"Kerrod
                
                  Holland",3.0,Centre,,80:00,,8,2,-,-,-,-,-,,62.0,,13.0,112.0,-,,29,1,-,-,-,3,1,8,3.01s,1,8,-,,1,-,8,19.0,0.62,,82.1%,23.0,1,4,-,-,,1,20,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
3,,"Marcelo
                
                  Montoya",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,16.0,130.0,20,,51,-,-,-,-,4,3,16,3.54s,-,-,-,,-,-,7,20.0,0.44,,100%,10.0,-,-,-,1,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
4,,"Reimis
                
                  Smith",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,50.0,,10.0,124.0,18,,30,2,-,2,-,3,1,9,3.66s,-,-,-,,-,1,2,13.0,0.2,,75%,3.0,1,-,-,2,,1,16,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,16,2018-06-30T07:30:00Z,Knights vs Bulldogs,2018
