,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Roger
                
                  Tuivasa-Sheck",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,47,,16,204,49,,49,1,-,-,-,5,-,18,3.87s,2,22,-,,-,3,9,28,0.56,,66.7%,4,1,1,-,6,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
1,,"Anthony
                
                  Gelling",3.0,Winger,,80:00,,4,1,-,-,-,-,-,,40,,8,71,-,,21,1,-,-,-,3,-,6,2.68s,2,17,-,,-,-,4,9,0.5,,84.2%,16,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
2,,"Peta
                
                  Hiku",23.0,Centre,,80:00,,-,-,-,-,-,-,-,,24,,12,121,8,,54,-,-,-,-,2,-,8,3.57s,-,-,-,,1,1,1,14,0.08,,100%,5,-,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
3,,"Solomone
                
                  Kata",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,24,,10,70,-,,24,1,-,-,-,1,2,9,3.3s,2,14,-,,-,-,7,16,0.7,,66.7%,8,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
4,,"Gerard
                
                  Beale",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,16,,15,125,44,,29,-,-,-,-,-,1,15,3.29s,-,-,-,,-,1,1,16,0.07,,100%,5,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
5,,"Blake
                
                  Green",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,23,,9,54,-,,7,-,-,-,-,-,-,2,3.32s,-,-,-,,-,11,45,56,5,,79.2%,19,3,2,-,-,,6,182,-,1,1,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
6,,"Shaun
                
                  Johnson",7.0,Halfback,,80:00,,7,-,2,2,1,100%,1,,42,,9,49,-,,6,-,1,1,-,-,-,3,3.36s,-,-,-,,1,3,15,31,1.67,,77.8%,14,4,-,-,-,,11,291,-,2,3,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
7,,"James
                
                  Gavet",8.0,Prop,,40:00,,-,-,-,-,-,-,-,,37,,9,107,36,,43,-,-,-,-,-,7,8,3.72s,-,-,-,,1,2,-,9,-,,93.9%,31,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,26:50,12:03,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
8,,"Issac
                
                  Luke",24.0,Hooker,,80:00,,-,-,-,-,-,-,-,,34,,6,81,-,,22,-,-,-,-,-,2,5,3.89s,4,52,-,,-,-,79,86,13.17,,84.4%,38,5,2,-,-,,2,42,-,-,1,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
9,,"Agnatius
                
                  Paasi",10.0,Prop,,56:00,,-,-,-,-,-,-,-,,41,,12,132,53,,56,-,-,-,-,1,9,10,3.74s,-,-,-,,1,1,-,14,-,,85.7%,36,5,1,-,1,,1,18,-,-,1,-,-,1,,1,1,-,1,-,-,-,,22:00,27:53,Warriors,16,2018-06-29T08:00:00Z,Warriors vs Sharks,2018
