,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Warriors,2018
1,Penalty - Late Tackle,Ligi Sao,,,,Warriors,79:16,Panthers vs Warriors,2018
2,Error,Shaun Johnson,,,,Warriors,77:43,Panthers vs Warriors,2018
3,Conversion-Missed,Shaun Johnson,,,,Warriors,76:39,Panthers vs Warriors,2018
4,Try,Ken Maumalo,,,36-4,Warriors,75:27,Panthers vs Warriors,2018
5,Linebreak,Ken Maumalo,,,,Warriors,75:27,Panthers vs Warriors,2018
6,Error,Viliame Kikau,,,,Panthers,74:04,Panthers vs Warriors,2018
7,Interchange,,                   Dallin Watene-Zelezniak,                   Jack Hetherington,,Panthers,73:08,Panthers vs Warriors,2018
8,Conversion-Made,Jarome Luai,,,36-0,Panthers,73:01,Panthers vs Warriors,2018
9,Try,Corey Harawira-Naera,,,34-0,Panthers,71:25,Panthers vs Warriors,2018
10,Linebreak,Corey Harawira-Naera,,,,Panthers,71:24,Panthers vs Warriors,2018
11,Penalties - Other,Ken Maumalo,,,,Warriors,69:59,Panthers vs Warriors,2018
12,Interchange,,                   James Gavet,                   Tevita Satae,,Warriors,69:53,Panthers vs Warriors,2018
13,Interchange,,                   Issac Luke,                   Agnatius Paasi,,Warriors,69:53,Panthers vs Warriors,2018
14,Conversion-Made,Jarome Luai,,,30-0,Panthers,69:44,Panthers vs Warriors,2018
15,Try,Jarome Luai,,,28-0,Panthers,68:10,Panthers vs Warriors,2018
16,Linebreak,Jarome Luai,,,,Panthers,68:08,Panthers vs Warriors,2018
17,Error,Jazz Tevaga,,,,Warriors,67:23,Panthers vs Warriors,2018
18,Interchange,,                   Isaah Yeo,                   James Tamou,,Panthers,67:00,Panthers vs Warriors,2018
19,Interchange,,                   Adam Blair,                   Simon Mannering,,Warriors,65:43,Panthers vs Warriors,2018
20,Interchange,,                   Peta Hiku,                   Simon Mannering,,Warriors,65:38,Panthers vs Warriors,2018
21,Interchange,,                   Peta Hiku,                   Gerard Beale,,Warriors,65:38,Panthers vs Warriors,2018
22,Penalty - 2nd Effort,Jarome Luai,,,,Panthers,65:08,Panthers vs Warriors,2018
23,Error,Waqa Blake,,,,Panthers,65:04,Panthers vs Warriors,2018
24,Linebreak,Isaah Yeo,,,,Panthers,64:48,Panthers vs Warriors,2018
25,Penalty - Leg Pull,Jarome Luai,,,,Panthers,62:10,Panthers vs Warriors,2018
26,Kick Bomb,Jarome Luai,,,,Panthers,62:03,Panthers vs Warriors,2018
27,Interchange,,                   Simon Mannering,                   Ligi Sao,,Warriors,61:12,Panthers vs Warriors,2018
28,Interchange,,                   Jack Hetherington,                   Trent Merrin,,Panthers,61:12,Panthers vs Warriors,2018
29,Conversion-Made,Jarome Luai,,,24-0,Panthers,61:09,Panthers vs Warriors,2018
30,Try,Viliame Kikau,,,22-0,Panthers,59:33,Panthers vs Warriors,2018
31,Linebreak,Viliame Kikau,,,,Panthers,59:30,Panthers vs Warriors,2018
32,Kick Bomb,Blake Green,,,,Warriors,58:18,Panthers vs Warriors,2018
