,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,23.0,,13.0,102.0,36,,27.0,-,-,-,-,3,-,9.0,3.58s,-,-,-,,-,-,21,30.0,1.62,,75%,6,2,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,9.0,,8.0,79.0,36,,30.0,-,-,-,-,2,-,6.0,3.07s,-,-,-,,1,-,-,8.0,-,,-,-,2,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
2,,"Jaydn
                
                  Su'A",12.0,Centre,,44:00,,-,-,-,-,-,-,-,,26.0,,10.0,93.0,-,,42.0,-,-,-,-,1,-,9.0,4.24s,-,-,-,,1,-,-,10.0,-,,76.2%,16,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,44:03,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
3,,"Jordan
                
                  Kahu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,9.0,,7.0,42.0,-,,15.0,-,-,-,-,1,-,7.0,3.18s,-,-,-,,-,1,3,9.0,0.43,,73.3%,11,4,-,-,-,,1,21,1,-,1,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
4,,"Jamayne
                
                  Isaako",5.0,Winger,,80:00,,2,-,1,1,-,100%,-,,14.0,,11.0,82.0,-,,40.0,-,-,-,-,3,1,11.0,3.73s,-,-,-,,-,-,5,18.0,0.45,,60%,6,4,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,59.0,,17.0,143.0,-,,39.0,-,-,-,-,5,-,9.0,3.17s,1,9,-,,2,9,33,58.0,1.94,,66.7%,10,3,2,-,-,,14,403,2,5,3,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
6,,"Kodi
                
                  Nikorima",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,27.0,,8.0,83.0,6,,30.0,-,-,-,-,3,-,5.0,3.32s,-,-,-,,-,5,25,32.0,3.13,,79.2%,19,3,2,-,1,,2,45,-,2,-,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
7,,"Matthew
                
                  Lodge",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,38.0,,12.0,92.0,14,,41.0,-,-,-,-,3,11,10.0,3.51s,-,-,-,,-,-,2,14.0,0.17,,88.9%,24,-,3,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,21:24,20:07,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
8,,"Andrew
                
                  McCullough",9.0,Hooker,,70:00,,4,1,-,-,-,-,-,,58.0,,6.0,54.0,-,,16.0,1,-,-,-,4,-,2.0,3.3s,6,54,-,,-,3,96,95.0,16,,92.3%,36,1,2,-,-,,1,6,-,-,-,-,-,-,,-,-,-,-,-,1,-,,70:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
9,,"Sam
                
                  Thaiday",10.0,Prop,,40:00,,-,-,-,-,-,-,-,,28.0,,9.0,64.0,-,,23.0,-,-,-,-,1,7,5.0,2.89s,-,-,-,,1,-,3,10.0,0.33,,90.5%,19,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:47,19:58,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
10,,"Alex
                
                  Glenn",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,38.0,,8.0,93.0,-,,37.0,-,-,-,-,2,8,6.0,3.15s,-,-,-,,-,-,9,16.0,1.13,,85.4%,35,5,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
11,,"David
                
                  Fifita",20.0,2nd Row,,45:00,,-,-,-,-,-,-,-,,25.0,,8.0,56.0,-,,27.0,-,-,-,-,-,8,8.0,3.9s,-,-,-,,-,-,-,8.0,-,,84.6%,22,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,08:23,35:56,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
12,,"Josh
                
                  McGuire",13.0,Lock,,49:00,,-,-,-,-,-,-,-,,28.0,,11.0,80.0,3,,39.0,-,-,-,-,1,8,10.0,3.94s,1,14,-,,-,1,9,19.0,0.82,,84.4%,27,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,49:14,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
13,,"Kotoni
                
                  Staggs",14.0,Interchange,,72:00,,-,-,-,-,-,-,-,,34.0,,9.0,120.0,-,,31.0,-,-,-,-,2,9,7.0,3.49s,-,-,-,,-,-,1,11.0,0.11,,81.5%,22,1,4,-,-,,1,4,-,-,1,-,-,-,,1,1,-,1,-,-,-,,71:36,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
14,,"Joe
                
                  Ofahengaue",15.0,Interchange,,47:00,,-,-,-,-,-,-,-,,47.0,,16.0,125.0,13,,49.0,-,-,-,-,6,15,15.0,3.56s,-,-,-,,1,4,2,19.0,0.13,,83.3%,25,3,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,40:15,07:07,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
15,,"Korbin
                
                  Sims",16.0,Interchange,,39:00,,-,-,-,-,-,-,-,,32.0,,7.0,59.0,-,,23.0,-,-,-,-,-,7,6.0,3.74s,-,-,-,,-,-,1,8.0,0.14,,90.6%,29,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:29,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
16,,"Patrick
                
                  Mago",19.0,Interchange,,24:00,,-,-,-,-,-,-,-,,13.0,,6.0,47.0,-,,22.0,-,-,-,-,3,6,7.0,2.87s,-,-,-,,-,-,-,7.0,-,,71.4%,10,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,23:37,-,Broncos,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
0,,"Roger
                
                  Tuivasa-Sheck",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,63.0,,20.0,210.0,43,,75.0,-,1,1,-,10,-,18,3.66s,1,7,-,,-,2,13,34.0,0.65,,75%,3,1,-,-,3,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
1,,"David
                
                  Fusitu'a",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,24.0,,13.0,115.0,38,,36.0,-,-,-,-,2,1,10,3.18s,-,-,-,,2,-,5,17.0,0.38,,-,-,-,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
2,,"Peta
                
                  Hiku",3.0,Centre,,77:00,,-,-,-,-,-,-,-,,21.0,,17.0,180.0,21,,81.0,-,-,-,-,1,-,15,3.17s,2,27,-,,-,2,5,22.0,0.29,,85.7%,6,-,1,-,3,,-,-,-,-,-,-,-,-,,1,1,-,1,-,1,-,,77:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
3,,"Solomone
                
                  Kata",4.0,Centre,,80:00,,8,2,-,-,-,-,-,,63.0,,15.0,203.0,-,,56.0,1,-,-,-,7,-,10,2.77s,1,3,-,,-,3,4,16.0,0.27,,76.9%,10,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
4,,"Gerard
                
                  Beale",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,33.0,,9.0,74.0,-,,26.0,1,-,-,-,3,2,7,3.63s,-,-,-,,-,1,6,14.0,0.67,,81.3%,13,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
5,,"Blake
                
                  Green",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,34.0,,9.0,62.0,-,,12.0,-,1,1,-,-,-,3,3.09s,1,11,-,,-,9,46,60.0,5.11,,76%,19,5,1,-,-,,11,325,-,1,2,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
6,,"Shaun
                
                  Johnson",7.0,Halfback,,80:00,,6,-,3,5,-,60%,-,,34.0,,8.0,59.0,-,,13.0,-,2,1,-,2,-,2,3.06s,-,-,-,,-,5,40,51.0,5,,75%,15,5,-,-,-,,6,156,-,2,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
7,,"James
                
                  Gavet",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,20.0,,11.0,92.0,16,,38.0,-,-,-,-,-,10,9,3.66s,-,-,-,,-,-,1,13.0,0.09,,82.1%,23,4,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,25:05,23:31,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
8,,"Issac
                
                  Luke",9.0,Hooker,,64:00,,4,1,-,-,-,-,-,,72.0,,5.0,79.0,-,,2.0,2,-,-,-,6,1,-,-,4,45,-,,2,2,83,84.0,16.6,,96.9%,31,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,63:55,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
9,,"Agnatius
                
                  Paasi",10.0,Prop,,45:00,,4,1,-,-,-,-,-,,65.0,,13.0,160.0,35,,49.0,3,-,-,-,5,10,9,4.36s,-,-,-,,2,3,1,14.0,0.08,,80%,24,5,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,21:24,22:23,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
10,,"Isaiah
                
                  Papali'i",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,61.0,,14.0,118.0,-,,51.0,-,-,1,-,-,14,9,2.75s,-,-,-,,4,1,5,19.0,0.36,,97.7%,43,1,-,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
11,,"Simon
                
                  Mannering",12.0,2nd Row,,70:00,,-,-,-,-,-,-,-,,51.0,,15.0,148.0,-,,66.0,-,-,-,-,-,15,12,3.31s,-,-,-,,3,7,4,19.0,0.27,,93.2%,41,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,56:29,13:16,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
12,,"Adam
                
                  Blair",13.0,Lock,,67:00,,-,-,-,-,-,-,-,,33.0,,10.0,73.0,-,,25.0,-,-,-,-,-,9,7,3.45s,-,-,-,,1,-,3,14.0,0.3,,89.5%,34,2,2,-,-,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,66:44,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
13,,"Jazz
                
                  Tevaga",14.0,Interchange,,55:00,,-,-,-,-,-,-,-,,60.0,,10.0,98.0,-,,32.0,-,-,-,-,4,10,8,3.38s,-,-,-,,1,2,8,17.0,0.8,,92.7%,38,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,58:36,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
14,,"Tevita
                
                  Satae",15.0,Interchange,,19:00,,-,-,-,-,-,-,-,,14.0,,6.0,58.0,14,,23.0,-,-,-,-,1,5,5,2.74s,-,-,-,,-,-,-,7.0,-,,94.4%,17,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,1,1,-,,23:34,04:21,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
15,,"Joseph
                
                  Vuna",16.0,Interchange,,16:00,,-,-,-,-,-,-,-,,6.0,,1.0,15.0,-,,8.0,-,-,-,-,-,1,1,3.84s,-,-,-,,-,-,1,3.0,1,,77.8%,7,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,16:05,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
16,,"Anthony
                
                  Gelling",17.0,Interchange,,09:00,,-,-,-,-,-,-,-,,11.0,,3.0,21.0,-,,9.0,-,-,-,-,1,3,1,2.2s,-,-,-,,2,1,-,3.0,-,,75%,6,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,08:57,-,Warriors,18,2018-07-15T04:00:00Z,Broncos vs Warriors,2018
