,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Raiders,2018
1,Penalty - Verbal Dissent,Blake Austin,,,,Raiders,79:28,Sharks vs Raiders,2018
2,Error,Josh Hodgson,,,,Raiders,79:16,Sharks vs Raiders,2018
3,Kick Bomb,Sam Williams,,,,Raiders,78:49,Sharks vs Raiders,2018
4,Interchange,,                   Joseph Paulo,                   Paul Gallen,,Sharks,77:41,Sharks vs Raiders,2018
5,Conversion-Made,Sam Williams,,,28-24,Raiders,77:36,Sharks vs Raiders,2018
6,Try,Jordan Rapana,,,28-22,Raiders,76:55,Sharks vs Raiders,2018
7,Linebreak,Jordan Rapana,,,,Raiders,76:53,Sharks vs Raiders,2018
8,Error,Valentine Holmes,,,,Sharks,75:40,Sharks vs Raiders,2018
9,Penalty - Escorts,Michael Oldfield,,,,Raiders,74:15,Sharks vs Raiders,2018
10,Kick Bomb,Chad Townsend,,,,Sharks,74:12,Sharks vs Raiders,2018
11,Interchange,,                   Aaron Woods,                   Andrew Fifita,,Sharks,73:38,Sharks vs Raiders,2018
12,Error,Michael Oldfield,,,,Raiders,72:26,Sharks vs Raiders,2018
13,Error,Joseph Paulo,,,,Sharks,72:12,Sharks vs Raiders,2018
14,Penalty - Slow Peel,Jayson Bukuya,,,,Sharks,71:45,Sharks vs Raiders,2018
15,Penalty - Ball Strip,Joseph Paulo,,,,Sharks,71:16,Sharks vs Raiders,2018
16,Interchange,,                   Junior Paulo,                   Josh Papalii,,Raiders,70:35,Sharks vs Raiders,2018
17,Error,Sione Katoa,,,,Sharks,70:13,Sharks vs Raiders,2018
18,Kick Bomb,Chad Townsend,,,,Sharks,70:08,Sharks vs Raiders,2018
19,Interchange,,                   James Segeyaro,                   Jayden Brailey,,Sharks,69:20,Sharks vs Raiders,2018
20,Error,Joseph Leilua,,,,Raiders,68:11,Sharks vs Raiders,2018
21,Error,Jordan Rapana,,,,Raiders,66:15,Sharks vs Raiders,2018
22,Kick Bomb,Chad Townsend,,,,Sharks,65:24,Sharks vs Raiders,2018
23,Interchange,,                   Paul Gallen,                   Jayson Bukuya,,Sharks,64:42,Sharks vs Raiders,2018
24,Interchange,,                   Josh Papalii,                   Liam Knight,,Raiders,64:08,Sharks vs Raiders,2018
25,Error,Jesse Ramien,,,,Sharks,62:18,Sharks vs Raiders,2018
26,Interchange,,                   Luke Bateman,                   Dunamis Lui,,Raiders,60:43,Sharks vs Raiders,2018
27,Error,Michael Oldfield,,,,Raiders,60:42,Sharks vs Raiders,2018
28,Error,Jesse Ramien,,,,Sharks,59:55,Sharks vs Raiders,2018
29,Penalty - Offside inside 10m,Josh Papalii,,,,Raiders,59:11,Sharks vs Raiders,2018
30,Conversion-Made,Chad Townsend,,,28-18,Sharks,58:21,Sharks vs Raiders,2018
31,Interchange,,                   Siliva Havili,                   Junior Paulo,,Raiders,57:36,Sharks vs Raiders,2018
32,Try,Sione Katoa,,,26-18,Sharks,57:30,Sharks vs Raiders,2018
33,Linebreak,Sione Katoa,,,,Sharks,57:25,Sharks vs Raiders,2018
34,Error,Brad Abbey,,,,Raiders,55:26,Sharks vs Raiders,2018
35,Linebreak,Joseph Paulo,,,,Sharks,55:25,Sharks vs Raiders,2018
36,Error,Paul Gallen,,,,Sharks,52:54,Sharks vs Raiders,2018
37,Error,Sam Williams,,,,Raiders,52:26,Sharks vs Raiders,2018
38,Interchange,,                   Andrew Fifita,                   Matt Prior,,Sharks,52:17,Sharks vs Raiders,2018
39,Interchange,,                   Iosia Soliola,                   Jack Murchie,,Raiders,51:49,Sharks vs Raiders,2018
40,Kick Bomb,Chad Townsend,,,,Sharks,51:02,Sharks vs Raiders,2018
41,Conversion-Made,Sam Williams,,,22-18,Raiders,49:04,Sharks vs Raiders,2018
42,Video Referee,Try,,,,Raiders,48:01,Sharks vs Raiders,2018
43,Try,Joseph Leilua,,,22-16,Raiders,48:00,Sharks vs Raiders,2018
44,Linebreak,Joseph Leilua,,,,Raiders,47:59,Sharks vs Raiders,2018
45,Linebreak,Elliott Whitehead,,,,Raiders,47:49,Sharks vs Raiders,2018
46,Line Dropout,Valentine Holmes,,,,Sharks,45:19,Sharks vs Raiders,2018
47,Penalty - Slow Peel,Joseph Paulo,,,,Sharks,44:48,Sharks vs Raiders,2018
48,Error,Valentine Holmes,,,,Sharks,43:50,Sharks vs Raiders,2018
49,Kick Bomb,Sam Williams,,,,Raiders,43:47,Sharks vs Raiders,2018
50,Conversion-Made,Sam Williams,,,22-12,Raiders,42:46,Sharks vs Raiders,2018
51,Try,Joseph Leilua,,,22-10,Raiders,41:29,Sharks vs Raiders,2018
52,Linebreak,Joseph Leilua,,,,Raiders,41:28,Sharks vs Raiders,2018
53,Penalty - Working on the Ground,James Segeyaro,,,,Sharks,41:21,Sharks vs Raiders,2018
54,Error,Aaron Woods,,,,Sharks,40:26,Sharks vs Raiders,2018
55,Interchange,,                   Wade Graham,                   Joseph Paulo,,Sharks,40:01,Sharks vs Raiders,2018
56,Conversion-Missed,Chad Townsend,,,,Sharks,39:56,Sharks vs Raiders,2018
57,Video Referee,Try,,,,Sharks,39:22,Sharks vs Raiders,2018
58,Try,Wade Graham,,,22-6,Sharks,39:17,Sharks vs Raiders,2018
59,Linebreak,Wade Graham,,,,Sharks,39:16,Sharks vs Raiders,2018
60,Error,Brad Abbey,,,,Raiders,37:54,Sharks vs Raiders,2018
61,Conversion-Made,Chad Townsend,,,18-6,Sharks,36:11,Sharks vs Raiders,2018
62,Try,Valentine Holmes,,,16-6,Sharks,34:30,Sharks vs Raiders,2018
63,Linebreak,Valentine Holmes,,,,Sharks,34:29,Sharks vs Raiders,2018
64,Penalty - Offside inside 10m,Sam Williams,,,,Raiders,33:56,Sharks vs Raiders,2018
65,Linebreak,Valentine Holmes,,,,Sharks,33:36,Sharks vs Raiders,2018
66,Error,Luke Bateman,,,,Raiders,32:00,Sharks vs Raiders,2018
67,Penalty - Slow Peel,Andrew Fifita,,,,Sharks,30:56,Sharks vs Raiders,2018
68,Error,James Segeyaro,,,,Sharks,30:34,Sharks vs Raiders,2018
69,Interchange,,                   Jayden Brailey,                   James Segeyaro,,Sharks,30:00,Sharks vs Raiders,2018
70,Kick Bomb,Sam Williams,,,,Raiders,29:53,Sharks vs Raiders,2018
71,Error,Ricky Leutele,,,,Sharks,28:01,Sharks vs Raiders,2018
72,Interchange,,                   Junior Paulo,                   Siliva Havili,,Raiders,26:55,Sharks vs Raiders,2018
73,Interchange,,                   Dunamis Lui,                   Luke Bateman,,Raiders,26:29,Sharks vs Raiders,2018
74,Error,Ricky Leutele,,,,Sharks,25:44,Sharks vs Raiders,2018
75,Linebreak,Valentine Holmes,,,,Sharks,25:26,Sharks vs Raiders,2018
76,Conversion-Made,Sam Williams,,,12-6,Raiders,23:06,Sharks vs Raiders,2018
77,Try,Brad Abbey,,,12-4,Raiders,21:28,Sharks vs Raiders,2018
78,Linebreak,Joseph Leilua,,,,Raiders,21:25,Sharks vs Raiders,2018
79,Kick Bomb,Chad Townsend,,,,Sharks,20:52,Sharks vs Raiders,2018
80,Interchange,,                   Matt Prior,                   Aaron Woods,,Sharks,20:22,Sharks vs Raiders,2018
81,Kick Bomb,Sam Williams,,,,Raiders,19:57,Sharks vs Raiders,2018
82,Kick Bomb,Matt Moylan,,,,Sharks,18:28,Sharks vs Raiders,2018
83,Conversion-Made,Chad Townsend,,,12-0,Sharks,17:25,Sharks vs Raiders,2018
84,Try,Ricky Leutele,,,10-0,Sharks,15:48,Sharks vs Raiders,2018
85,Linebreak,Ricky Leutele,,,,Sharks,15:47,Sharks vs Raiders,2018
86,Penalty Shot-Missed,Chad Townsend,,,,Sharks,14:34,Sharks vs Raiders,2018
87,Interchange - Sin Bin Return,Jordan Rapana,,,,Raiders,13:47,Sharks vs Raiders,2018
88,Penalty - Crowding,Blake Austin,,,,Raiders,13:13,Sharks vs Raiders,2018
89,Error,Joseph Leilua,,,,Raiders,12:09,Sharks vs Raiders,2018
90,Conversion-Made,Chad Townsend,,,6-0,Sharks,10:17,Sharks vs Raiders,2018
91,Try,Andrew Fifita,,,4-0,Sharks,09:17,Sharks vs Raiders,2018
92,Linebreak,Andrew Fifita,,,,Sharks,09:16,Sharks vs Raiders,2018
93,Penalty - Slow Peel,Elliott Whitehead,,,,Raiders,08:24,Sharks vs Raiders,2018
94,Kick Bomb,Sam Williams,,,,Raiders,07:26,Sharks vs Raiders,2018
95,Sin Bin,Jordan Rapana,,,,Raiders,03:42,Sharks vs Raiders,2018
96,Penalty - Professional Foul,Jordan Rapana,,,,Raiders,03:36,Sharks vs Raiders,2018
97,Error,Brad Abbey,,,,Raiders,03:32,Sharks vs Raiders,2018
98,Kick Bomb,Wade Graham,,,,Sharks,03:27,Sharks vs Raiders,2018
99,Error,Scott Sorensen,,,,Sharks,01:40,Sharks vs Raiders,2018
100,Penalty - Ball Strip,Josh Papalii,,,,Raiders,01:02,Sharks vs Raiders,2018
101,Error,Dunamis Lui,,,,Raiders,00:10,Sharks vs Raiders,2018
102,KICK OFF,,,,,,00:00,Sharks vs Raiders,2018
