,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jack
                
                  Wighton",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,43.0,,20.0,198.0,53,,68,-,1,1,-,5,-,17.0,3.39s,1,23,-,,-,12,14.0,31.0,0.7,,100%,2.0,-,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
1,,"Nick
                
                  Cotric",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,16.0,,7.0,95.0,12,,23,1,-,-,-,4,-,6.0,3.27s,1,1,-,,-,3,5.0,13.0,0.71,,33.3%,1.0,2,-,-,-,,1,6,-,-,-,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
2,,"Jarrod
                
                  Croker",3.0,Centre,,80:00,,16,1,3,4,3,85.71%,-,,40.0,,10.0,87.0,3,,15,1,-,-,-,2,-,5.0,3.97s,-,-,-,,2,2,11.0,17.0,1.1,,61.5%,8.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
3,,"Joseph
                
                  Leilua",4.0,Centre,,23:00,,-,-,-,-,-,-,-,,10.0,,3.0,20.0,-,,3,-,-,-,-,1,-,1.0,3.72s,-,-,-,,1,-,2.0,4.0,0.67,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:58,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
4,,"Jordan
                
                  Rapana",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,54.0,,15.0,141.0,16,,24,1,-,1,-,6,2,11.0,3.67s,3,29,-,,1,-,6.0,20.0,0.4,,85.7%,6.0,1,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
5,,"Blake
                
                  Austin",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,66.0,,14.0,131.0,-,,23,1,2,1,-,7,-,4.0,2.87s,-,-,-,,1,6,29.0,41.0,2.07,,84.6%,11.0,1,1,-,-,,7,178,-,1,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
6,,"Sam
                
                  Williams",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,14.0,,4.0,21.0,-,,-,-,-,-,-,-,-,2.0,5.24s,-,-,-,,-,2,25.0,34.0,6.25,,80%,12.0,3,-,-,-,,7,177,-,2,1,1,2,-,,1,-,-,2,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
7,,"Iosia
                
                  Soliola",8.0,Prop,,80:00,,-,-,-,-,-,-,-,,37.0,,9.0,67.0,-,,25,-,-,-,-,-,9,7.0,3.43s,-,-,-,,-,1,1.0,10.0,0.11,,95.1%,39.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
8,,"Siliva
                
                  Havili",9.0,Hooker,,38:00,,-,-,-,-,-,-,-,,33.0,,7.0,47.0,-,,19,-,-,-,-,1,6,3.0,3.87s,1,2,-,,3,2,39.0,45.0,5.57,,100%,20.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:29,11:26,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
9,,"Shannon
                
                  Boyd",10.0,Prop,,36:00,,-,-,-,-,-,-,-,,36.0,,12.0,120.0,-,,60,-,-,-,-,1,12,12.0,3.63s,-,-,-,,-,-,1.0,13.0,0.08,,95.8%,23.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,22:47,12:54,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
10,,"Josh
                
                  Papalii",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,23.0,,18.0,108.0,-,,44,-,-,-,-,-,15,14.0,3.93s,1,2,-,,-,1,3.0,19.0,0.17,,89.5%,17.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
11,,"Elliott
                
                  Whitehead",12.0,2nd Row,,80:00,,8,2,-,-,-,-,-,,51.0,,11.0,82.0,-,,17,1,-,-,-,2,9,6.0,3.51s,2,7,-,,1,3,2.0,13.0,0.18,,84%,21.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
12,,"Luke
                
                  Bateman",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,50.0,,10.0,62.0,7,,17,-,-,-,-,1,9,10.0,3.46s,-,-,-,,-,3,2.0,12.0,0.2,,97.7%,43.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:56,12:41,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
13,,"Aidan
                
                  Sezer",14.0,Interchange,,53:00,,-,-,-,-,-,-,-,,23.0,,3.0,26.0,-,,2,-,-,-,-,-,1,1.0,3.24s,1,5,-,,-,3,64.0,65.0,21.33,,92%,23.0,2,-,-,-,,1,44,-,-,-,-,-,-,,-,-,-,-,-,-,-,,52:31,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
14,,"Junior
                
                  Paulo",15.0,Interchange,,44:00,,-,-,-,-,-,-,-,,44.0,,12.0,97.0,51,,29,-,1,1,-,2,7,7.0,3.45s,-,-,-,,3,2,2.0,13.0,0.17,,100%,18.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,44:18,-,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
15,,"Dunamis
                
                  Lui",16.0,Interchange,,46:00,,-,-,-,-,-,-,-,,30.0,,16.0,128.0,-,,41,-,-,-,-,-,16,16.0,3.65s,-,-,-,,-,2,3.0,19.0,0.19,,100%,18.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,35:59,09:38,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
16,,"Charlie
                
                  Gubb",17.0,Interchange,,22:00,,-,-,-,-,-,-,-,,13.0,,5.0,46.0,-,,14,-,-,-,-,-,5,4.0,2.7s,-,-,-,,-,1,1.0,6.0,0.2,,100%,9.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,09:04,13:09,Raiders,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
0,,"Kalyn
                
                  Ponga",1.0,Fullback,,80:00,,10,-,4,5,1,83.33%,-,,45.0,,14.0,137.0,55,,22.0,-,2,2,-,5,-,8.0,4.67s,-,-,-,,-,8,14,24.0,1,,37.5%,3.0,5,-,-,4,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Knights,2,2018-03-18T07:30:00Z,Raiders vs Knights,2018
