,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Raiders,2018
1,Error,Will Chambers,,,,Storm,79:37,Storm vs Raiders,2018
2,Penalty - Verbal Dissent,Jordan Rapana,,,,Raiders,77:56,Storm vs Raiders,2018
3,Sin Bin,Jordan Rapana,,,,Raiders,77:56,Storm vs Raiders,2018
4,Penalty - Early Tackle,Sam Williams,,,,Raiders,77:45,Storm vs Raiders,2018
5,Penalty - Slow Peel,Jesse Bromwich,,,,Storm,76:21,Storm vs Raiders,2018
6,Interchange,,                   Dale Finucane,                   Christian Welch,,Storm,74:49,Storm vs Raiders,2018
7,Penalty - Offside inside 10m,Elliott Whitehead,,,,Raiders,74:37,Storm vs Raiders,2018
8,Error,Sam Williams,,,,Raiders,74:23,Storm vs Raiders,2018
9,Error,Nelson Asofa-Solomona,,,,Storm,72:51,Storm vs Raiders,2018
10,Error,Brad Abbey,,,,Raiders,71:20,Storm vs Raiders,2018
11,Error,Josh Papalii,,,,Raiders,71:10,Storm vs Raiders,2018
12,Interchange,,                   Cameron Smith,                   Kenneath Bromwich,,Storm,69:34,Storm vs Raiders,2018
13,Interchange,,                   Junior Paulo,                   Luke Bateman,,Raiders,69:27,Storm vs Raiders,2018
14,Penalty Shot-Made,Cameron Smith,,,44-10,Storm,69:10,Storm vs Raiders,2018
15,Penalty - Flop,Josh Hodgson,,,,Raiders,69:04,Storm vs Raiders,2018
16,Penalty - Ball Strip,Elliott Whitehead,,,,Raiders,68:17,Storm vs Raiders,2018
17,Error,Junior Paulo,,,,Raiders,65:44,Storm vs Raiders,2018
18,Error,Will Chambers,,,,Storm,64:54,Storm vs Raiders,2018
19,Interchange,,                   Billy Slater,                   Cheyse Blair,,Storm,64:48,Storm vs Raiders,2018
20,Conversion-Made,Cameron Smith,,,42-10,Storm,64:43,Storm vs Raiders,2018
21,Try,Curtis Scott,,,40-10,Storm,63:11,Storm vs Raiders,2018
