,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kalyn
                
                  Ponga",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,53.0,,20.0,163.0,58,,39,1,-,-,-,4,-,14,4s,-,-,-,,1,6,19,44.0,0.95,,80%,4.0,1,-,-,2,,6,148,2,2,3,-,-,1,,2,2,-,-,-,-,-,,80:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
1,,"Ken
                
                  Sio",2.0,Winger,,71:00,,4,-,2,3,-,66.67%,-,,16.0,,12.0,104.0,30,,28,1,-,-,-,2,1,10,3.17s,-,-,-,,-,-,2,13.0,0.17,,100%,2.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,3,-,1,-,,71:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
2,,"Sione
                
                  Mata'utia",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,24.0,,7.0,29.0,-,,6,-,-,-,-,2,-,5,3.6s,-,-,-,,-,-,6,14.0,0.86,,85.2%,23.0,3,1,1,1,,-,-,-,-,-,-,-,-,,4,4,-,1,-,-,-,,80:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
3,,"Cory
                
                  Denniss",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,9.0,58.0,-,,21,-,1,-,-,2,1,7,2.91s,-,-,-,,2,-,9,14.0,1,,80%,4.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
4,,"Shaun
                
                  Kenny-Dowall",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,28.0,,15.0,102.0,9,,21,-,-,-,-,4,3,12,2.9s,-,-,-,,2,-,-,15.0,-,,100%,3.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
5,,"Jack
                
                  Cogger",20.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,41.0,,13.0,61.0,-,,12,-,1,1,-,2,-,3,3.17s,-,-,-,,-,4,41,51.0,3.15,,92.3%,24.0,2,-,-,-,,5,92,-,3,1,-,1,-,,-,1,-,1,-,-,-,,80:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
6,,"Mitchell
                
                  Pearce",7.0,Halfback,,42:00,,-,-,-,-,-,-,-,,17.0,,3.0,16.0,7,,-,-,-,1,-,-,-,-,-,-,-,-,,-,3,17,26.0,5.67,,66.7%,4.0,1,1,-,1,,7,247,-,-,1,-,1,1,,2,2,-,-,-,-,-,,41:40,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
7,,"Josh
                
                  King",16.0,Prop,,26:00,,-,-,-,-,-,-,-,,12.0,,2.0,10.0,-,,1,-,-,-,-,-,2,1,3.12s,-,-,-,,-,-,1,4.0,0.5,,83.3%,15.0,-,3,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,25:05,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
8,,"Danny
                
                  Levi",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,44.0,,4.0,29.0,-,,7,-,-,-,-,1,1,2,2.36s,1,15,-,,-,8,107,107.0,26.75,,89.5%,51.0,5,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
9,,"Daniel
                
                  Saifiti",10.0,Prop,,49:00,,-,-,-,-,-,-,-,,22.0,,8.0,73.0,15,,31,-,-,-,-,-,7,7,3.47s,-,-,-,,-,-,2,10.0,0.25,,84%,21.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,15:25,24:05,Knights,21,2018-08-03T08:00:00Z,Knights vs Wests Tigers,2018
