,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Cowboys,2018
1,Penalty - Slow Peel,Daniel Tupou,,,,Roosters,78:54,Roosters vs Cowboys,2018
2,Kick Bomb,Cooper Cronk,,,,Roosters,78:34,Roosters vs Cowboys,2018
3,Error,Jake Clifford,,,,Cowboys,77:16,Roosters vs Cowboys,2018
4,Linebreak,Coen Hess,,,,Cowboys,77:07,Roosters vs Cowboys,2018
5,Interchange,,                   Jared Waerea-Hargreaves,                   Zane Tetevano,,Roosters,76:16,Roosters vs Cowboys,2018
6,Penalty - 2nd Effort,Jake Friend,,,,Roosters,74:08,Roosters vs Cowboys,2018
7,Error,Ryan Matterson,,,,Roosters,72:47,Roosters vs Cowboys,2018
8,Error,Isaac Liu,,,,Roosters,71:45,Roosters vs Cowboys,2018
9,Error,Latrell Mitchell,,,,Roosters,70:56,Roosters vs Cowboys,2018
10,Error,Johnathan Thurston,,,,Cowboys,69:02,Roosters vs Cowboys,2018
11,Kick Bomb,Cooper Cronk,,,,Roosters,67:57,Roosters vs Cowboys,2018
12,Interchange,,                   Victor Radley,                   Isaac Liu,,Roosters,67:49,Roosters vs Cowboys,2018
13,Conversion-Made,Johnathan Thurston,,,26-20,Cowboys,65:57,Roosters vs Cowboys,2018
14,Try,Gavin Cooper,,,26-18,Cowboys,64:39,Roosters vs Cowboys,2018
15,Linebreak,Gavin Cooper,,,,Cowboys,64:39,Roosters vs Cowboys,2018
16,Penalty - Slow Peel,Jared Waerea-Hargreaves,,,,Roosters,64:02,Roosters vs Cowboys,2018
17,Line Dropout,Latrell Mitchell,,,,Roosters,63:39,Roosters vs Cowboys,2018
18,Error,Latrell Mitchell,,,,Roosters,61:17,Roosters vs Cowboys,2018
19,Interchange,,                   Ben Hampton,                   Jake Granville,,Cowboys,60:02,Roosters vs Cowboys,2018
20,Interchange,,                   Zane Tetevano,                   Siosiua Taukeiaho,,Roosters,59:38,Roosters vs Cowboys,2018
21,Interchange,,                   Isaac Liu,                   Victor Radley,,Roosters,59:27,Roosters vs Cowboys,2018
22,Interchange,,                   Scott Bolton,                   Matthew Scott,,Cowboys,58:13,Roosters vs Cowboys,2018
23,Conversion-Made,Johnathan Thurston,,,26-14,Cowboys,58:09,Roosters vs Cowboys,2018
24,Try,Johnathan Thurston,,,26-12,Cowboys,57:25,Roosters vs Cowboys,2018
25,Linebreak,Johnathan Thurston,,,,Cowboys,57:24,Roosters vs Cowboys,2018
26,Penalty - Crowding,Zane Tetevano,,,,Roosters,56:37,Roosters vs Cowboys,2018
27,Interchange,,                   John Asiata,                   Jordan McLean,,Cowboys,56:31,Roosters vs Cowboys,2018
28,Error,Cooper Cronk,,,,Roosters,56:18,Roosters vs Cowboys,2018
29,Penalty - Leg Pull,John Asiata,,,,Cowboys,55:01,Roosters vs Cowboys,2018
30,Conversion-Made,Latrell Mitchell,,,26-8,Roosters,54:32,Roosters vs Cowboys,2018
31,Video Referee,Try,,,,Roosters,53:09,Roosters vs Cowboys,2018
32,Try,Daniel Tupou,,,24-8,Roosters,53:02,Roosters vs Cowboys,2018
33,Linebreak,Daniel Tupou,,,,Roosters,53:02,Roosters vs Cowboys,2018
