,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Nick
                
                  Cotric",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,46,,17,132,60,,51,-,-,-,-,9,1,14,3.52s,-,-,-,,1,-,3,21,0.18,,75%,6,2,-,-,3,,1,20,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
1,,"Brad
                
                  Abbey",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,6,,10,74,1,,23,-,-,-,-,-,2,9,3.61s,-,-,-,,-,1,4,15,0.4,,66.7%,2,1,-,-,1,,1,10,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
2,,"Blake
                
                  Austin",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,47,,14,141,-,,38,-,-,-,-,6,-,10,3.65s,-,-,-,,-,12,22,40,1.57,,86.7%,13,1,1,-,-,,7,138,-,1,1,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
3,,"Joseph
                
                  Leilua",4.0,Centre,,70:00,,4,1,-,-,-,-,-,,45,,13,118,-,,46,1,-,-,-,6,1,10,2.99s,1,4,-,,2,3,4,16,0.31,,78.6%,11,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,1,-,,70:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
4,,"Jordan
                
                  Rapana",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,46,,20,174,13,,61,1,-,-,-,8,1,15,3.25s,6,45,-,,2,2,13,33,0.65,,62.5%,5,3,-,-,1,,1,27,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
5,,"Elliott
                
                  Whitehead",12.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,15,,11,106,-,,40,-,-,-,-,-,1,10,3.05s,3,25,1,,-,-,6,17,0.55,,86.7%,13,2,-,-,-,,1,8,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
6,,"Sam
                
                  Williams",7.0,Halfback,,80:00,,4,-,2,4,-,50%,-,,25,,7,42,-,,9,-,-,-,-,-,-,3,3.67s,-,-,-,,1,9,26,34,3.71,,83.3%,15,2,1,-,-,,4,93,-,3,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
7,,"Dunamis
                
                  Lui",14.0,Prop,,42:00,,-,-,-,-,-,-,-,,28,,10,86,-,,30,-,-,-,-,-,9,8,3.45s,-,-,-,,1,1,1,10,0.1,,88%,22,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,20:53,20:38,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
8,,"Josh
                
                  Hodgson",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,46,,6,18,-,,2,-,1,1,-,1,-,4,4.03s,6,18,1,,-,14,114,119,19,,89.8%,44,5,-,-,-,,4,99,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
9,,"Shannon
                
                  Boyd",15.0,Prop,,31:00,,-,-,-,-,-,-,-,,32,,6,63,6,,28,-,-,-,-,1,5,6,3.06s,-,-,-,,-,-,-,7,-,,93.5%,29,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,20:30,09:35,Raiders,22,2018-08-12T04:00:00Z,Raiders vs Wests Tigers,2018
