,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Bulldogs,2018
1,Error,Rhyse Martin,,,,Bulldogs,80:00,Sea Eagles vs Bulldogs,2018
2,Error,Dylan Walker,,,,Sea Eagles,79:13,Sea Eagles vs Bulldogs,2018
3,Error,Josh Morris,,,,Bulldogs,78:16,Sea Eagles vs Bulldogs,2018
4,Interchange,,                   Ofahiki Ogden,                   Greg Eastwood,,Bulldogs,78:14,Sea Eagles vs Bulldogs,2018
5,Error,Tom Trbojevic,,,,Sea Eagles,77:38,Sea Eagles vs Bulldogs,2018
6,Error,Shaun Lane,,,,Sea Eagles,74:54,Sea Eagles vs Bulldogs,2018
7,Kick Bomb,Matt Frawley,,,,Bulldogs,74:12,Sea Eagles vs Bulldogs,2018
8,Eagles Interchange,,                   Brian Kelly,                   Shaun Lane,,Sea,72:17,Sea Eagles vs Bulldogs,2018
9,Linebreak,Reimis Smith,,,,Bulldogs,71:21,Sea Eagles vs Bulldogs,2018
10,Error,Kerrod Holland,,,,Bulldogs,69:19,Sea Eagles vs Bulldogs,2018
11,Error,Dylan Walker,,,,Sea Eagles,68:29,Sea Eagles vs Bulldogs,2018
12,Conversion-Made,Daly Cherry-Evans,,,18-6,Sea Eagles,68:23,Sea Eagles vs Bulldogs,2018
13,Eagles Interchange,,                   Martin Taupau,                   Kelepi Tanginoa,,Sea,68:09,Sea Eagles vs Bulldogs,2018
14,Try,Addin Fonua-Blake,,,16-6,Sea Eagles,66:55,Sea Eagles vs Bulldogs,2018
15,Linebreak,Addin Fonua-Blake,,,,Sea Eagles,66:54,Sea Eagles vs Bulldogs,2018
16,Line Dropout,Kerrod Holland,,,,Bulldogs,65:36,Sea Eagles vs Bulldogs,2018
17,Eagles Interchange,,                   Trent Hodkinson,                   Manase Fainu,,Sea,65:11,Sea Eagles vs Bulldogs,2018
18,Line Dropout,Kerrod Holland,,,,Bulldogs,63:51,Sea Eagles vs Bulldogs,2018
19,Interchange,,                   Michael Lichaa,                   Fa'amanu Brown,,Bulldogs,63:39,Sea Eagles vs Bulldogs,2018
20,Error,Kerrod Holland,,,,Bulldogs,61:08,Sea Eagles vs Bulldogs,2018
21,Error,David Klemmer,,,,Bulldogs,60:14,Sea Eagles vs Bulldogs,2018
