,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alexander
                
                  Brimson",6.0,Fullback,,84:00,,-,-,-,-,-,-,-,,20.0,,8,87,55,,13,-,-,-,-,1,-,5,4.03s,-,-,-,,-,-,11,21,1.38,,80%,8.0,2,-,-,-,,1,15,1,-,1,-,-,-,,1,1,-,-,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
1,,"Anthony
                
                  Don",2.0,Winger,,84:00,,4,1,-,-,-,-,-,,57.0,,12,270,-,,31,2,-,-,-,5,1,10,3.84s,-,-,-,,-,-,-,12,-,,33.3%,1.0,1,1,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
2,,"Konrad
                
                  Hurrell",3.0,Centre,,84:00,,-,-,-,-,-,-,-,,37.0,,17,135,-,,49,-,1,-,-,4,1,14,3.13s,-,-,-,,1,-,6,19,0.35,,64.3%,9.0,1,4,-,-,,1,2,-,-,-,-,-,-,,2,1,-,1,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
3,,"Brendan
                
                  Elliot",19.0,Centre,,84:00,,-,-,-,-,-,-,-,,2.0,,8,52,-,,18,-,-,-,-,1,2,6,3.03s,-,-,-,,-,-,4,11,0.5,,69.6%,16.0,7,-,-,-,,-,-,-,-,-,-,-,-,,3,2,-,1,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
4,,"Phillip
                
                  Sami",5.0,Winger,,84:00,,4,1,-,-,-,-,-,,38.0,,13,98,-,,26,1,-,-,-,5,-,12,3.46s,1,5,-,,-,-,8,22,0.62,,100%,5.0,-,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
5,,"Kane
                
                  Elgey",21.0,Five-Eighth,,84:00,,2,-,1,1,-,100%,-,,31.0,,9,60,5,,7,-,1,1,-,4,-,3,4.41s,-,-,-,,1,1,32,40,3.56,,70%,14.0,6,-,-,1,,3,72,-,-,2,-,-,-,,1,1,-,1,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
6,,"Ashley
                
                  Taylor",7.0,Halfback,,84:00,,2,-,1,2,-,50%,-,,43.0,,7,45,-,,12,-,-,-,-,5,-,6,4.27s,-,-,-,,-,1,38,54,5.43,,61.9%,13.0,2,6,-,1,,11,331,-,1,-,-,-,1,,2,1,-,-,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
7,,"Jarrod
                
                  Wallace",8.0,Prop,,66:00,,-,-,-,-,-,-,-,,46.0,,21,151,52,,52,-,-,-,-,2,14,17,3.56s,-,-,-,,1,-,6,25,0.29,,82.5%,33.0,4,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,16:32,49:50,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
8,,"Nathan
                
                  Peats",9.0,Hooker,,48:00,,-,-,-,-,-,-,-,,41.0,,9,74,-,,24,-,1,1,-,1,1,6,3.5s,8,61,-,,1,2,48,58,5.33,,86.7%,26.0,1,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,30:59,17:29,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
9,,"Ryan
                
                  James",10.0,Prop,,84:00,,4,1,-,-,-,-,-,,79.0,,18,122,-,,47,1,-,-,-,4,16,15,3.26s,-,-,-,,1,-,4,20,0.22,,94%,47.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,84:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
10,,"Kevin
                
                  Proctor",11.0,2nd Row,,76:00,,-,-,-,-,-,-,-,,30.0,,9,45,-,,22,-,-,-,-,1,8,8,3.71s,-,-,-,,-,-,3,12,0.33,,87.9%,29.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,76:00,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
11,,"Keegan
                
                  Hipgrave",12.0,2nd Row,,68:00,,-,-,-,-,-,-,-,,30.0,,5,43,-,,20,-,-,-,-,-,5,5,3.76s,-,-,-,,-,1,2,7,0.4,,90.9%,30.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,68:25,-,Titans,22,2018-08-11T05:00:00Z,Titans vs Panthers,2018
