,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,43.0,,19,158,51,,39,-,-,1,-,5,-,14,3.42s,3,23,-,,2,3,15,33.0,0.79,,72.7%,8.0,2,1,-,6,,-,-,-,-,-,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,28.0,,13,113,41,,40,-,-,1,-,3,-,10,3.07s,2,16,-,,1,-,2,16.0,0.15,,66.7%,6.0,3,-,-,3,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,23.0,,6,83,-,,29,-,-,-,-,-,-,5,2.85s,1,11,-,,-,2,2,8.0,0.33,,87.5%,7.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
3,,"Kerrod
                
                  Holland",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,48.0,,10,102,-,,29,1,1,-,-,3,-,4,3.24s,3,23,-,,5,1,4,10.0,0.4,,93.8%,15.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
4,,"Reimis
                
                  Smith",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,38.0,,11,157,40,,32,2,-,-,-,3,1,9,3.03s,-,-,-,,-,1,3,14.0,0.27,,66.7%,2.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
5,,"Lachlan
                
                  Lewis",6.0,Five-Eighth,,80:00,,5,1,-,-,-,-,1,,69.0,,2,15,-,,3,-,1,2,-,-,-,1,3.16s,1,7,-,,-,2,19,36.0,9.5,,85.3%,29.0,2,3,-,-,,13,353,1,5,-,-,2,-,,2,1,-,1,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
6,,"Matt
                
                  Frawley",20.0,Halfback,,80:00,,-,-,-,-,-,-,-,,19.0,,4,39,-,,17,-,-,-,-,-,-,4,3.78s,1,10,-,,-,4,18,24.0,4.5,,81.5%,22.0,3,2,-,2,,2,17,-,1,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
7,,"Aiden
                
                  Tolman",8.0,Prop,,69:00,,-,-,-,-,-,-,-,,49.0,,12,104,-,,42,-,-,-,-,-,12,12,2.93s,-,-,-,,-,-,5,17.0,0.42,,95.3%,41.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,68:32,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
8,,"Michael
                
                  Lichaa",9.0,Hooker,,57:00,,-,-,-,-,-,-,-,,51.0,,5,32,-,,6,-,1,1,-,3,2,3,3.35s,3,29,-,,1,8,51,55.0,10.2,,97.1%,34.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,56:54,-,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
9,,"David
                
                  Klemmer",10.0,Prop,,64:00,,-,-,-,-,-,-,-,,56.0,,17,185,11,,80,-,-,-,-,2,16,14,3.7s,-,-,-,,-,-,1,17.0,0.06,,94.7%,36.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,31:44,31:46,Bulldogs,23,2018-08-19T04:00:00Z,Bulldogs vs Warriors,2018
