,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Jason
                
                  Nightingale",5.0,Fullback,,42:00,,-,-,-,-,-,-,-,,24.0,,10.0,87.0,25,,32.0,-,-,-,-,1,-,10.0,2.84s,1,8,-,,1,2,3,14.0,0.3,,88.9%,8.0,1,-,-,5,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,42:20,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
1,,"Jordan
                
                  Pereira",15.0,Winger,,80:00,,-,-,-,-,-,-,-,,34.0,,20.0,155.0,26,,48.0,-,-,-,-,5,-,18.0,2.53s,2,14,-,,-,-,1,22.0,0.05,,71.4%,5.0,-,2,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
2,,"Euan
                
                  Aitken",3.0,Centre,,18:00,,-,-,-,-,-,-,-,,4.0,,1.0,8.0,-,,4.0,-,-,-,-,-,-,1.0,2.56s,-,-,-,,-,-,-,1.0,-,,75%,6.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,18:14,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,7.0,,10.0,83.0,-,,26.0,-,-,-,-,-,-,9.0,2.61s,1,1,-,,-,-,2,13.0,0.2,,53.8%,7.0,2,4,-,-,,1,19,-,-,1,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
4,,"Nene
                
                  Macdonald",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,18.0,,13.0,90.0,15,,39.0,-,-,-,-,1,-,12.0,2.61s,3,17,-,,1,-,8,26.0,0.62,,66.7%,8.0,2,2,-,4,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
5,,"Kurt
                
                  Mann",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,36.0,,13.0,112.0,6,,30.0,-,-,-,-,3,-,6.0,2.69s,2,20,-,,1,7,31,41.0,2.38,,84.2%,16.0,1,2,-,-,,2,43,-,1,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,35.0,,7.0,31.0,-,,2.0,-,-,-,-,-,-,1.0,1.44s,-,-,-,,-,3,38,57.0,5.43,,74.2%,23.0,6,2,-,-,,16,503,-,5,1,-,-,1,,2,1,-,-,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
7,,"James
                
                  Graham",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,33.0,,5.0,42.0,-,,10.0,-,-,-,-,-,3,3.0,3.35s,-,-,-,,-,1,8,11.0,1.6,,91.7%,33.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,24:49,24:55,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
8,,"Cameron
                
                  McInnes",9.0,Hooker,,57:00,,-,-,-,-,-,-,-,,61.0,,6.0,52.0,-,,16.0,-,-,-,-,-,2,6.0,2.2s,4,41,-,,-,2,68,74.0,11.33,,98.4%,62.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,57:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
9,,"Tyson
                
                  Frizell",11.0,Prop,,62:00,,-,-,-,-,-,-,-,,59.0,,10.0,88.0,10,,27.0,-,-,-,-,2,9,10.0,3.04s,-,-,-,,-,-,1,11.0,0.1,,95.9%,47.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:42,38:34,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
10,,"Luciano
                
                  Leilua",17.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,55.0,,9.0,77.0,-,,27.0,-,-,-,-,-,9,9.0,2.79s,-,-,-,,1,1,3,14.0,0.33,,97.9%,47.0,-,1,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
11,,"Tariq
                
                  Sims",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,41.0,,13.0,85.0,-,,37.0,-,-,-,-,1,13,10.0,2.29s,-,-,-,,-,-,1,13.0,0.08,,87.5%,42.0,4,2,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
12,,"Jack
                
                  de Belin",13.0,Lock,,57:00,,-,-,-,-,-,-,-,,54.0,,15.0,104.0,-,,27.0,-,-,-,-,2,9,8.0,2.53s,1,5,-,,-,2,20,29.0,1.33,,95.2%,40.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:13,23:04,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
13,,"Matthew
                
                  Dufty",1.0,Interchange,,62:00,,-,-,-,-,-,-,-,,13.0,,12.0,107.0,55,,30.0,-,-,-,-,1,1,12.0,2.83s,1,6,-,,-,-,10,23.0,0.83,,40%,2.0,3,-,-,4,,1,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,,61:46,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
14,,"Leeson
                
                  Ah Mau",10.0,Interchange,,56:00,,-,-,-,-,-,-,-,,91.0,,13.0,142.0,-,,66.0,-,-,-,-,7,13,12.0,2.58s,-,-,-,,1,-,-,13.0,-,,96.4%,54.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,56:18,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
15,,"Jeremy
                
                  Latimore",14.0,Interchange,,37:00,,-,-,-,-,-,-,-,,50.0,,11.0,90.0,-,,35.0,-,-,-,-,3,11,8.0,2.73s,-,-,-,,2,-,-,11.0,-,,94.1%,32.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,30:16,07:12,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
16,,"Jacob
                
                  Host",21.0,Interchange,,38:00,,-,-,-,-,-,-,-,,17.0,,4.0,40.0,-,,19.0,-,-,-,-,-,4,4.0,2.39s,-,-,-,,-,-,1,5.0,0.25,,81%,17.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,37:40,-,Dragons,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
0,,"Will
                
                  Hopoate",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,39.0,,24.0,201.0,55,,62,-,1,-,-,2,-,20.0,3.98s,4,32,-,,2,-,30,54.0,1.25,,100%,1.0,-,-,-,6,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
1,,"Brett
                
                  Morris",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,51.0,,13.0,119.0,19,,38,1,-,-,-,4,1,9.0,2.2s,4,36,-,,2,-,3,17.0,0.23,,90.9%,10.0,-,1,-,1,,1,21,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
2,,"Josh
                
                  Morris",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,53.0,,17.0,127.0,9,,46,-,1,1,-,4,-,12.0,2.98s,1,6,-,,2,-,5,21.0,0.29,,100%,13.0,-,-,1,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
3,,"Kerrod
                
                  Holland",4.0,Centre,,80:00,,14,-,6,6,1,100%,-,,50.0,,11.0,75.0,-,,24,-,2,1,-,-,1,7.0,3.25s,3,21,-,,4,1,7,17.0,0.64,,93.3%,14.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
4,,"Reimis
                
                  Smith",5.0,Winger,,80:00,,12,3,-,-,-,-,-,,84.0,,14.0,306.0,124,,38,3,-,-,-,5,-,9.0,2.72s,-,-,-,,1,2,1,15.0,0.07,,100%,1.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
5,,"Lachlan
                
                  Lewis",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,63.0,,5.0,34.0,-,,7,-,-,1,-,2,-,1.0,3.56s,-,-,-,,-,-,38,63.0,7.6,,80.8%,21.0,3,2,1,-,,23,601,4,10,1,-,4,-,,2,1,-,-,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
6,,"Matt
                
                  Frawley",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,18.0,,8.0,67.0,-,,26,-,-,-,-,-,-,7.0,3.17s,-,-,-,,-,5,19,31.0,2.38,,73.1%,19.0,6,1,-,-,,5,115,1,1,1,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
7,,"Aiden
                
                  Tolman",8.0,Prop,,71:00,,-,-,-,-,-,-,-,,59.0,,28.0,239.0,9,,98,-,-,-,-,-,26,25.0,2.87s,-,-,-,,1,1,2,29.0,0.07,,95%,38.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,71:18,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
8,,"Michael
                
                  Lichaa",9.0,Hooker,,60:00,,-,-,-,-,-,-,-,,40.0,,3.0,31.0,-,,10,-,-,-,-,-,1,2.0,3.44s,2,30,-,,1,2,99,101.0,33,,92.5%,37.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,59:38,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
9,,"David
                
                  Klemmer",10.0,Prop,,61:00,,-,-,-,-,-,-,-,,52.0,,28.0,279.0,51,,115,-,-,-,-,1,25,26.0,3.44s,-,-,-,,1,4,4,32.0,0.14,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:19,32:44,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
10,,"Josh
                
                  Jackson",11.0,2nd Row,,67:00,,-,-,-,-,-,-,-,,33.0,,7.0,72.0,-,,21,-,-,-,-,-,6,5.0,2.38s,-,-,-,,-,1,4,11.0,0.57,,86.5%,32.0,2,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,06:06,60:48,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
11,,"Rhyse
                
                  Martin",12.0,2nd Row,,17:00,,-,-,-,-,-,-,-,,10.0,,2.0,10.0,-,,3,-,-,-,-,1,2,2.0,3.22s,-,-,-,,-,-,1,3.0,0.5,,100%,6.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,16:40,-,Bulldogs,24,2018-08-26T06:10:00Z,Dragons vs Bulldogs,2018
