,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Raiders vs Rabbitohs,2018
1,Penalty Shot-Made,Sam Williams,,,24-12,Raiders,79:31,Raiders vs Rabbitohs,2018
2,Penalty - Holding Down,Cameron Murray,,,,Rabbitohs,77:58,Raiders vs Rabbitohs,2018
3,Line Dropout,Adam Reynolds,,,,Rabbitohs,77:41,Raiders vs Rabbitohs,2018
4,Error,Angus Crichton,,,,Rabbitohs,77:19,Raiders vs Rabbitohs,2018
5,Interchange,,                   Shannon Boyd,                   Luke Bateman,,Raiders,75:53,Raiders vs Rabbitohs,2018
6,Error,Greg Inglis,,,,Rabbitohs,75:19,Raiders vs Rabbitohs,2018
7,Penalty - Ball Strip,Adam Reynolds,,,,Rabbitohs,73:52,Raiders vs Rabbitohs,2018
8,Error,Jordan Rapana,,,,Raiders,72:15,Raiders vs Rabbitohs,2018
9,Interchange,,                   Tevita Tatola,                   Cameron Murray,,Rabbitohs,72:11,Raiders vs Rabbitohs,2018
10,Conversion-Made,Sam Williams,,,22-12,Raiders,72:06,Raiders vs Rabbitohs,2018
11,Try,Nick Cotric,,,20-12,Raiders,70:38,Raiders vs Rabbitohs,2018
12,Linebreak,Nick Cotric,,,,Raiders,70:38,Raiders vs Rabbitohs,2018
13,Error,Campbell Graham,,,,Rabbitohs,70:26,Raiders vs Rabbitohs,2018
14,Error,Adam Reynolds,,,,Rabbitohs,69:40,Raiders vs Rabbitohs,2018
15,Interchange,,                   Jason Clark,                   George Burgess,,Rabbitohs,69:01,Raiders vs Rabbitohs,2018
16,Kick Bomb,Sam Williams,,,,Raiders,68:41,Raiders vs Rabbitohs,2018
17,Interchange,,                   Luke Bateman,                   Dunamis Lui,,Raiders,68:25,Raiders vs Rabbitohs,2018
18,Interchange,,                   Junior Paulo,                   Shannon Boyd,,Raiders,68:17,Raiders vs Rabbitohs,2018
19,Kick Bomb,Sam Williams,,,,Raiders,66:58,Raiders vs Rabbitohs,2018
20,Conversion-Made,Sam Williams,,,16-12,Raiders,65:57,Raiders vs Rabbitohs,2018
21,Interchange,,                   Thomas Burgess,                   Tevita Tatola,,Rabbitohs,65:22,Raiders vs Rabbitohs,2018
22,Try,Iosia Soliola,,,14-12,Raiders,64:29,Raiders vs Rabbitohs,2018
23,Linebreak,Iosia Soliola,,,,Raiders,64:29,Raiders vs Rabbitohs,2018
24,Line Dropout,Greg Inglis,,,,Rabbitohs,63:22,Raiders vs Rabbitohs,2018
25,Error,Alex Johnston,,,,Rabbitohs,62:36,Raiders vs Rabbitohs,2018
26,Kick Bomb,Blake Austin,,,,Raiders,62:32,Raiders vs Rabbitohs,2018
27,Interchange - Sin Bin Return,Jason Clark,,,,Rabbitohs,62:21,Raiders vs Rabbitohs,2018
28,Error,Joseph Leilua,,,,Raiders,60:02,Raiders vs Rabbitohs,2018
29,Interchange,,                   Cameron Murray,                   Sam Burgess,,Rabbitohs,59:20,Raiders vs Rabbitohs,2018
30,Interchange,,                   Siliva Havili,                   Josh Papalii,,Raiders,57:10,Raiders vs Rabbitohs,2018
31,Error,Alex Johnston,,,,Rabbitohs,56:39,Raiders vs Rabbitohs,2018
32,Penalty - Flop,Elliott Whitehead,,,,Raiders,56:03,Raiders vs Rabbitohs,2018
33,Interchange,,                   Sam Burgess,                   Thomas Burgess,,Rabbitohs,55:05,Raiders vs Rabbitohs,2018
34,Conversion-Made,Sam Williams,,,10-12,Raiders,54:03,Raiders vs Rabbitohs,2018
35,Try,Michael Oldfield,,,8-12,Raiders,52:58,Raiders vs Rabbitohs,2018
36,Linebreak,Michael Oldfield,,,,Raiders,52:58,Raiders vs Rabbitohs,2018
37,Sin Bin,Jason Clark,,,,Rabbitohs,51:59,Raiders vs Rabbitohs,2018
38,Penalty - Professional Foul,Jason Clark,,,,Rabbitohs,51:52,Raiders vs Rabbitohs,2018
39,Penalty - Flop,Adam Reynolds,,,,Rabbitohs,51:49,Raiders vs Rabbitohs,2018
40,Interchange,,                   Emre Guler,                   Luke Bateman,,Raiders,51:42,Raiders vs Rabbitohs,2018
41,Error,Jason Clark,,,,Rabbitohs,49:00,Raiders vs Rabbitohs,2018
42,Line Dropout,Blake Austin,,,,Raiders,48:51,Raiders vs Rabbitohs,2018
43,Error,Brad Abbey,,,,Raiders,48:14,Raiders vs Rabbitohs,2018
44,Interchange,,                   George Burgess,                   Jason Clark,,Rabbitohs,46:57,Raiders vs Rabbitohs,2018
45,Error,Joseph Leilua,,,,Raiders,46:28,Raiders vs Rabbitohs,2018
46,Kick Bomb,Cody Walker,,,,Rabbitohs,45:51,Raiders vs Rabbitohs,2018
47,Kick Bomb,Blake Austin,,,,Raiders,43:03,Raiders vs Rabbitohs,2018
48,Kick Bomb,Adam Reynolds,,,,Rabbitohs,42:12,Raiders vs Rabbitohs,2018
49,Error,Brad Abbey,,,,Raiders,40:54,Raiders vs Rabbitohs,2018
50,Kick Bomb,Sam Williams,,,,Raiders,40:50,Raiders vs Rabbitohs,2018
51,Error,Sam Williams,,,,Raiders,38:41,Raiders vs Rabbitohs,2018
52,Line Dropout,Greg Inglis,,,,Rabbitohs,37:51,Raiders vs Rabbitohs,2018
53,Kick Bomb,Sam Williams,,,,Raiders,36:55,Raiders vs Rabbitohs,2018
54,Error,Cameron Murray,,,,Rabbitohs,36:03,Raiders vs Rabbitohs,2018
55,Error,Damien Cook,,,,Rabbitohs,34:56,Raiders vs Rabbitohs,2018
56,Interchange,,                   Josh Papalii,                   Siliva Havili,,Raiders,34:15,Raiders vs Rabbitohs,2018
57,Error,Campbell Graham,,,,Rabbitohs,33:46,Raiders vs Rabbitohs,2018
58,Penalty - Leg Pull,George Burgess,,,,Rabbitohs,33:04,Raiders vs Rabbitohs,2018
59,Conversion-Missed,Sam Williams,,,,Raiders,32:10,Raiders vs Rabbitohs,2018
60,Video Referee,Try,,,,Raiders,30:47,Raiders vs Rabbitohs,2018
61,Try,Michael Oldfield,,,4-12,Raiders,30:44,Raiders vs Rabbitohs,2018
62,Interchange,,                   Thomas Burgess,                   George Burgess,,Rabbitohs,29:37,Raiders vs Rabbitohs,2018
63,Penalty - 2nd Effort,Sam Burgess,,,,Rabbitohs,29:24,Raiders vs Rabbitohs,2018
64,Error,Greg Inglis,,,,Rabbitohs,28:31,Raiders vs Rabbitohs,2018
65,Error,Thomas Burgess,,,,Rabbitohs,26:50,Raiders vs Rabbitohs,2018
66,Penalty Shot-Made,Adam Reynolds,,,0-12,Rabbitohs,26:06,Raiders vs Rabbitohs,2018
67,Penalty - Leg Pull,Sam Williams,,,,Raiders,25:01,Raiders vs Rabbitohs,2018
68,Error,Blake Austin,,,,Raiders,24:52,Raiders vs Rabbitohs,2018
69,Interchange,,                   Dunamis Lui,                   Emre Guler,,Raiders,24:06,Raiders vs Rabbitohs,2018
70,Error,Alex Johnston,,,,Rabbitohs,24:03,Raiders vs Rabbitohs,2018
71,Error,Jordan Rapana,,,,Raiders,22:09,Raiders vs Rabbitohs,2018
72,Penalty - Dangerous Tackle,Cameron Murray,,,,Rabbitohs,20:57,Raiders vs Rabbitohs,2018
73,Interchange,,                   Shannon Boyd,                   Junior Paulo,,Raiders,20:51,Raiders vs Rabbitohs,2018
74,Error,Sam Burgess,,,,Rabbitohs,20:46,Raiders vs Rabbitohs,2018
75,Error,Jordan Rapana,,,,Raiders,19:17,Raiders vs Rabbitohs,2018
76,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,18:44,Raiders vs Rabbitohs,2018
77,Try,Greg Inglis,,,0-10,Rabbitohs,17:16,Raiders vs Rabbitohs,2018
78,Linebreak,Greg Inglis,,,,Rabbitohs,17:16,Raiders vs Rabbitohs,2018
79,Penalty - Leg Pull,Jordan Rapana,,,,Raiders,16:30,Raiders vs Rabbitohs,2018
80,Error,Brad Abbey,,,,Raiders,16:19,Raiders vs Rabbitohs,2018
81,Penalty - Slow Peel,Angus Crichton,,,,Rabbitohs,15:26,Raiders vs Rabbitohs,2018
82,Interchange,,                   George Burgess,                   Cameron Murray,,Rabbitohs,15:07,Raiders vs Rabbitohs,2018
83,Penalty - Hand in the Ruck,Adam Reynolds,,,,Rabbitohs,14:31,Raiders vs Rabbitohs,2018
84,Error,Campbell Graham,,,,Rabbitohs,13:22,Raiders vs Rabbitohs,2018
85,Conversion-Made,Adam Reynolds,,,0-6,Rabbitohs,11:14,Raiders vs Rabbitohs,2018
86,Try,Cody Walker,,,0-4,Rabbitohs,09:46,Raiders vs Rabbitohs,2018
87,Linebreak,Cody Walker,,,,Rabbitohs,09:46,Raiders vs Rabbitohs,2018
88,Penalty - Offside inside 10m,Jordan Rapana,,,,Raiders,09:02,Raiders vs Rabbitohs,2018
89,Penalty - Slow Peel,Iosia Soliola,,,,Raiders,08:24,Raiders vs Rabbitohs,2018
90,Error,Sam Williams,,,,Raiders,07:04,Raiders vs Rabbitohs,2018
91,Penalty - Offside inside 10m,George Burgess,,,,Rabbitohs,05:59,Raiders vs Rabbitohs,2018
92,Error,Dane Gagai,,,,Rabbitohs,05:11,Raiders vs Rabbitohs,2018
93,Kick Bomb,Adam Reynolds,,,,Rabbitohs,05:07,Raiders vs Rabbitohs,2018
94,Kick Bomb,Sam Williams,,,,Raiders,03:25,Raiders vs Rabbitohs,2018
95,Error,Angus Crichton,,,,Rabbitohs,02:08,Raiders vs Rabbitohs,2018
96,Penalty - Dangerous Tackle,Dunamis Lui,,,,Raiders,00:47,Raiders vs Rabbitohs,2018
97,KICK OFF,,,,,,00:00,Raiders vs Rabbitohs,2018
