,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,71.0,,26.0,288.0,108,,80.0,-,-,-,-,11,-,16,3.44s,2,15,-,,5,8,12,37.0,0.46,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,28.0,,18.0,193.0,20,,85.0,-,1,-,-,4,-,15,2.77s,2,14,-,,1,-,2,24.0,0.11,,80%,4.0,1,-,-,1,,-,-,-,-,-,-,-,-,,5,2,-,-,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
2,,"Latrell
                
                  Mitchell",3.0,Centre,,71:00,,4,-,1,1,1,100%,-,,10.0,,7.0,42.0,-,,8.0,1,-,-,-,1,-,3,4.81s,1,1,-,,-,1,6,12.0,0.86,,75%,12.0,3,1,-,-,,1,6,-,-,1,-,-,-,,2,1,-,1,-,1,-,,71:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
3,,"Joseph
                
                  Manu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,61.0,,9.0,113.0,-,,17.0,1,-,-,-,10,-,5,3.49s,2,26,-,,3,-,3,14.0,0.33,,80%,16.0,1,3,-,-,,1,10,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,39.0,,21.0,232.0,101,,85.0,-,-,-,-,2,-,23,3.11s,-,-,-,,-,2,3,28.0,0.14,,66.7%,4.0,1,1,-,2,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,30.0,,8.0,49.0,-,,6.0,-,-,1,-,-,-,1,2.8s,-,-,-,,-,2,33,37.0,4.13,,83.9%,26.0,4,1,-,-,,3,61,-,1,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,30.0,,5.0,45.0,-,,10.0,-,-,-,-,-,-,2,4.46s,-,-,-,,-,4,39,56.0,7.8,,81.8%,18.0,3,1,-,1,,15,359,-,6,1,-,4,-,,1,-,-,1,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
7,,"Dylan
                
                  Napa",8.0,Prop,,40:00,,-,-,-,-,-,-,-,,18.0,,6.0,69.0,33,,22.0,-,-,-,-,2,4,6,3.21s,-,-,-,,-,-,-,7.0,-,,85%,17.0,2,1,-,-,,1,6,-,-,-,-,1,-,,-,-,-,1,-,1,-,,23:10,15:19,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
8,,"Jake
                
                  Friend",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,72.0,,1.0,12.0,-,,4.0,-,-,-,-,1,-,-,-,1,12,-,,1,3,95,94.0,95,,91.3%,73.0,4,3,-,-,,3,34,-,-,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
9,,"Siosiua
                
                  Taukeiaho",10.0,Prop,,44:00,,-,-,-,-,-,-,-,,50.0,,13.0,141.0,16,,59.0,-,-,-,-,4,12,12,2.8s,-,-,-,,-,-,-,13.0,-,,96.6%,28.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,26:48,16:47,Roosters,24,2018-08-25T09:35:00Z,Roosters vs Broncos,2018
