,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,26.0,,12.0,144.0,60,,53,-,-,-,-,3,-,10,3.77s,-,-,-,,-,3,5,20.0,0.42,,100%,4.0,-,-,-,2,,-,-,-,-,-,-,-,-,,4,2,-,-,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
1,,"Reece
                
                  Robinson",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,17.0,,14.0,83.0,7,,23,-,-,-,-,1,-,13,3.73s,-,-,-,,-,-,7,23.0,0.5,,100%,2.0,-,-,-,1,,1,16,1,-,1,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
2,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,14,1,5,7,-,71.43%,-,,39.0,,8.0,96.0,-,,39,1,-,-,-,5,-,5,2.5s,-,-,-,,-,-,2,14.0,0.25,,70%,7.0,3,-,-,-,,1,-,-,-,-,-,-,-,,2,2,-,2,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
3,,"Joseph
                
                  Manu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,5.0,86.0,-,,11,-,-,1,-,2,-,2,2.52s,-,-,-,,-,-,3,7.0,0.6,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,54.0,,18.0,216.0,21,,58,-,-,-,-,6,1,16,3.26s,-,-,-,,-,-,1,21.0,0.06,,100%,2.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,56.0,,10.0,79.0,-,,8,1,1,2,-,5,-,-,-,-,-,-,,3,2,39,47.0,3.9,,71.4%,10.0,3,1,-,-,,3,80,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,46.0,,5.0,26.0,-,,-,-,-,2,-,1,-,-,-,-,-,-,,1,-,35,46.0,7,,81.3%,13.0,3,-,-,-,,9,300,-,-,1,-,1,-,,1,1,-,2,-,-,-,,80:00,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
7,,"Siosiua
                
                  Taukeiaho",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,26.0,,12.0,108.0,12,,29,-,-,-,-,-,11,11,4.36s,-,-,-,,-,-,3,15.0,0.25,,94.7%,18.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:12,17:05,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
8,,"Jake
                
                  Friend",9.0,Hooker,,77:00,,-,-,-,-,-,-,-,,70.0,,6.0,64.0,-,,19,-,-,-,-,1,2,5,3.63s,4,36,-,,-,2,94,93.0,15.67,,98.2%,56.0,1,-,-,-,,3,64,2,-,2,-,-,-,,1,-,-,-,-,-,-,,76:30,-,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
9,,"Dylan
                
                  Napa",10.0,Prop,,50:00,,-,-,-,-,-,-,-,,19.0,,8.0,82.0,12,,35,-,-,-,-,-,7,9,3.82s,-,-,-,,-,-,-,9.0,-,,82.6%,19.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:36,14:50,Roosters,3,2018-03-25T07:30:00Z,Roosters vs Knights,2018
