,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Knights,2018
1,Penalty - Ball Strip,Nathan Ross,,,,Knights,78:06,Roosters vs Knights,2018
2,Sin Bin,Tautau Moga,,,,Knights,77:48,Roosters vs Knights,2018
3,Penalty - Professional Foul,Tautau Moga,,,,Knights,77:38,Roosters vs Knights,2018
4,Error,Kalyn Ponga,,,,Knights,77:25,Roosters vs Knights,2018
5,Error,Blake Ferguson,,,,Roosters,76:54,Roosters vs Knights,2018
6,Error,James Tedesco,,,,Roosters,76:43,Roosters vs Knights,2018
7,Interchange,,                   Jake Friend,                   Victor Radley,,Roosters,76:30,Roosters vs Knights,2018
8,Error,Tautau Moga,,,,Knights,75:38,Roosters vs Knights,2018
9,Error,Joseph Manu,,,,Roosters,74:38,Roosters vs Knights,2018
10,Line Dropout,Mitchell Pearce,,,,Knights,74:35,Roosters vs Knights,2018
11,Penalty - Escorts,Sione Mata'utia,,,,Knights,72:39,Roosters vs Knights,2018
12,Error,James Tedesco,,,,Roosters,70:53,Roosters vs Knights,2018
13,Penalty - Offside inside 10m,Jacob Lillyman,,,,Knights,70:15,Roosters vs Knights,2018
14,Penalty - Offside inside 10m,Jacob Lillyman,,,,Knights,69:27,Roosters vs Knights,2018
15,Error,Kalyn Ponga,,,,Knights,68:52,Roosters vs Knights,2018
16,Interchange,,                   Aidan Guerra,                   Jamie Buhrer,,Knights,68:47,Roosters vs Knights,2018
17,Conversion-Missed,Latrell Mitchell,,,,Roosters,67:05,Roosters vs Knights,2018
18,Interchange,,                   Boyd Cordner,                   Mitchell Aubusson,,Roosters,66:29,Roosters vs Knights,2018
19,Try,Blake Ferguson,,,38-8,Roosters,65:34,Roosters vs Knights,2018
20,Interchange,,                   Jared Waerea-Hargreaves,                   Dylan Napa,,Roosters,65:10,Roosters vs Knights,2018
21,Error,Mitchell Pearce,,,,Knights,64:42,Roosters vs Knights,2018
22,Interchange,,                   Daniel Saifiti,                   Jacob Lillyman,,Knights,64:08,Roosters vs Knights,2018
23,Interchange,,                   Jacob Saifiti,                   Herman Ese'ese,,Knights,64:08,Roosters vs Knights,2018
24,Error,James Tedesco,,,,Roosters,63:09,Roosters vs Knights,2018
25,Interchange,,                   Zane Tetevano,                   Siosiua Taukeiaho,,Roosters,62:55,Roosters vs Knights,2018
26,Line Dropout,Mitchell Pearce,,,,Knights,62:15,Roosters vs Knights,2018
