,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,53.0,,14.0,140.0,61,,37,1,1,1,-,8,-,13,4.13s,-,-,-,,1,6,7,23.0,0.5,,66.7%,6.0,3,-,-,3,,1,34,-,-,-,-,-,1,,-,-,-,1,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
1,,"Reece
                
                  Robinson",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,1.0,,4.0,25.0,-,,9,-,-,-,-,-,-,4,4.22s,1,9,-,,-,1,3,9.0,0.75,,100%,2.0,-,-,-,1,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
2,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,6,1,-,1,1,50%,-,,54.0,,7.0,111.0,-,,24,2,-,-,-,9,-,4,3.74s,-,-,-,,1,-,1,10.0,0.14,,76.9%,10.0,1,2,-,-,,1,19,-,-,-,-,-,-,,2,2,-,4,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
3,,"Joseph
                
                  Manu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,15.0,,4.0,41.0,-,,11,-,-,-,-,-,-,3,4.56s,-,-,-,,-,2,1,5.0,0.25,,85%,17.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,12.0,100.0,7,,33,-,-,-,-,4,2,10,3.7s,-,-,-,,-,-,3,15.0,0.25,,85.7%,6.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,12.0,,4.0,30.0,-,,4,-,1,-,-,-,-,2,3.28s,-,-,-,,-,3,26,28.0,6.5,,72.7%,16.0,4,2,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,25.0,,3.0,5.0,1,,-,-,-,-,-,1,-,1,3.92s,-,-,-,,-,6,27,35.0,9,,90.5%,19.0,1,1,-,-,,7,180,-,1,1,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
7,,"Siosiua
                
                  Taukeiaho",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,15.0,,4.0,31.0,-,,10,-,-,-,-,1,4,3,4.32s,-,-,-,,-,1,3,8.0,0.75,,77.3%,17.0,2,3,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,25:10,16:42,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
8,,"Jake
                
                  Friend",9.0,Hooker,,72:00,,-,-,-,-,-,-,-,,36.0,,2.0,2.0,-,,-,-,-,-,-,-,1,-,-,1,-,-,,-,7,78,74.0,39,,88.1%,52.0,4,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,3,-,-,-,,72:09,-,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
9,,"Dylan
                
                  Napa",10.0,Prop,,45:00,,-,-,-,-,-,-,-,,22.0,,5.0,47.0,-,,18,-,-,-,-,-,5,5,3.86s,-,-,-,,-,-,-,6.0,-,,80%,28.0,3,4,-,-,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,27:57,16:40,Roosters,4,2018-03-31T06:30:00Z,Roosters vs Warriors,2018
