,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Valentine
                
                  Holmes",5.0,Fullback,,80:00,,-,-,-,-,-,-,-,,17,,14.0,115.0,53,,33.0,-,-,-,-,2,-,11.0,3.92s,1,13,-,,-,5,8,21.0,0.57,,66.7%,4.0,1,1,-,2,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,15,,10.0,94.0,-,,27.0,-,-,-,-,2,1,8.0,3.29s,1,13,-,,-,-,-,10.0,-,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
2,,"Jesse
                
                  Ramien",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,27,,8.0,53.0,1,,13.0,-,1,1,-,1,1,6.0,4.25s,-,-,-,,-,2,6,12.0,0.75,,94.4%,17.0,1,-,-,1,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
3,,"Ricky
                
                  Leutele",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,4,,10.0,86.0,3,,29.0,-,-,-,-,-,1,9.0,3.86s,-,-,-,,-,2,8,13.0,0.8,,57.1%,4.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
4,,"Edrick
                
                  Lee",20.0,Winger,,80:00,,4,1,-,-,-,-,-,,24,,11.0,104.0,6,,36.0,1,-,-,-,-,-,7.0,2.62s,1,12,-,,-,-,-,11.0,-,,100%,5.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
5,,"Trent
                
                  Hodkinson",19.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,14,,5.0,35.0,-,,11.0,-,-,-,-,2,-,4.0,3.71s,1,6,-,,-,5,25,32.0,5,,71.4%,5.0,1,1,-,3,,2,34,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
6,,"Chad
                
                  Townsend",7.0,Halfback,,80:00,,10,-,1,1,4,100%,-,,33,,1.0,4.0,-,,1.0,-,-,-,-,-,-,1.0,2.96s,-,-,-,,-,4,25,32.0,25,,90.9%,20.0,2,-,-,1,,9,240,-,6,-,-,-,1,,1,-,-,2,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
7,,"Andrew
                
                  Fifita",8.0,Prop,,64:00,,-,-,-,-,-,-,-,,38,,16.0,134.0,15,,36.0,-,-,-,-,-,14,13.0,3.66s,-,-,-,,1,-,-,16.0,-,,93.9%,31.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,35:17,28:28,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
8,,"Jayden
                
                  Brailey",9.0,Hooker,,55:00,,-,-,-,-,-,-,-,,26,,3.0,19.0,-,,4.0,-,-,-,-,-,2,3.0,4.05s,1,15,-,,-,10,67,71.0,22.33,,96.8%,30.0,-,1,-,-,,1,29,-,-,-,-,-,1,,-,-,-,3,-,-,-,,54:50,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
9,,"Matt
                
                  Prior",10.0,Prop,,70:00,,-,-,-,-,-,-,-,,48,,12.0,99.0,-,,38.0,-,-,-,-,2,12,10.0,3.61s,-,-,-,,2,2,-,12.0,-,,96.7%,29.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:25,44:43,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
10,,"Luke
                
                  Lewis",11.0,2nd Row,,54:00,,-,-,-,-,-,-,-,,40,,10.0,82.0,-,,29.0,-,-,-,-,2,9,8.0,3.58s,1,3,-,,-,-,2,12.0,0.2,,100%,30.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,1,-,,63:19,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
11,,"Wade
                
                  Graham",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,23,,13.0,107.0,-,,42.0,-,-,-,-,-,13,7.0,4.34s,-,-,-,,-,3,4,19.0,0.31,,95%,19.0,1,-,-,-,,2,46,-,-,1,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
12,,"Paul
                
                  Gallen",13.0,Lock,,57:00,,-,-,-,-,-,-,-,,42,,16.0,118.0,-,,37.0,-,-,-,-,1,15,12.0,3.42s,1,6,-,,1,4,1,18.0,0.06,,100%,30.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,29:12,27:05,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
13,,"Kurt
                
                  Capewell",14.0,Interchange,,17:00,,-,-,-,-,-,-,-,,-,,3.0,20.0,-,,4.0,-,-,-,-,-,3,3.0,4.17s,-,-,-,,-,-,-,3.0,-,,40%,2.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,16:41,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
14,,"James
                
                  Segeyaro",15.0,Interchange,,25:00,,-,-,-,-,-,-,-,,17,,5.0,49.0,-,,12.0,-,-,-,-,1,1,2.0,2.16s,4,44,-,,1,7,29,33.0,5.8,,88.9%,8.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:10,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
15,,"Ava
                
                  Seumanufagai",16.0,Interchange,,28:00,,-,-,-,-,-,-,-,,23,,7.0,50.0,13,,13.0,-,-,-,-,1,6,6.0,3.55s,-,-,-,,-,-,-,7.0,-,,100%,17.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:06,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
16,,"Joseph
                
                  Paulo",17.0,Interchange,,24:00,,-,-,-,-,-,-,-,,20,,5.0,41.0,-,,13.0,-,-,-,-,-,4,4.0,4s,-,-,-,,-,2,6,10.0,1.2,,88.9%,16.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:43,-,Sharks,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
0,,"Billy
                
                  Slater",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,23.0,,13.0,97.0,40,,24,-,-,-,-,2,-,7,4.04s,1,12,-,,1,5,18,27.0,1.38,,100%,3.0,-,-,-,2,,1,34,-,-,-,-,-,-,,-,-,-,-,1,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
1,,"Suliasi
                
                  Vunivalu",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,10.0,95.0,-,,35,-,-,-,-,1,1,8,2.43s,2,19,-,,1,1,4,17.0,0.4,,80%,4.0,1,-,-,1,,-,-,-,-,-,-,-,-,,2,2,-,1,-,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
2,,"Will
                
                  Chambers",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,8.0,67.0,-,,11,-,-,-,-,1,-,5,2.83s,3,35,-,,1,2,2,11.0,0.25,,90.9%,20.0,2,-,-,-,,1,39,-,-,-,-,-,-,,2,2,-,3,1,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
3,,"Curtis
                
                  Scott",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,18.0,166.0,-,,46,-,-,-,-,2,1,14,3.4s,1,8,-,,1,3,1,19.0,0.06,,66.7%,2.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
4,,"Josh
                
                  Addo-Carr",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,14.0,,8.0,59.0,4,,16,-,-,-,-,2,2,8,2.99s,2,22,-,,-,1,1,13.0,0.13,,100%,3.0,-,-,-,4,,1,19,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
5,,"Cameron
                
                  Munster",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,27.0,,12.0,71.0,-,,6,-,1,-,-,1,1,5,4.36s,1,13,-,,-,5,27,37.0,2.25,,95%,19.0,-,1,-,-,,4,44,-,-,3,-,-,1,,1,-,-,2,-,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
6,,"Brodie
                
                  Croft",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,31.0,,4.0,46.0,-,,9,-,-,-,-,1,-,3,3.13s,-,-,-,,-,9,14,24.0,3.5,,95.2%,20.0,1,-,-,-,,7,87,1,1,3,-,3,-,,-,-,-,-,-,-,-,,80:00,-,Storm,4,2018-03-30T09:05:00Z,Sharks vs Storm,2018
