,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Nick
                
                  Cotric",2.0,Fullback,,80:00,,-,-,-,-,-,-,-,,40.0,,14.0,142.0,39,,34,-,1,-,-,5,-,10.0,3.95s,2,23,-,,2,1,1,14.0,0.07,,100%,4,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
1,,"Michael
                
                  Oldfield",19.0,Winger,,39:00,,-,-,-,-,-,-,-,,1.0,,2.0,23.0,-,,9,-,-,-,-,-,-,2.0,2.78s,-,-,-,,-,-,-,3.0,-,,66.7%,2,1,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,39:00,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
2,,"Jarrod
                
                  Croker",3.0,Centre,,80:00,,18,2,3,4,2,83.33%,-,,47.0,,9.0,83.0,17,,17,1,-,-,-,2,-,9.0,3.61s,3,23,-,,-,1,2,16.0,0.22,,84.6%,11,2,-,-,2,,1,5,-,-,1,-,-,-,,2,-,-,1,-,-,-,,80:00,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
3,,"Joseph
                
                  Leilua",4.0,Centre,,80:00,,8,2,-,-,-,-,-,,56.0,,11.0,114.0,-,,38,2,-,-,-,4,2,6.0,3.1s,2,23,-,,2,2,6,15.0,0.55,,73.3%,11,4,-,-,-,,1,12,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
4,,"Jordan
                
                  Rapana",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,33.0,,10.0,135.0,-,,30,1,-,1,-,3,-,9.0,3.64s,4,21,-,,1,-,8,20.0,0.8,,76.9%,10,3,-,-,-,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
5,,"Aidan
                
                  Sezer",6.0,Five-Eighth,,77:00,,-,-,-,-,-,-,-,,37.0,,2.0,12.0,-,,-,-,-,2,-,-,-,1.0,4.48s,-,-,-,,-,3,23,38.0,11.5,,81.3%,13,3,-,-,-,,14,315,2,1,2,-,-,-,,-,-,-,-,-,-,-,,77:13,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
6,,"Sam
                
                  Williams",7.0,Halfback,,55:00,,-,-,-,-,-,-,-,,14.0,,2.0,14.0,4,,3,-,1,-,-,-,-,1.0,3.76s,-,-,-,,-,2,17,24.0,8.5,,88.9%,8,-,1,-,-,,4,157,-,1,-,-,-,-,,1,-,-,1,-,-,-,,55:23,-,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
7,,"Iosia
                
                  Soliola",8.0,Prop,,64:00,,-,-,-,-,-,-,-,,33.0,,8.0,94.0,-,,48,-,-,-,-,1,8,8.0,3.18s,-,-,-,,-,3,2,9.0,0.25,,90%,27,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:48,40:51,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
8,,"Siliva
                
                  Havili",9.0,Hooker,,78:00,,-,-,-,-,-,-,-,,46.0,,3.0,34.0,-,,13,-,-,-,-,2,1,2.0,3.46s,2,24,-,,1,4,93,95.0,31,,93%,40,1,2,-,-,,1,34,-,-,-,-,-,-,,1,1,-,2,-,-,-,,33:41,44:09,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
9,,"Junior
                
                  Paulo",10.0,Prop,,48:00,,-,-,-,-,-,-,-,,29.0,,12.0,152.0,49,,62,-,-,-,-,1,9,12.0,3.63s,-,-,-,,-,1,-,12.0,-,,85%,17,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,22:49,24:37,Raiders,5,2018-04-05T09:50:00Z,Raiders vs Bulldogs,2018
