,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Sea Eagles,2018
1,Conversion-Made,Kevin Proctor,,,32-20,Titans,79:59,Titans vs Sea Eagles,2018
2,Video Referee,Try,,,,Titans,78:55,Titans vs Sea Eagles,2018
3,Try,Jai Arrow,,,30-20,Titans,78:54,Titans vs Sea Eagles,2018
4,Linebreak,Jai Arrow,,,,Titans,78:54,Titans vs Sea Eagles,2018
5,Error,Martin Taupau,,,,Sea Eagles,78:47,Titans vs Sea Eagles,2018
6,Error,Mitch Rein,,,,Titans,78:45,Titans vs Sea Eagles,2018
7,Line Dropout,Matthew Wright,,,,Sea Eagles,78:00,Titans vs Sea Eagles,2018
8,Eagles Interchange,,                   Addin Fonua-Blake,                   Martin Taupau,,Sea,77:51,Titans vs Sea Eagles,2018
9,Drop Goal-Missed,Ashley Taylor,,,,Titans,77:34,Titans vs Sea Eagles,2018
10,Conversion-Missed,Michael Gordon,,,,Titans,74:58,Titans vs Sea Eagles,2018
11,Try,Anthony Don,,,26-20,Titans,73:23,Titans vs Sea Eagles,2018
12,Linebreak,Anthony Don,,,,Titans,73:23,Titans vs Sea Eagles,2018
13,Interchange,,                   Max King,                   Jarrod Wallace,,Titans,70:02,Titans vs Sea Eagles,2018
14,Error,Apisai Koroisau,,,,Sea Eagles,69:56,Titans vs Sea Eagles,2018
15,Eagles Interchange,,                   Martin Taupau,                   Lloyd Perrett,,Sea,69:40,Titans vs Sea Eagles,2018
16,Eagles Interchange,,                   Lachlan Croker,                   Jackson Hastings,,Sea,66:59,Titans vs Sea Eagles,2018
17,Error,Jake Trbojevic,,,,Sea Eagles,65:04,Titans vs Sea Eagles,2018
18,Interchange,,                   Keegan Hipgrave,                   Mitch Rein,,Titans,63:04,Titans vs Sea Eagles,2018
19,Penalties - Other,Lachlan Croker,,,,Sea Eagles,62:50,Titans vs Sea Eagles,2018
20,Error,Ryan James,,,,Titans,60:49,Titans vs Sea Eagles,2018
21,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,60:23,Titans vs Sea Eagles,2018
22,Conversion-Made,Daly Cherry-Evans,,,22-20,Sea Eagles,59:22,Titans vs Sea Eagles,2018
23,Try,Brian Kelly,,,22-18,Sea Eagles,57:59,Titans vs Sea Eagles,2018
24,Linebreak,Apisai Koroisau,,,,Sea Eagles,57:55,Titans vs Sea Eagles,2018
25,Eagles Interchange,,                   Shaun Lane,                   Addin Fonua-Blake,,Sea,56:07,Titans vs Sea Eagles,2018
26,Eagles Interchange - HIA Cleared,,                   Jackson Hastings,                   Lachlan Croker,,Sea,55:30,Titans vs Sea Eagles,2018
27,Conversion-Made,Daly Cherry-Evans,,,22-14,Sea Eagles,55:29,Titans vs Sea Eagles,2018
28,Try,Daly Cherry-Evans,,,22-12,Sea Eagles,54:04,Titans vs Sea Eagles,2018
29,Error,Ashley Taylor,,,,Titans,53:51,Titans vs Sea Eagles,2018
30,Interchange - Free,,                   Dale Copley,                   Max King,,Titans,52:58,Titans vs Sea Eagles,2018
31,Interchange,,                   Jarrod Wallace,                   Jai Arrow,,Titans,52:44,Titans vs Sea Eagles,2018
32,Penalty - Dangerous Tackle,Jack Gosiewski,,,,Sea Eagles,52:43,Titans vs Sea Eagles,2018
33,Eagles Interchange,,                   Lloyd Perrett,                   Martin Taupau,,Sea,49:26,Titans vs Sea Eagles,2018
34,Penalty Shot-Made,Michael Gordon,,,22-8,Titans,49:19,Titans vs Sea Eagles,2018
35,Penalty - Slow Peel,Jake Trbojevic,,,,Sea Eagles,48:02,Titans vs Sea Eagles,2018
36,Interchange,,                   Morgan Boyle,                   Keegan Hipgrave,,Titans,47:26,Titans vs Sea Eagles,2018
37,Penalty - Hand in the Ruck,Jake Trbojevic,,,,Sea Eagles,47:24,Titans vs Sea Eagles,2018
38,Error,Daly Cherry-Evans,,,,Sea Eagles,47:01,Titans vs Sea Eagles,2018
39,Kick Bomb,Kane Elgey,,,,Titans,46:12,Titans vs Sea Eagles,2018
40,Error,Brian Kelly,,,,Sea Eagles,44:42,Titans vs Sea Eagles,2018
41,Linebreak,Brian Kelly,,,,Sea Eagles,44:39,Titans vs Sea Eagles,2018
42,Kick Bomb,Ashley Taylor,,,,Titans,43:51,Titans vs Sea Eagles,2018
43,Error,Apisai Koroisau,,,,Sea Eagles,42:29,Titans vs Sea Eagles,2018
44,Penalty - Hand in the Ruck,Kevin Proctor,,,,Titans,42:01,Titans vs Sea Eagles,2018
45,Eagles Interchange - HIA,,                   Lachlan Croker,                   Jackson Hastings,,Sea,41:32,Titans vs Sea Eagles,2018
46,Penalty - Dangerous Tackle,Ryan James,,,,Titans,41:30,Titans vs Sea Eagles,2018
47,Penalty - Hand in the Ruck,Bryce Cartwright,,,,Titans,41:08,Titans vs Sea Eagles,2018
48,Line Dropout,Ashley Taylor,,,,Titans,40:43,Titans vs Sea Eagles,2018
49,Error,Phillip Sami,,,,Titans,40:04,Titans vs Sea Eagles,2018
50,Conversion-Made,Michael Gordon,,,20-8,Titans,39:36,Titans vs Sea Eagles,2018
51,Video Referee,Try,,,,Titans,38:13,Titans vs Sea Eagles,2018
52,Try,Morgan Boyle,,,18-8,Titans,38:12,Titans vs Sea Eagles,2018
53,Error,Akuila Uate,,,,Sea Eagles,38:09,Titans vs Sea Eagles,2018
54,Penalty Shot-Made,Michael Gordon,,,14-8,Titans,36:42,Titans vs Sea Eagles,2018
55,Penalty - Crowding,Lloyd Perrett,,,,Sea Eagles,35:17,Titans vs Sea Eagles,2018
56,Error,Jonathan Wright,,,,Sea Eagles,34:41,Titans vs Sea Eagles,2018
57,Penalty - Ball Strip,Daly Cherry-Evans,,,,Sea Eagles,33:20,Titans vs Sea Eagles,2018
58,Interchange,,                   Jai Arrow,                   Morgan Boyle,,Titans,33:04,Titans vs Sea Eagles,2018
59,Interchange,,                   Jai Arrow,                   Jarrod Wallace,,Titans,33:04,Titans vs Sea Eagles,2018
