,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Roosters vs Rabbitohs,2018
1,Error,Dane Gagai,,,,Rabbitohs,78:50,Roosters vs Rabbitohs,2018
2,Drop Goal-Missed,Adam Reynolds,,,,Rabbitohs,78:45,Roosters vs Rabbitohs,2018
3,Error,Luke Keary,,,,Roosters,77:48,Roosters vs Rabbitohs,2018
4,Interchange,,                   Thomas Burgess,                   George Burgess,,Rabbitohs,74:16,Roosters vs Rabbitohs,2018
5,Penalty - Offside inside 10m,Adam Reynolds,,,,Rabbitohs,74:03,Roosters vs Rabbitohs,2018
6,Penalty - Slow Peel,Damien Cook,,,,Rabbitohs,73:30,Roosters vs Rabbitohs,2018
7,Penalty - Crowding,Mark Nicholls,,,,Rabbitohs,73:12,Roosters vs Rabbitohs,2018
8,Interchange,,                   Jake Friend,                   Victor Radley,,Roosters,73:09,Roosters vs Rabbitohs,2018
9,Error,Angus Crichton,,,,Rabbitohs,72:18,Roosters vs Rabbitohs,2018
10,Interchange,,                   Jason Clark,                   Mark Nicholls,,Rabbitohs,72:06,Roosters vs Rabbitohs,2018
11,Penalty - Holding Down,Jake Friend,,,,Roosters,71:13,Roosters vs Rabbitohs,2018
12,Error,Luke Keary,,,,Roosters,69:25,Roosters vs Rabbitohs,2018
13,Penalty - 2nd Effort,Adam Reynolds,,,,Rabbitohs,68:16,Roosters vs Rabbitohs,2018
14,Penalty - Offside inside 10m,Cody Walker,,,,Rabbitohs,67:29,Roosters vs Rabbitohs,2018
15,Penalty - Escorts,Adam Reynolds,,,,Rabbitohs,66:56,Roosters vs Rabbitohs,2018
16,Interchange,,                   Zane Tetevano,                   Mitchell Aubusson,,Roosters,65:07,Roosters vs Rabbitohs,2018
17,Conversion-Made,Adam Reynolds,,,14-26,Rabbitohs,65:02,Roosters vs Rabbitohs,2018
18,Try,John Sutton,,,14-24,Rabbitohs,63:35,Roosters vs Rabbitohs,2018
19,Linebreak,John Sutton,,,,Rabbitohs,63:35,Roosters vs Rabbitohs,2018
20,Error,Blake Ferguson,,,,Roosters,62:48,Roosters vs Rabbitohs,2018
21,Kick Bomb,Adam Reynolds,,,,Rabbitohs,62:41,Roosters vs Rabbitohs,2018
22,Penalty Shot-Made,Adam Reynolds,,,14-20,Rabbitohs,61:02,Roosters vs Rabbitohs,2018
23,Penalty - Offside inside 10m,Jake Friend,,,,Roosters,59:20,Roosters vs Rabbitohs,2018
24,Interchange,,                   Mark Nicholls,                   Kyle Turner,,Rabbitohs,58:40,Roosters vs Rabbitohs,2018
25,Interchange,,                   Nat Butcher,                   Isaac Liu,,Roosters,58:38,Roosters vs Rabbitohs,2018
26,Linebreak,Luke Keary,,,,Roosters,56:42,Roosters vs Rabbitohs,2018
27,Interchange,,                   Jared Waerea-Hargreaves,                   Dylan Napa,,Roosters,56:15,Roosters vs Rabbitohs,2018
28,Kick Bomb,Cody Walker,,,,Rabbitohs,55:59,Roosters vs Rabbitohs,2018
29,Kick Bomb,Luke Keary,,,,Roosters,55:12,Roosters vs Rabbitohs,2018
30,Conversion-Made,Latrell Mitchell,,,14-18,Roosters,54:24,Roosters vs Rabbitohs,2018
31,Video Referee,Try,,,,Roosters,53:43,Roosters vs Rabbitohs,2018
32,Try,Ryan Matterson,,,12-18,Roosters,53:42,Roosters vs Rabbitohs,2018
33,Penalty - Holding Down,Jason Clark,,,,Rabbitohs,52:23,Roosters vs Rabbitohs,2018
34,Interchange,,                   Victor Radley,                   Jake Friend,,Roosters,52:15,Roosters vs Rabbitohs,2018
35,Interchange,,                   Tevita Tatola,                   Jason Clark,,Rabbitohs,51:33,Roosters vs Rabbitohs,2018
36,Linebreak,James Tedesco,,,,Roosters,50:50,Roosters vs Rabbitohs,2018
37,Interchange,,                   George Burgess,                   Thomas Burgess,,Rabbitohs,49:44,Roosters vs Rabbitohs,2018
38,Error,Damien Cook,,,,Rabbitohs,49:42,Roosters vs Rabbitohs,2018
39,Conversion-Made,Adam Reynolds,,,8-18,Rabbitohs,46:28,Roosters vs Rabbitohs,2018
40,Try,Greg Inglis,,,8-16,Rabbitohs,44:44,Roosters vs Rabbitohs,2018
41,Kick Bomb,Cody Walker,,,,Rabbitohs,44:37,Roosters vs Rabbitohs,2018
42,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,43:34,Roosters vs Rabbitohs,2018
43,Video Referee,Try,,,,Rabbitohs,42:22,Roosters vs Rabbitohs,2018
44,Try,Angus Crichton,,,8-12,Rabbitohs,42:11,Roosters vs Rabbitohs,2018
45,Error,James Tedesco,,,,Roosters,42:09,Roosters vs Rabbitohs,2018
46,Kick Bomb,Adam Reynolds,,,,Rabbitohs,42:02,Roosters vs Rabbitohs,2018
47,Error,Nat Butcher,,,,Roosters,41:10,Roosters vs Rabbitohs,2018
48,Penalty - Offside inside 10m,George Burgess,,,,Rabbitohs,40:26,Roosters vs Rabbitohs,2018
49,Error,Dane Gagai,,,,Rabbitohs,39:50,Roosters vs Rabbitohs,2018
50,Linebreak,Cody Walker,,,,Rabbitohs,39:38,Roosters vs Rabbitohs,2018
51,Conversion-Made,Adam Reynolds,,,8-8,Rabbitohs,38:29,Roosters vs Rabbitohs,2018
52,Video Referee,Try,,,,Rabbitohs,37:08,Roosters vs Rabbitohs,2018
53,Try,Robert Jennings,,,8-6,Rabbitohs,37:04,Roosters vs Rabbitohs,2018
54,Linebreak,Robert Jennings,,,,Rabbitohs,37:04,Roosters vs Rabbitohs,2018
55,Penalty - Offside Downtown,Victor Radley,,,,Roosters,35:51,Roosters vs Rabbitohs,2018
56,Kick Bomb,Cooper Cronk,,,,Roosters,35:47,Roosters vs Rabbitohs,2018
57,Interchange,,                   Jason Clark,                   George Burgess,,Rabbitohs,34:53,Roosters vs Rabbitohs,2018
58,Conversion-Made,Latrell Mitchell,,,8-2,Roosters,34:49,Roosters vs Rabbitohs,2018
59,Video Referee,Try,,,,Roosters,33:30,Roosters vs Rabbitohs,2018
60,Try,Latrell Mitchell,,,6-2,Roosters,33:20,Roosters vs Rabbitohs,2018
61,Linebreak,Latrell Mitchell,,,,Roosters,33:20,Roosters vs Rabbitohs,2018
62,Linebreak,James Tedesco,,,,Roosters,33:07,Roosters vs Rabbitohs,2018
63,Interchange,,                   Jake Friend,                   Victor Radley,,Roosters,29:44,Roosters vs Rabbitohs,2018
64,Interchange,,                   Isaac Liu,                   Nat Butcher,,Roosters,29:38,Roosters vs Rabbitohs,2018
65,Interchange,,                   Dylan Napa,                   Zane Tetevano,,Roosters,29:28,Roosters vs Rabbitohs,2018
66,Error,Alex Johnston,,,,Rabbitohs,28:31,Roosters vs Rabbitohs,2018
67,Penalty - Offside inside 10m,Cooper Cronk,,,,Roosters,27:46,Roosters vs Rabbitohs,2018
68,Error,Jared Waerea-Hargreaves,,,,Roosters,27:33,Roosters vs Rabbitohs,2018
69,Line Dropout,Latrell Mitchell,,,,Roosters,26:50,Roosters vs Rabbitohs,2018
70,Error,Blake Ferguson,,,,Roosters,24:28,Roosters vs Rabbitohs,2018
71,Kick Bomb,Adam Reynolds,,,,Rabbitohs,24:17,Roosters vs Rabbitohs,2018
72,Interchange,,                   Thomas Burgess,                   Mark Nicholls,,Rabbitohs,23:42,Roosters vs Rabbitohs,2018
73,Penalty Shot-Made,Latrell Mitchell,,,2-2,Roosters,22:02,Roosters vs Rabbitohs,2018
74,Penalty - Crowding,Damien Cook,,,,Rabbitohs,20:43,Roosters vs Rabbitohs,2018
75,Penalty - Crowding,Angus Crichton,,,,Rabbitohs,19:43,Roosters vs Rabbitohs,2018
76,Interchange,,                   George Burgess,                   Tevita Tatola,,Rabbitohs,19:02,Roosters vs Rabbitohs,2018
77,Error,Luke Keary,,,,Roosters,18:03,Roosters vs Rabbitohs,2018
78,Penalty - Offside inside 10m,Greg Inglis,,,,Rabbitohs,16:15,Roosters vs Rabbitohs,2018
79,Error,Dane Gagai,,,,Rabbitohs,15:42,Roosters vs Rabbitohs,2018
80,Error,Alex Johnston,,,,Rabbitohs,13:29,Roosters vs Rabbitohs,2018
