,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Billy
                
                  Slater",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,39.0,,11.0,90.0,16,,24.0,1,-,2,-,4,-,7.0,3.41s,3,26,-,,-,3,25,36.0,2.27,,80%,4,1,-,-,3,,2,34,1,-,1,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
1,,"Suliasi
                
                  Vunivalu",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,34.0,,10.0,112.0,34,,30.0,-,-,-,-,1,1,6.0,2.74s,-,-,-,,1,1,3,13.0,0.3,,80%,4,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
2,,"Young
                
                  Tonumaipea",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,15.0,,8.0,59.0,-,,18.0,-,-,-,-,2,-,7.0,4.43s,1,3,-,,-,3,1,8.0,0.13,,66.7%,12,4,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
3,,"Curtis
                
                  Scott",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,42.0,,12.0,131.0,-,,34.0,2,-,-,-,5,2,10.0,3.44s,-,-,-,,-,-,5,17.0,0.42,,88.9%,8,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
4,,"Josh
                
                  Addo-Carr",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,49.0,,14.0,103.0,32,,31.0,1,-,-,-,7,1,10.0,4.05s,1,4,-,,1,1,3,17.0,0.21,,-,-,1,-,-,2,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
5,,"Cameron
                
                  Munster",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,30.0,,12.0,87.0,11,,28.0,-,1,1,-,1,-,9.0,3.22s,-,-,-,,1,8,31,49.0,2.58,,72.2%,13,5,-,-,-,,8,186,-,-,3,-,1,1,,1,-,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
6,,"Ryley
                
                  Jacks",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,47.0,,6.0,56.0,-,,19.0,-,1,2,-,1,-,6.0,3.77s,-,-,-,,-,5,13,23.0,2.17,,92.3%,24,1,1,-,-,,4,111,-,2,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
7,,"Jesse
                
                  Bromwich",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,35.0,,13.0,137.0,43,,48.0,-,1,1,-,1,10,12.0,3.33s,-,-,-,,-,1,6,19.0,0.46,,100%,12,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:58,19:32,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
8,,"Cameron
                
                  Smith",9.0,Hooker,,80:00,,12,-,5,7,1,75%,-,,64.0,,7.0,59.0,-,,15.0,-,-,-,-,2,3,3.0,3.24s,4,56,-,,3,14,111,124.0,15.86,,96.8%,30,-,1,-,1,,6,94,-,1,2,-,-,1,,-,-,-,-,-,-,-,,80:00,-,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
9,,"Nelson
                
                  Asofa-Solomona",10.0,Prop,,45:00,,-,-,-,-,-,-,-,,25.0,,16.0,132.0,19,,58.0,-,-,-,-,1,14,13.0,3.74s,-,-,-,,1,-,-,17.0,-,,100%,11,-,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,22:18,23:20,Storm,6,2018-04-13T08:00:00Z,Storm vs Knights,2018
