,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Knights,2018
1,Error,Kalyn Ponga,,,,Knights,78:08,Storm vs Knights,2018
2,Error,Nelson Asofa-Solomona,,,,Storm,76:27,Storm vs Knights,2018
3,Conversion-Made,Cameron Smith,,,40-14,Storm,75:44,Storm vs Knights,2018
4,Try,Sam Kasiano,,,38-14,Storm,74:13,Storm vs Knights,2018
5,Linebreak,Sam Kasiano,,,,Storm,74:11,Storm vs Knights,2018
6,Error,Sione Mata'utia,,,,Knights,73:05,Storm vs Knights,2018
7,Error,Sione Mata'utia,,,,Knights,72:15,Storm vs Knights,2018
8,Linebreak,Ken Sio,,,,Knights,71:56,Storm vs Knights,2018
9,Interchange,,                   Ryan Hoffman,                   Kenneath Bromwich,,Storm,70:35,Storm vs Knights,2018
10,Conversion-Missed,Cameron Smith,,,,Storm,70:30,Storm vs Knights,2018
11,Interchange,,                   Jesse Bromwich,                   Sam Kasiano,,Storm,70:26,Storm vs Knights,2018
12,Interchange,,                   Brock Lamb,                   Jacob Lillyman,,Knights,69:32,Storm vs Knights,2018
13,Try,Felise Kaufusi,,,34-14,Storm,69:17,Storm vs Knights,2018
14,Linebreak,Felise Kaufusi,,,,Storm,69:16,Storm vs Knights,2018
15,Error,Kalyn Ponga,,,,Knights,68:33,Storm vs Knights,2018
16,Conversion-Made,Kalyn Ponga,,,30-14,Knights,67:37,Storm vs Knights,2018
17,Try,Ken Sio,,,30-12,Knights,66:02,Storm vs Knights,2018
18,Linebreak,Ken Sio,,,,Knights,66:00,Storm vs Knights,2018
19,Error,Cameron Munster,,,,Storm,65:14,Storm vs Knights,2018
20,Interchange,,                   Christian Welch,                   Brandon Smith,,Storm,64:32,Storm vs Knights,2018
21,Penalty - Lying in the Ruck,Nelson Asofa-Solomona,,,,Storm,63:30,Storm vs Knights,2018
22,Error,Josh Addo-Carr,,,,Storm,62:58,Storm vs Knights,2018
23,Linebreak,Curtis Scott,,,,Storm,62:46,Storm vs Knights,2018
24,Conversion-Made,Cameron Smith,,,30-8,Storm,61:55,Storm vs Knights,2018
25,Interchange,,                   Chris Heighington,                   Daniel Saifiti,,Knights,60:31,Storm vs Knights,2018
26,Video Referee,Try,,,,Storm,60:31,Storm vs Knights,2018
27,Try,Suliasi Vunivalu,,,28-8,Storm,60:20,Storm vs Knights,2018
28,Error,Ken Sio,,,,Knights,60:16,Storm vs Knights,2018
29,Kick Bomb,Ryley Jacks,,,,Storm,60:11,Storm vs Knights,2018
30,Error,Kalyn Ponga,,,,Knights,58:30,Storm vs Knights,2018
31,Linebreak,Kalyn Ponga,,,,Knights,58:26,Storm vs Knights,2018
32,Kick Bomb,Cameron Smith,,,,Storm,57:30,Storm vs Knights,2018
33,Interchange,,                   Kenneath Bromwich,                   Nelson Asofa-Solomona,,Storm,56:40,Storm vs Knights,2018
