,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Bulldogs,2018
1,Error,Marcelo Montoya,,,,Bulldogs,79:57,Panthers vs Bulldogs,2018
2,Penalties - Other,David Klemmer,,,,Bulldogs,77:54,Panthers vs Bulldogs,2018
3,Sin Bin,David Klemmer,,,,Bulldogs,77:54,Panthers vs Bulldogs,2018
4,Penalty - Late Tackle,Reagan Campbell-Gillard,,,,Panthers,76:45,Panthers vs Bulldogs,2018
5,Penalty - Dangerous Tackle,Viliame Kikau,,,,Panthers,75:52,Panthers vs Bulldogs,2018
6,Error,Reagan Campbell-Gillard,,,,Panthers,75:34,Panthers vs Bulldogs,2018
7,Error,Jeremy Marshall-King,,,,Bulldogs,74:44,Panthers vs Bulldogs,2018
8,Interchange,,                   Aaron Woods,                   Danny Fualalo,,Bulldogs,74:29,Panthers vs Bulldogs,2018
9,Penalty Shot-Made,James Maloney,,,22-14,Panthers,72:24,Panthers vs Bulldogs,2018
10,Interchange - HIA Cleared,,                   Raymond Faitala-Mariner,                   Asipeli Fine,,Bulldogs,71:45,Panthers vs Bulldogs,2018
11,Penalty - Hand in the Ruck,Kieran Foran,,,,Bulldogs,71:00,Panthers vs Bulldogs,2018
12,Error,Raymond Faitala-Mariner,,,,Bulldogs,70:14,Panthers vs Bulldogs,2018
13,Conversion-Missed,James Maloney,,,,Panthers,68:08,Panthers vs Bulldogs,2018
14,Interchange,,                   Jack Hetherington,                   James Tamou,,Panthers,68:00,Panthers vs Bulldogs,2018
15,Interchange,,                   Michael Lichaa,                   Kerrod Holland,,Bulldogs,67:13,Panthers vs Bulldogs,2018
16,Try,Isaah Yeo,,,20-14,Panthers,66:43,Panthers vs Bulldogs,2018
17,Linebreak,Isaah Yeo,,,,Panthers,66:43,Panthers vs Bulldogs,2018
18,Error,Aaron Woods,,,,Bulldogs,65:08,Panthers vs Bulldogs,2018
19,Error,Reagan Campbell-Gillard,,,,Panthers,64:05,Panthers vs Bulldogs,2018
20,Error,Raymond Faitala-Mariner,,,,Bulldogs,63:58,Panthers vs Bulldogs,2018
21,Kick Bomb,James Maloney,,,,Panthers,63:33,Panthers vs Bulldogs,2018
22,Interchange,,                   Sione Katoa,                   Wayde Egan,,Panthers,62:57,Panthers vs Bulldogs,2018
23,Error,Aaron Woods,,,,Bulldogs,62:04,Panthers vs Bulldogs,2018
24,Penalty - 2nd Effort,Jack Hetherington,,,,Panthers,61:02,Panthers vs Bulldogs,2018
25,Kick Bomb,James Maloney,,,,Panthers,60:55,Panthers vs Bulldogs,2018
26,Penalty Shot-Made,James Maloney,,,16-14,Panthers,59:26,Panthers vs Bulldogs,2018
27,Interchange,,                   Danny Fualalo,                   Adam Elliott,,Bulldogs,58:51,Panthers vs Bulldogs,2018
28,Penalty - Marker Not Square,Aaron Woods,,,,Bulldogs,58:03,Panthers vs Bulldogs,2018
29,Line Dropout,Moses Mbye,,,,Bulldogs,57:37,Panthers vs Bulldogs,2018
30,Interchange - HIA,,                   Asipeli Fine,                   David Klemmer,,Bulldogs,57:21,Panthers vs Bulldogs,2018
31,Interchange,,                   Moses Leota,                   Reagan Campbell-Gillard,,Panthers,57:03,Panthers vs Bulldogs,2018
32,Error,Moses Mbye,,,,Bulldogs,55:18,Panthers vs Bulldogs,2018
