,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Titans vs Sharks,2018
1,Interchange,,                   Josh Dugan,                   Jayden Brailey,,Sharks,78:38,Titans vs Sharks,2018
2,Drop Goal-Made,Chad Townsend,,,9-10,Sharks,78:33,Titans vs Sharks,2018
3,Kick Bomb,Ashley Taylor,,,,Titans,77:17,Titans vs Sharks,2018
4,Drop Goal-Made,Ashley Taylor,,,9-9,Titans,76:15,Titans vs Sharks,2018
5,Kick Bomb,Ashley Taylor,,,,Titans,74:30,Titans vs Sharks,2018
6,Penalties - Other,Kurt Capewell,,,,Sharks,73:17,Titans vs Sharks,2018
7,Penalty - Offside Downtown,Max King,,,,Titans,71:40,Titans vs Sharks,2018
8,Kick Bomb,Ashley Taylor,,,,Titans,71:35,Titans vs Sharks,2018
9,Interchange,,                   Morgan Boyle,                   Max King,,Titans,70:49,Titans vs Sharks,2018
10,Interchange,,                   Jayson Bukuya,                   Joseph Paulo,,Sharks,69:46,Titans vs Sharks,2018
11,Line Dropout,Josh Dugan,,,,Sharks,66:47,Titans vs Sharks,2018
12,Penalty - Dangerous Tackle,Kurt Capewell,,,,Sharks,64:41,Titans vs Sharks,2018
13,Interchange,,                   Kurt Dillon,                   Andrew Fifita,,Sharks,64:35,Titans vs Sharks,2018
14,Error,Josh Dugan,,,,Sharks,60:18,Titans vs Sharks,2018
15,Interchange,,                   Jarrod Wallace,                   Morgan Boyle,,Titans,58:53,Titans vs Sharks,2018
16,Error,Bryce Cartwright,,,,Titans,58:35,Titans vs Sharks,2018
17,Penalty - Offside Downtown,James Segeyaro,,,,Sharks,57:31,Titans vs Sharks,2018
18,Interchange,,                   Jayden Brailey,                   James Segeyaro,,Sharks,56:40,Titans vs Sharks,2018
19,Interchange,,                   Max King,                   Jai Arrow,,Titans,55:39,Titans vs Sharks,2018
20,Interchange,,                   Andrew Fifita,                   Kurt Dillon,,Sharks,54:43,Titans vs Sharks,2018
21,Interchange,,                   Keegan Hipgrave,                   Jack Stockwell,,Titans,53:34,Titans vs Sharks,2018
22,Error,Jesse Ramien,,,,Sharks,52:36,Titans vs Sharks,2018
23,Penalty - Slow Peel,Jarrod Wallace,,,,Titans,51:41,Titans vs Sharks,2018
24,Error,Brendan Elliot,,,,Titans,50:49,Titans vs Sharks,2018
25,Error,Jesse Ramien,,,,Sharks,50:04,Titans vs Sharks,2018
26,Error,Konrad Hurrell,,,,Titans,49:09,Titans vs Sharks,2018
27,Penalty - Offside inside 10m,Brendan Elliot,,,,Titans,47:51,Titans vs Sharks,2018
28,Interchange,,                   Ava Seumanufagai,                   Matt Prior,,Sharks,47:39,Titans vs Sharks,2018
