,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Kalyn
                
                  Ponga",1.0,Fullback,,80:00,,-,-,-,1,-,-,-,,37.0,,17.0,138.0,50,,26,-,2,1,-,-,-,9.0,3.82s,1,8,-,,3,2,25,44.0,1.47,,50%,2.0,2,-,-,3,,6,164,-,3,-,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
1,,"Ken
                
                  Sio",2.0,Winger,,80:00,,2,-,1,3,-,33.33%,-,,29.0,,12.0,116.0,32,,33,1,-,-,-,4,1,12.0,3.21s,-,-,-,,-,1,2,17.0,0.17,,100%,1.0,-,-,-,3,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
2,,"Sione
                
                  Mata'utia",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,65.0,,7.0,125.0,-,,22,1,2,2,-,3,-,6.0,3.4s,-,-,-,,-,2,4,12.0,0.57,,88.9%,24.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
3,,"Nathan
                
                  Ross",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,26.0,,13.0,97.0,18,,39,-,-,-,-,2,-,13.0,3.51s,3,15,-,,-,2,13,26.0,1,,81.3%,13.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
4,,"Shaun
                
                  Kenny-Dowall",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,64.0,,17.0,216.0,9,,54,3,-,-,-,4,1,14.0,3.06s,1,20,-,,-,3,2,18.0,0.12,,83.3%,5.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
5,,"Connor
                
                  Watson",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,41.0,,15.0,163.0,-,,53,-,-,-,-,2,-,9.0,3.08s,-,-,-,,2,8,32,45.0,2.13,,92.3%,24.0,2,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
6,,"Jack
                
                  Cogger",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,21.0,,3.0,14.0,-,,-,-,-,-,-,-,-,1.0,4.24s,-,-,-,,-,2,48,56.0,16,,83.3%,20.0,3,1,-,-,,6,170,-,1,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
7,,"Herman
                
                  Ese'ese",8.0,Prop,,51:00,,-,-,-,-,-,-,-,,51.0,,12.0,114.0,10,,27,-,-,-,-,1,10,9.0,3.94s,-,-,-,,-,2,2,13.0,0.17,,97.5%,39.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:59,21:42,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
8,,"Slade
                
                  Griffin",9.0,Hooker,,64:00,,-,-,-,-,-,-,-,,45.0,,2.0,28.0,-,,9,-,-,-,-,-,-,2.0,2.68s,2,28,-,,-,1,67,69.0,33.5,,94%,47.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,63:59,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
9,,"Jacob
                
                  Lillyman",19.0,Prop,,21:00,,-,-,-,-,-,-,-,,15.0,,3.0,31.0,-,,15,-,-,-,-,-,3,3.0,3.76s,-,-,-,,-,-,-,3.0,-,,93.3%,14.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,11:25,06:19,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
10,,"Lachlan
                
                  Fitzgibbon",11.0,2nd Row,,76:00,,4,1,-,-,-,-,-,,71.0,,10.0,104.0,-,,48,1,-,-,-,4,10,8.0,3.22s,-,-,-,,-,-,2,12.0,0.2,,94.9%,37.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,76:28,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
11,,"Aidan
                
                  Guerra",12.0,2nd Row,,45:00,,-,-,-,-,-,-,-,,38.0,,7.0,57.0,-,,19,-,-,-,-,-,6,5.0,3.41s,-,-,-,,-,2,2,10.0,0.29,,97.2%,35.0,-,1,-,-,,1,17,-,-,1,-,-,1,,1,1,-,-,-,-,-,,26:16,18:46,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
12,,"Mitchell
                
                  Barnett",13.0,Lock,,80:00,,-,-,-,-,-,-,-,,49.0,,11.0,118.0,-,,45,-,-,-,-,4,11,8.0,3.09s,-,-,-,,3,-,4,17.0,0.36,,90.9%,30.0,3,-,-,-,,1,15,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
13,,"Daniel
                
                  Saifiti",10.0,Interchange,,57:00,,-,-,-,-,-,-,-,,32.0,,14.0,143.0,11,,54,-,-,-,-,2,13,14.0,3.47s,-,-,-,,-,-,-,14.0,-,,76.9%,30.0,8,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,40:26,16:00,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
14,,"Jamie
                
                  Buhrer",14.0,Interchange,,29:00,,-,-,-,-,-,-,-,,20.0,,2.0,19.0,-,,6,-,-,-,-,1,2,2.0,2.78s,-,-,-,,-,-,4,6.0,2,,95.2%,20.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,29:26,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
15,,"Chris
                
                  Heighington",15.0,Interchange,,24:00,,-,-,-,-,-,-,-,,34.0,,6.0,63.0,-,,26,-,-,-,-,3,6,6.0,3.66s,-,-,-,,-,2,6,12.0,1,,100%,19.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:58,06:25,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
16,,"Jacob
                
                  Saifiti",17.0,Interchange,,32:00,,-,-,-,-,-,-,-,,20.0,,5.0,53.0,10,,20,-,-,-,-,-,4,5.0,3.11s,-,-,-,,-,-,-,5.0,-,,91.3%,21.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,32:14,-,Knights,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
0,,"Alex
                
                  Johnston",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,56.0,,11.0,146.0,18,,17.0,3,1,2,-,4,-,9,3.35s,-,-,-,,1,2,8,20.0,0.73,,80%,4.0,1,-,-,2,,1,12,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
1,,"Campbell
                
                  Graham",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,32.0,,16.0,168.0,41,,44.0,1,-,-,-,-,-,15,3.66s,-,-,-,,-,2,-,16.0,-,,71.4%,5.0,1,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Rabbitohs,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
2,,"Greg
                
                  Inglis",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,37.0,,15.0,147.0,7,,61.0,1,-,-,-,4,3,13,2.95s,-,-,-,,-,-,5,19.0,0.33,,66.7%,4.0,2,-,1,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Rabbitohs,9,2018-05-04T08:00:00Z,Knights vs Rabbitohs,2018
