,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Cowboys,2018
1,Error,Sione Katoa,,,,Panthers,78:59,Panthers vs Cowboys,2018
2,Penalty - Holding Down,Lachlan Coote,,,,Cowboys,78:36,Panthers vs Cowboys,2018
3,Error,Jake Granville,,,,Cowboys,78:29,Panthers vs Cowboys,2018
4,Penalty - Early Tackle,James Maloney,,,,Panthers,76:58,Panthers vs Cowboys,2018
5,Kick Bomb,James Maloney,,,,Panthers,75:12,Panthers vs Cowboys,2018
6,Kick Bomb,Michael Morgan,,,,Cowboys,74:21,Panthers vs Cowboys,2018
7,Interchange,,                   Te Maire Martin,                   Scott Bolton,,Cowboys,70:23,Panthers vs Cowboys,2018
8,Interchange,,                   Ethan Lowe,                   Jake Granville,,Cowboys,70:23,Panthers vs Cowboys,2018
9,Interchange,,                   Moses Leota,                   James Tamou,,Panthers,70:23,Panthers vs Cowboys,2018
10,Penalty Shot-Made,Johnathan Thurston,,,20-26,Cowboys,70:23,Panthers vs Cowboys,2018
11,Penalty - Dangerous Tackle,Tyrone Peachey,,,,Panthers,68:52,Panthers vs Cowboys,2018
12,Kick Bomb,Lachlan Coote,,,,Cowboys,67:28,Panthers vs Cowboys,2018
13,Penalty - Dangerous Tackle,Corey Harawira-Naera,,,,Panthers,64:07,Panthers vs Cowboys,2018
14,Penalties - Other,Johnathan Thurston,,,,Cowboys,63:02,Panthers vs Cowboys,2018
15,Penalties - Other,Coen Hess,,,,Cowboys,62:49,Panthers vs Cowboys,2018
16,Penalty - Marker Not Square,Sione Katoa,,,,Panthers,61:56,Panthers vs Cowboys,2018
17,Conversion-Missed,James Maloney,,,,Panthers,60:54,Panthers vs Cowboys,2018
18,Interchange,,                   Shaun Fensom,                   Jason Taumalolo,,Cowboys,59:57,Panthers vs Cowboys,2018
19,Video Referee,Try,,,,Panthers,59:57,Panthers vs Cowboys,2018
20,Try,Tyrone Phillips,,,20-24,Panthers,59:48,Panthers vs Cowboys,2018
21,Linebreak,Sione Katoa,,,,Panthers,59:31,Panthers vs Cowboys,2018
22,Kick Bomb,Lachlan Coote,,,,Cowboys,58:48,Panthers vs Cowboys,2018
23,Interchange,,                   James Tamou,                   Moses Leota,,Panthers,57:31,Panthers vs Cowboys,2018
24,Kick Bomb,Lachlan Coote,,,,Cowboys,57:15,Panthers vs Cowboys,2018
25,Interchange,,                   Corey Jensen,                   Matthew Scott,,Cowboys,56:31,Panthers vs Cowboys,2018
26,Error,Tyrone Phillips,,,,Panthers,56:03,Panthers vs Cowboys,2018
27,Interchange - Sin Bin Return,Shaun Fensom,,,,Cowboys,55:33,Panthers vs Cowboys,2018
28,Conversion-Missed,Johnathan Thurston,,,,Cowboys,54:27,Panthers vs Cowboys,2018
29,Interchange,,                   Peter Wallace,                   Sione Katoa,,Panthers,54:26,Panthers vs Cowboys,2018
30,Try,Johnathan Thurston,,,16-24,Cowboys,53:05,Panthers vs Cowboys,2018
31,Kick Bomb,Lachlan Coote,,,,Cowboys,53:00,Panthers vs Cowboys,2018
32,Penalty - Dangerous Tackle,Peter Wallace,,,,Panthers,51:27,Panthers vs Cowboys,2018
33,Kick Bomb,James Maloney,,,,Panthers,51:23,Panthers vs Cowboys,2018
34,Interchange,,                   Jake Granville,                   Te Maire Martin,,Cowboys,51:18,Panthers vs Cowboys,2018
35,Conversion-Made,James Maloney,,,16-20,Panthers,50:29,Panthers vs Cowboys,2018
36,Interchange,,                   Jack Hetherington,                   Reagan Campbell-Gillard,,Panthers,49:58,Panthers vs Cowboys,2018
37,Try,Peter Wallace,,,14-20,Panthers,48:50,Panthers vs Cowboys,2018
38,Kick Bomb,James Maloney,,,,Panthers,48:45,Panthers vs Cowboys,2018
39,Conversion-Made,James Maloney,,,10-20,Panthers,47:24,Panthers vs Cowboys,2018
40,Video Referee,Try,,,,Panthers,46:50,Panthers vs Cowboys,2018
41,Try,Peter Wallace,,,8-20,Panthers,46:45,Panthers vs Cowboys,2018
42,Linebreak,Peter Wallace,,,,Panthers,46:45,Panthers vs Cowboys,2018
43,Linebreak,Dallin Watene-Zelezniak,,,,Panthers,46:30,Panthers vs Cowboys,2018
44,Penalty - Hand in the Ruck,Coen Hess,,,,Cowboys,46:06,Panthers vs Cowboys,2018
45,Penalty - Crowding,Michael Morgan,,,,Cowboys,45:50,Panthers vs Cowboys,2018
46,Sin Bin,Shaun Fensom,,,,Cowboys,45:06,Panthers vs Cowboys,2018
47,Penalty - Professional Foul,Shaun Fensom,,,,Cowboys,45:02,Panthers vs Cowboys,2018
48,Penalty - Slow Peel,Johnathan Thurston,,,,Cowboys,45:00,Panthers vs Cowboys,2018
49,Interchange,,                   Jason Taumalolo,                   Ethan Lowe,,Cowboys,44:53,Panthers vs Cowboys,2018
50,Error,Jake Granville,,,,Cowboys,44:39,Panthers vs Cowboys,2018
51,Kick Bomb,James Maloney,,,,Panthers,44:05,Panthers vs Cowboys,2018
52,Interchange - Sin Bin Return,Dallin Watene-Zelezniak,,,,Panthers,41:11,Panthers vs Cowboys,2018
53,Kick Bomb,James Maloney,,,,Panthers,40:54,Panthers vs Cowboys,2018
54,Conversion-Missed,James Maloney,,,,Panthers,40:00,Panthers vs Cowboys,2018
55,Try,Tyrone Phillips,,,4-20,Panthers,39:18,Panthers vs Cowboys,2018
56,Linebreak,Tyrone Phillips,,,,Panthers,39:17,Panthers vs Cowboys,2018
57,Penalty - Marker Not Square,Shaun Fensom,,,,Cowboys,37:38,Panthers vs Cowboys,2018
58,Error,Justin O'Neill,,,,Cowboys,37:15,Panthers vs Cowboys,2018
59,Penalty - Slow Peel,Tyrone Peachey,,,,Panthers,36:44,Panthers vs Cowboys,2018
60,Linebreak,Jason Taumalolo,,,,Cowboys,36:39,Panthers vs Cowboys,2018
61,Conversion-Made,Johnathan Thurston,,,0-20,Cowboys,34:10,Panthers vs Cowboys,2018
62,Video Referee,Try,,,,Cowboys,33:19,Panthers vs Cowboys,2018
63,Try,Gavin Cooper,,,0-18,Cowboys,33:15,Panthers vs Cowboys,2018
64,Linebreak,Gavin Cooper,,,,Cowboys,33:14,Panthers vs Cowboys,2018
65,Penalty - Dangerous Tackle,Jack Hetherington,,,,Panthers,32:11,Panthers vs Cowboys,2018
66,Sin Bin,Dallin Watene-Zelezniak,,,,Panthers,31:28,Panthers vs Cowboys,2018
67,Penalty - Dangerous Tackle,Dallin Watene-Zelezniak,,,,Panthers,31:08,Panthers vs Cowboys,2018
68,Kick Bomb,James Maloney,,,,Panthers,31:04,Panthers vs Cowboys,2018
69,Interchange,,                   Reagan Campbell-Gillard,                   Jack Hetherington,,Panthers,30:12,Panthers vs Cowboys,2018
70,Error,Isaah Yeo,,,,Panthers,28:21,Panthers vs Cowboys,2018
71,Line Dropout,Kyle Feldt,,,,Cowboys,27:49,Panthers vs Cowboys,2018
72,Interchange,,                   Matthew Scott,                   Shaun Fensom,,Cowboys,27:42,Panthers vs Cowboys,2018
73,Interchange,,                   Scott Bolton,                   Shaun Fensom,,Cowboys,27:38,Panthers vs Cowboys,2018
74,Interchange,,                   Scott Bolton,                   Corey Jensen,,Cowboys,27:38,Panthers vs Cowboys,2018
