,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Panthers vs Eels,2019
1,Error,James Tamou,,,,Panthers,77:59,Panthers vs Eels,2019
2,Error,Blake Ferguson,,,,Eels,77:55,Panthers vs Eels,2019
3,Conversion-Made,Mitchell Moses,,,12-20,Eels,77:46,Panthers vs Eels,2019
4,Try,Michael Jennings,,,12-18,Eels,76:18,Panthers vs Eels,2019
5,Linebreak,Michael Jennings,,,,Eels,76:18,Panthers vs Eels,2019
6,Penalty - Pressure on Kicker,Reagan Campbell-Gillard,,,,Panthers,75:14,Panthers vs Eels,2019
7,Interchange #8,,                   Daniel Alvaro,                   David Gower,,Eels,74:37,Panthers vs Eels,2019
8,Error,Waqa Blake,,,,Panthers,73:41,Panthers vs Eels,2019
9,Interchange #5,,                   Moses Leota,                   Jack Hetherington,,Panthers,73:27,Panthers vs Eels,2019
10,Error,Brad Takairangi,,,,Eels,72:31,Panthers vs Eels,2019
11,Error,James Maloney,,,,Panthers,71:26,Panthers vs Eels,2019
12,Error,Daniel Alvaro,,,,Eels,70:22,Panthers vs Eels,2019
13,Penalty - 2nd Effort,Jarome Luai,,,,Panthers,69:37,Panthers vs Eels,2019
14,Error,Nathan Cleary,,,,Panthers,68:38,Panthers vs Eels,2019
15,Error,Dallin Watene-Zelezniak,,,,Panthers,66:58,Panthers vs Eels,2019
16,Interchange #7,,                   Reed Mahoney,                   Tim Mannah,,Eels,66:48,Panthers vs Eels,2019
17,Conversion-Made,Nathan Cleary,,,12-14,Panthers,65:10,Panthers vs Eels,2019
18,Try,James Tamou,,,10-14,Panthers,64:10,Panthers vs Eels,2019
19,Linebreak,James Tamou,,,,Panthers,64:10,Panthers vs Eels,2019
20,Interchange - Sin Bin Return,Michael Jennings,,,,Eels,63:57,Panthers vs Eels,2019
21,Error,Maika Sivo,,,,Eels,63:14,Panthers vs Eels,2019
22,Interchange #6,,                   David Gower,                   Will Smith,,Eels,62:11,Panthers vs Eels,2019
23,Error,Maika Sivo,,,,Eels,62:00,Panthers vs Eels,2019
24,Interchange - Free,,                   Wayde Egan,                   Jarome Luai,,Panthers,60:34,Panthers vs Eels,2019
25,Error,Dylan Brown,,,,Eels,60:20,Panthers vs Eels,2019
26,Penalties - Other,Waqa Blake,,,,Panthers,58:55,Panthers vs Eels,2019
27,Interchange #5,,                   Tim Mannah,                   Tepai Moeroa,,Eels,56:09,Panthers vs Eels,2019
28,Conversion-Made,Nathan Cleary,,,6-14,Panthers,56:05,Panthers vs Eels,2019
29,Try,Wayde Egan,,,4-14,Panthers,54:46,Panthers vs Eels,2019
30,Linebreak,Wayde Egan,,,,Panthers,54:45,Panthers vs Eels,2019
31,Interchange - Free,,                   Isaah Yeo,                   Moses Leota,,Panthers,53:55,Panthers vs Eels,2019
32,Sin Bin,Michael Jennings,,,,Eels,53:55,Panthers vs Eels,2019
33,Penalty - Dangerous Tackle,Michael Jennings,,,,Eels,53:39,Panthers vs Eels,2019
34,Interchange #4,,                   Jack Hetherington,                   James Tamou,,Panthers,53:38,Panthers vs Eels,2019
35,Error,Michael Jennings,,,,Eels,53:16,Panthers vs Eels,2019
36,Penalty - Shoulder Charge,Jack Hetherington,,,,Panthers,52:38,Panthers vs Eels,2019
37,Penalty - Lying in the Ruck,James Maloney,,,,Panthers,51:50,Panthers vs Eels,2019
38,Error,Waqa Blake,,,,Panthers,51:21,Panthers vs Eels,2019
39,Line Dropout,Clinton Gutherson,,,,Eels,50:28,Panthers vs Eels,2019
40,Interchange #4,,                   Kane Evans,                   Daniel Alvaro,,Eels,50:06,Panthers vs Eels,2019
41,Error,Blake Ferguson,,,,Eels,49:02,Panthers vs Eels,2019
42,Error,Reagan Campbell-Gillard,,,,Panthers,48:36,Panthers vs Eels,2019
43,Kick Bomb,James Maloney,,,,Panthers,48:28,Panthers vs Eels,2019
44,Kick Bomb,Mitchell Moses,,,,Eels,46:51,Panthers vs Eels,2019
45,Conversion-Made,Mitchell Moses,,,0-14,Eels,45:58,Panthers vs Eels,2019
46,Try,Reed Mahoney,,,0-12,Eels,44:14,Panthers vs Eels,2019
47,Linebreak,Reed Mahoney,,,,Eels,44:14,Panthers vs Eels,2019
48,Error,Josh Mansour,,,,Panthers,44:08,Panthers vs Eels,2019
49,Penalty - Marker Not Square,Josh Mansour,,,,Panthers,43:14,Panthers vs Eels,2019
50,Kick Bomb,Mitchell Moses,,,,Eels,41:35,Panthers vs Eels,2019
51,Line Dropout,Clinton Gutherson,,,,Eels,38:37,Panthers vs Eels,2019
52,Error,Michael Jennings,,,,Eels,37:04,Panthers vs Eels,2019
53,Kick Bomb,James Maloney,,,,Panthers,34:40,Panthers vs Eels,2019
54,Interchange #3,,                   James Tamou,                   Jack Hetherington,,Panthers,33:14,Panthers vs Eels,2019
55,Error,Reed Mahoney,,,,Eels,33:06,Panthers vs Eels,2019
56,Interchange #3,,                   Tepai Moeroa,                   Kane Evans,,Eels,32:19,Panthers vs Eels,2019
57,Error,Isaah Yeo,,,,Panthers,32:16,Panthers vs Eels,2019
58,Error,Tepai Moeroa,,,,Eels,31:41,Panthers vs Eels,2019
59,Line Dropout,James Maloney,,,,Panthers,31:39,Panthers vs Eels,2019
60,Error,Waqa Blake,,,,Panthers,29:48,Panthers vs Eels,2019
61,Interchange #2,,                   Daniel Alvaro,                   David Gower,,Eels,29:07,Panthers vs Eels,2019
62,Penalty - Offside inside 10m,Dylan Edwards,,,,Panthers,29:03,Panthers vs Eels,2019
63,Error,Dylan Edwards,,,,Panthers,27:49,Panthers vs Eels,2019
64,Penalty - Dangerous Tackle,James Maloney,,,,Panthers,26:36,Panthers vs Eels,2019
65,Conversion-Missed,Mitchell Moses,,,,Eels,26:07,Panthers vs Eels,2019
66,Video Referee,Try,,,,Eels,24:52,Panthers vs Eels,2019
67,Try,Michael Jennings,,,0-8,Eels,24:48,Panthers vs Eels,2019
68,Linebreak,Michael Jennings,,,,Eels,24:46,Panthers vs Eels,2019
69,Error,Josh Mansour,,,,Panthers,23:16,Panthers vs Eels,2019
70,Interchange #2,,                   Moses Leota,                   Tyrell Fuimaono,,Panthers,23:12,Panthers vs Eels,2019
71,Error,Blake Ferguson,,,,Eels,23:03,Panthers vs Eels,2019
72,Error,Josh Mansour,,,,Panthers,21:30,Panthers vs Eels,2019
73,Error,Tim Mannah,,,,Eels,21:06,Panthers vs Eels,2019
74,Penalty - Holding Down,Moses Leota,,,,Panthers,20:31,Panthers vs Eels,2019
75,Line Dropout,James Maloney,,,,Panthers,20:18,Panthers vs Eels,2019
76,Interchange #1,,                   Nathan Brown,                   Tim Mannah,,Eels,17:32,Panthers vs Eels,2019
77,Interchange #1,,                   Hame Sele,                   Reagan Campbell-Gillard,,Panthers,17:05,Panthers vs Eels,2019
78,Kick Bomb,James Maloney,,,,Panthers,16:58,Panthers vs Eels,2019
79,Conversion-Missed,Mitchell Moses,,,,Eels,15:04,Panthers vs Eels,2019
80,Video Referee,Try,,,,Eels,14:10,Panthers vs Eels,2019
81,Try,Marata Niukore,,,0-4,Eels,14:06,Panthers vs Eels,2019
82,Error,Dallin Watene-Zelezniak,,,,Panthers,12:24,Panthers vs Eels,2019
83,Line Dropout,Clinton Gutherson,,,,Eels,12:20,Panthers vs Eels,2019
84,Penalty - Escorts,Brad Takairangi,,,,Eels,11:05,Panthers vs Eels,2019
85,Kick Bomb,James Maloney,,,,Panthers,11:02,Panthers vs Eels,2019
86,Kick Bomb,Nathan Cleary,,,,Panthers,09:31,Panthers vs Eels,2019
87,Error,Daniel Alvaro,,,,Eels,08:49,Panthers vs Eels,2019
88,Penalty - Flop,Hame Sele,,,,Panthers,08:12,Panthers vs Eels,2019
89,Error,Dean Whare,,,,Panthers,06:41,Panthers vs Eels,2019
90,Kick Bomb,Dylan Brown,,,,Eels,06:28,Panthers vs Eels,2019
91,Kick Bomb,Nathan Cleary,,,,Panthers,05:42,Panthers vs Eels,2019
92,Error,Maika Sivo,,,,Eels,02:41,Panthers vs Eels,2019
93,KICK OFF,,,,,,00:00,Panthers vs Eels,2019
