,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Broncos,2019
1,Error,Will Chambers,,,,Storm,79:38,Storm vs Broncos,2019
2,Error,Corey Oates,,,,Broncos,77:00,Storm vs Broncos,2019
3,Penalty - Crowding,Tom Eisenhuth,,,,Storm,75:48,Storm vs Broncos,2019
4,Interchange #8,,                   Nelson Asofa-Solomona,                   Tom Eisenhuth,,Storm,72:51,Storm vs Broncos,2019
5,Penalty - Verbal Dissent,Joe Ofahengaue,,,,Broncos,72:28,Storm vs Broncos,2019
6,Interchange #7,,                   Kenneath Bromwich,                   Brandon Smith,,Storm,72:27,Storm vs Broncos,2019
7,Error,Joe Ofahengaue,,,,Broncos,72:22,Storm vs Broncos,2019
8,Penalty - Leg Pull,Cameron Smith,,,,Storm,71:23,Storm vs Broncos,2019
9,Conversion-Made,Cameron Smith,,,22-12,Storm,69:01,Storm vs Broncos,2019
10,Interchange #8,,                   Matthew Lodge,                   Matt Gillett,,Broncos,68:57,Storm vs Broncos,2019
11,Try,Jesse Bromwich,,,20-12,Storm,67:32,Storm vs Broncos,2019
12,Linebreak,Jesse Bromwich,,,,Storm,67:28,Storm vs Broncos,2019
13,Kick Bomb,Anthony Milford,,,,Broncos,66:25,Storm vs Broncos,2019
14,Kick Bomb,Kodi Nikorima,,,,Broncos,64:38,Storm vs Broncos,2019
15,Conversion-Made,Jamayne Isaako,,,16-12,Broncos,63:34,Storm vs Broncos,2019
16,Try,Corey Oates,,,16-10,Broncos,62:09,Storm vs Broncos,2019
17,Error,Jesse Bromwich,,,,Storm,62:02,Storm vs Broncos,2019
18,Kick Bomb,Kodi Nikorima,,,,Broncos,61:26,Storm vs Broncos,2019
19,Conversion-Made,Jamayne Isaako,,,16-6,Broncos,60:25,Storm vs Broncos,2019
20,Video Referee,Try,,,,Broncos,59:38,Storm vs Broncos,2019
21,Try,Corey Oates,,,16-4,Broncos,59:32,Storm vs Broncos,2019
22,Linebreak,Corey Oates,,,,Broncos,59:31,Storm vs Broncos,2019
23,Penalty - Ball Strip,Jesse Bromwich,,,,Storm,58:53,Storm vs Broncos,2019
24,Interchange #7,,                   Matt Gillett,                   Tevita Pangai Junior,,Broncos,58:25,Storm vs Broncos,2019
25,Error,Brodie Croft,,,,Storm,58:20,Storm vs Broncos,2019
26,Interchange #6,,                   Tui Kamikamica,                   Nelson Asofa-Solomona,,Storm,57:29,Storm vs Broncos,2019
27,Error,Curtis Scott,,,,Storm,56:31,Storm vs Broncos,2019
28,Linebreak,Brodie Croft,,,,Storm,56:17,Storm vs Broncos,2019
29,Interchange #5,,                   Brandon Smith,                   Dale Finucane,,Storm,55:47,Storm vs Broncos,2019
30,Kick Bomb,Anthony Milford,,,,Broncos,55:35,Storm vs Broncos,2019
31,Interchange #6,,                   Jaydn Su'A,                   Joe Ofahengaue,,Broncos,55:21,Storm vs Broncos,2019
32,Kick Bomb,Brodie Croft,,,,Storm,54:35,Storm vs Broncos,2019
33,Interchange #4,,                   Christian Welch,                   Jesse Bromwich,,Storm,52:00,Storm vs Broncos,2019
34,Interchange #5,,                   Tevita Pangai Junior,                   David Fifita,,Broncos,51:29,Storm vs Broncos,2019
35,Conversion-Made,Cameron Smith,,,16-0,Storm,49:16,Storm vs Broncos,2019
36,Try,Kenneath Bromwich,,,14-0,Storm,47:43,Storm vs Broncos,2019
37,Linebreak,Kenneath Bromwich,,,,Storm,47:42,Storm vs Broncos,2019
38,Line Dropout,Jamayne Isaako,,,,Broncos,46:42,Storm vs Broncos,2019
39,Kick Bomb,Brodie Croft,,,,Storm,43:29,Storm vs Broncos,2019
40,Error,Suliasi Vunivalu,,,,Storm,40:00,Storm vs Broncos,2019
41,Penalty - Offside inside 10m,Matthew Lodge,,,,Broncos,38:21,Storm vs Broncos,2019
42,Error,Brandon Smith,,,,Storm,35:22,Storm vs Broncos,2019
43,Error,Jaydn Su'A,,,,Broncos,34:01,Storm vs Broncos,2019
44,Error,Kotoni Staggs,,,,Broncos,31:35,Storm vs Broncos,2019
45,Interchange #4,,                   Thomas Flegler,                   Matthew Lodge,,Broncos,31:04,Storm vs Broncos,2019
46,Interchange #3,,                   Dale Finucane,                   Tui Kamikamica,,Storm,30:26,Storm vs Broncos,2019
47,Interchange #3,,                   Joe Ofahengaue,                   Tevita Pangai Junior,,Broncos,23:54,Storm vs Broncos,2019
48,Kick Bomb,Cameron Munster,,,,Storm,23:28,Storm vs Broncos,2019
49,Interchange #2,,                   Jesse Bromwich,                   Brandon Smith,,Storm,23:13,Storm vs Broncos,2019
50,Error,Kotoni Staggs,,,,Broncos,22:20,Storm vs Broncos,2019
51,Interchange #2,,                   Matthew Lodge,                   Thomas Flegler,,Broncos,21:14,Storm vs Broncos,2019
52,Penalty - Dangerous Tackle,Will Chambers,,,,Storm,21:13,Storm vs Broncos,2019
53,Error,Dale Finucane,,,,Storm,20:35,Storm vs Broncos,2019
54,Error,Darius Boyd,,,,Broncos,19:18,Storm vs Broncos,2019
55,Interchange #1,,                   Nelson Asofa-Solomona,                   Christian Welch,,Storm,18:01,Storm vs Broncos,2019
56,Error,Felise Kaufusi,,,,Storm,17:09,Storm vs Broncos,2019
57,Error,Jaydn Su'A,,,,Broncos,16:09,Storm vs Broncos,2019
58,Penalty - Holding Back,Josh Addo-Carr,,,,Storm,15:27,Storm vs Broncos,2019
59,Conversion-Made,Cameron Smith,,,10-0,Storm,14:26,Storm vs Broncos,2019
60,Try,Curtis Scott,,,8-0,Storm,12:53,Storm vs Broncos,2019
61,Error,Jack Bird,,,,Broncos,12:43,Storm vs Broncos,2019
62,Kick Bomb,Kodi Nikorima,,,,Broncos,06:03,Storm vs Broncos,2019
63,Kick Bomb,Brodie Croft,,,,Storm,05:11,Storm vs Broncos,2019
64,Interchange #1,,                   James Roberts,                   Kotoni Staggs,,Broncos,04:46,Storm vs Broncos,2019
65,Conversion-Missed,Cameron Smith,,,,Storm,04:14,Storm vs Broncos,2019
66,Video Referee,Try,,,,Storm,03:08,Storm vs Broncos,2019
67,Try,Jahrome Hughes,,,4-0,Storm,02:59,Storm vs Broncos,2019
68,Linebreak,Jahrome Hughes,,,,Storm,02:59,Storm vs Broncos,2019
69,Penalty - Offside inside 10m,James Roberts,,,,Broncos,01:56,Storm vs Broncos,2019
70,Penalty - Pressure on Kicker,Matthew Lodge,,,,Broncos,00:55,Storm vs Broncos,2019
71,Kick Bomb,Cameron Munster,,,,Storm,00:54,Storm vs Broncos,2019
72,KICK OFF,,,,,,00:00,Storm vs Broncos,2019
