,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Corey
                
                  Thompson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,15.0,,13.0,128.0,45,,33.0,-,-,-,-,-,-,12.0,3.52s,1,10,-,,-,-,7,21.0,0.54,,75%,3.0,1,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
1,,"Mahe
                
                  Fonua",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,25.0,,16.0,170.0,72,,52.0,-,-,-,-,-,1,14.0,3.26s,-,-,-,,2,1,2,19.0,0.13,,88.9%,8.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
2,,"Paul
                
                  Momirovski",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,22.0,,8.0,75.0,9,,17.0,-,-,-,-,2,-,8.0,3.2s,-,-,-,,-,-,5,10.0,0.63,,80%,12.0,1,2,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
3,,"Esan
                
                  Marsters",4.0,Centre,,80:00,,8,-,3,3,1,100%,-,,45.0,,16.0,148.0,-,,38.0,-,-,-,-,4,1,10.0,3.5s,5,62,-,,5,1,3,18.0,0.19,,83.3%,5.0,1,-,-,-,,1,7,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
4,,"Robert
                
                  Jennings",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,18.0,,11.0,120.0,19,,41.0,-,-,-,-,2,1,11.0,2.74s,-,-,-,,-,-,1,14.0,0.09,,100%,3.0,-,-,-,1,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,47.0,,14.0,93.0,-,,17.0,-,1,1,-,2,-,9.0,3.45s,3,37,-,,-,2,37,54.0,2.64,,93.3%,14.0,-,1,-,-,,8,184,2,-,3,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
6,,"Luke
                
                  Brooks",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,32.0,,14.0,96.0,7,,19.0,-,-,-,-,3,-,11.0,3.67s,-,-,-,,-,3,41,63.0,2.93,,80%,20.0,4,1,-,-,,10,135,-,-,5,-,-,-,,3,3,-,-,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
7,,"Ben
                
                  Matulino",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,31.0,,9.0,77.0,18,,22.0,-,-,-,-,-,8,9.0,3.19s,-,-,-,,-,-,2,11.0,0.22,,93.3%,28.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:18,19:37,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
8,,"Robbie
                
                  Farah",9.0,Hooker,,80:00,,8,2,-,-,-,-,-,,76.0,,5.0,44.0,-,,6.0,1,1,-,-,1,-,1.0,2.04s,5,44,-,,-,4,128,138.0,25.6,,90%,45.0,3,2,-,-,,7,168,3,-,4,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
9,,"Alex
                
                  Twal",10.0,Prop,,49:00,,-,-,-,-,-,-,-,,35.0,,14.0,108.0,18,,30.0,-,-,-,-,-,12,14.0,3.55s,-,-,-,,-,-,2,16.0,0.14,,93.5%,29.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:19,18:55,Wests,1,2019-03-16T06:30:00Z,Wests Tigers vs Sea Eagles,2019
