,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alexander
                
                  Brimson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,32.0,,18.0,118.0,43,,16.0,-,1,1,-,3,-,11.0,3.48s,-,-,-,,1,-,8,26.0,0.44,,100%,4.0,-,-,-,3,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
1,,"Anthony
                
                  Don",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,6.0,,8.0,47.0,-,,18.0,-,-,-,-,-,-,8.0,3.51s,-,-,-,,-,-,6,14.0,0.75,,75%,3.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
2,,"Jesse
                
                  Arthars",14.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,10.0,83.0,-,,31.0,-,-,-,-,3,1,10.0,3.18s,-,-,-,,-,-,4,11.0,0.4,,81%,17.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
3,,"Brian
                
                  Kelly",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,37.0,,14.0,108.0,14,,34.0,-,1,1,-,2,-,10.0,3.6s,-,-,-,,1,-,6,16.0,0.43,,90%,18.0,1,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
4,,"Dale
                
                  Copley",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,46.0,,14.0,111.0,36,,31.0,2,-,-,-,3,-,11.0,3.36s,-,-,-,,-,-,-,16.0,-,,83.3%,5.0,1,-,-,3,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
5,,"Tyrone
                
                  Roberts",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,41.0,,15.0,67.0,-,,4.0,-,-,-,-,1,-,3.0,4.19s,-,-,-,,1,1,45,62.0,3,,82.1%,23.0,5,-,-,-,,13,349,1,5,2,-,1,-,,-,-,-,1,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
6,,"Ashley
                
                  Taylor",7.0,Halfback,,80:00,,8,-,2,2,2,80%,-,,44.0,,22.0,135.0,-,,14.0,-,-,-,-,-,-,6.0,3.15s,-,-,-,,1,2,34,49.0,1.55,,87%,20.0,2,1,-,-,,6,113,1,2,2,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
7,,"Jarrod
                
                  Wallace",8.0,Prop,,47:00,,-,-,-,-,-,-,-,,53.0,,22.0,199.0,59,,66.0,-,-,-,-,3,14,14.0,3.49s,-,-,-,,3,-,3,23.0,0.14,,93.1%,27.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,20:07,22:02,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
8,,"Mitch
                
                  Rein",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,57.0,,8.0,65.0,3,,20.0,-,-,-,-,6,1,6.0,3.14s,6,55,-,,-,2,117,124.0,14.63,,88.4%,38.0,3,2,-,1,,1,7,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
9,,"Jack
                
                  Stockwell",16.0,Prop,,22:00,,-,-,-,-,-,-,-,,13.0,,6.0,49.0,-,,14.0,-,-,-,-,-,6,4.0,3.73s,-,-,-,,-,-,-,6.0,-,,91.7%,11.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:48,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
10,,"Kevin
                
                  Proctor",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,30.0,,6.0,47.0,-,,17.0,-,-,-,-,-,6,7.0,3.7s,-,-,-,,-,-,2,10.0,0.33,,86.5%,32.0,2,3,-,-,,1,-,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
11,,"Bryce
                
                  Cartwright",12.0,2nd Row,,56:00,,-,-,-,-,-,-,-,,34.0,,12.0,72.0,-,,19.0,-,-,-,-,-,8,6.0,3.31s,-,-,-,,2,-,7,15.0,0.58,,90%,27.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,47:19,08:35,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
12,,"Jai
                
                  Arrow",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,53.0,,17.0,145.0,-,,56.0,-,-,-,-,4,16,15.0,3.27s,-,-,-,,-,-,6,21.0,0.35,,91.2%,31.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:04,26:54,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
13,,"Tyrone
                
                  Peachey",3.0,Interchange,,58:00,,-,-,-,-,-,-,-,,38.0,,13.0,78.0,-,,22.0,-,-,-,-,3,7,8.0,3.22s,-,-,-,,1,1,11,21.0,0.85,,87.5%,28.0,3,1,-,-,,1,1,-,-,1,-,-,-,,-,-,-,1,-,-,-,,58:00,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
14,,"Moeaki
                
                  Fotuaika",10.0,Interchange,,31:00,,-,-,-,-,-,-,-,,39.0,,9.0,111.0,-,,48.0,1,-,-,-,2,9,8.0,3.3s,-,-,-,,1,-,-,9.0,-,,84.2%,16.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:53,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
15,,"Max
                
                  King",17.0,Interchange,,20:00,,-,-,-,-,-,-,-,,23.0,,7.0,74.0,15,,22.0,-,-,-,-,2,5,6.0,3.15s,-,-,-,,-,-,1,7.0,0.14,,93.3%,14.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,20:25,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
16,,"Jai
                
                  Whitbread",18.0,Interchange,,27:00,,-,-,-,-,-,-,-,,19.0,,11.0,95.0,11,,41.0,-,-,-,-,-,10,10.0,3.27s,-,-,-,,-,-,-,11.0,-,,81.8%,18.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:18,-,Titans,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
0,,"Nick
                
                  Meaney",1.0,Fullback,,80:00,,6,-,3,4,-,75%,-,,27.0,,14.0,98.0,56,,16.0,-,-,-,-,2,-,13,3.13s,2,17,-,,-,1,17,32.0,1.21,,80%,4.0,1,-,-,4,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
1,,"Jayden
                
                  Okunbor",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,52.0,,11.0,182.0,30,,50.0,2,-,-,-,3,1,9,3.48s,-,-,-,,1,-,2,16.0,0.18,,66.7%,2.0,1,-,-,3,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Bulldogs,10,2019-05-18T05:00:00Z,Titans vs Bulldogs,2019
