,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Storm,2019
1,Conversion-Made,Ryan Papenhuyzen,,,6-28,Storm,78:31,Bulldogs vs Storm,2019
2,Interchange #8,,                   Cameron Smith,                   Ryan Papenhuyzen,,Storm,77:24,Bulldogs vs Storm,2019
3,Try,Nelson Asofa-Solomona,,,6-26,Storm,77:03,Bulldogs vs Storm,2019
4,Linebreak,Nelson Asofa-Solomona,,,,Storm,77:03,Bulldogs vs Storm,2019
5,Error,Jack Cogger,,,,Bulldogs,75:46,Bulldogs vs Storm,2019
6,Penalties - Other,Reimis Smith,,,,Bulldogs,74:12,Bulldogs vs Storm,2019
7,Conversion-Missed,Cameron Smith,,,,Storm,74:05,Bulldogs vs Storm,2019
8,Interchange #7,,                   Dylan Napa,                   Sauaso Sue,,Bulldogs,72:42,Bulldogs vs Storm,2019
9,Try,Will Chambers,,,6-22,Storm,72:36,Bulldogs vs Storm,2019
10,Linebreak,Will Chambers,,,,Storm,72:34,Bulldogs vs Storm,2019
11,Penalty - Escorts,Reimis Smith,,,,Bulldogs,71:11,Bulldogs vs Storm,2019
12,Interchange #7,,                   Kenneath Bromwich,                   Jesse Bromwich,,Storm,70:37,Bulldogs vs Storm,2019
13,Error,Jack Cogger,,,,Bulldogs,68:13,Bulldogs vs Storm,2019
14,Kick Bomb,Kieran Foran,,,,Bulldogs,68:09,Bulldogs vs Storm,2019
15,Interchange #6,,                   Aiden Tolman,                   Chris Smith,,Bulldogs,65:51,Bulldogs vs Storm,2019
16,Penalty Shot-Made,Cameron Smith,,,6-18,Storm,65:51,Bulldogs vs Storm,2019
17,Penalty - Lying in the Ruck,Aiden Tolman,,,,Bulldogs,64:30,Bulldogs vs Storm,2019
18,Error,Reimis Smith,,,,Bulldogs,63:28,Bulldogs vs Storm,2019
19,Penalty Shot-Made,Cameron Smith,,,6-16,Storm,61:30,Bulldogs vs Storm,2019
20,Penalty - Escorts,Kieran Foran,,,,Bulldogs,60:02,Bulldogs vs Storm,2019
21,Interchange #6,,                   Ryan Papenhuyzen,                   Brandon Smith,,Storm,59:13,Bulldogs vs Storm,2019
22,Error,Marcelo Montoya,,,,Bulldogs,58:24,Bulldogs vs Storm,2019
23,Error,Cameron Smith,,,,Storm,57:35,Bulldogs vs Storm,2019
24,Kick Bomb,Jack Cogger,,,,Bulldogs,56:58,Bulldogs vs Storm,2019
25,Interchange #5,,                   Sauaso Sue,                   Danny Fualalo,,Bulldogs,56:16,Bulldogs vs Storm,2019
26,Kick Bomb,Cameron Munster,,,,Storm,55:56,Bulldogs vs Storm,2019
27,Interchange #5,,                   Jesse Bromwich,                   Nelson Asofa-Solomona,,Storm,55:36,Bulldogs vs Storm,2019
28,Kick Bomb,Cameron Munster,,,,Storm,54:25,Bulldogs vs Storm,2019
29,Kick Bomb,Jack Cogger,,,,Bulldogs,53:32,Bulldogs vs Storm,2019
30,Interchange #4,,                   Tui Kamikamica,                   Joe Stimson,,Storm,52:38,Bulldogs vs Storm,2019
31,Conversion-Made,Rhyse Martin,,,6-14,Bulldogs,52:35,Bulldogs vs Storm,2019
32,Try,Sauaso Sue,,,4-14,Bulldogs,51:08,Bulldogs vs Storm,2019
33,Linebreak,Sauaso Sue,,,,Bulldogs,51:05,Bulldogs vs Storm,2019
34,Interchange #4,,                   Ofahiki Ogden,                   Dylan Napa,,Bulldogs,50:47,Bulldogs vs Storm,2019
35,Error,Brodie Croft,,,,Storm,49:34,Bulldogs vs Storm,2019
36,Interchange #3,,                   Corey Harawira-Naera,                   Rhyse Martin,,Bulldogs,48:42,Bulldogs vs Storm,2019
37,Conversion-Made,Cameron Smith,,,0-14,Storm,47:25,Bulldogs vs Storm,2019
38,Try,Josh Addo-Carr,,,0-12,Storm,45:55,Bulldogs vs Storm,2019
39,Linebreak,Josh Addo-Carr,,,,Storm,45:54,Bulldogs vs Storm,2019
40,Error,Will Hopoate,,,,Bulldogs,45:07,Bulldogs vs Storm,2019
41,Error,Cameron Munster,,,,Storm,43:20,Bulldogs vs Storm,2019
42,Kick Bomb,Cameron Munster,,,,Storm,41:39,Bulldogs vs Storm,2019
43,Kick Bomb,Jack Cogger,,,,Bulldogs,40:51,Bulldogs vs Storm,2019
44,Interchange - HIA Cleared,,                   Danny Fualalo,                   Aiden Tolman,,Bulldogs,40:01,Bulldogs vs Storm,2019
45,Kick Bomb,Jack Cogger,,,,Bulldogs,39:50,Bulldogs vs Storm,2019
46,Error,Corey Harawira-Naera,,,,Bulldogs,37:20,Bulldogs vs Storm,2019
47,Error,Jesse Bromwich,,,,Storm,35:40,Bulldogs vs Storm,2019
48,Kick Bomb,Jack Cogger,,,,Bulldogs,34:51,Bulldogs vs Storm,2019
49,Kick Bomb,Ryan Papenhuyzen,,,,Storm,33:54,Bulldogs vs Storm,2019
50,Interchange #3,,                   Brandon Smith,                   Ryan Papenhuyzen,,Storm,33:04,Bulldogs vs Storm,2019
51,Kick Bomb,Jack Cogger,,,,Bulldogs,32:55,Bulldogs vs Storm,2019
52,Penalty - Offside inside 10m,Jesse Bromwich,,,,Storm,31:31,Bulldogs vs Storm,2019
53,Kick Bomb,Brodie Croft,,,,Storm,31:16,Bulldogs vs Storm,2019
54,Kick Bomb,Jack Cogger,,,,Bulldogs,30:25,Bulldogs vs Storm,2019
55,Error,Kenneath Bromwich,,,,Storm,29:38,Bulldogs vs Storm,2019
56,Interchange - HIA,,                   Aiden Tolman,                   Sauaso Sue,,Bulldogs,28:47,Bulldogs vs Storm,2019
57,Penalty - Dangerous Tackle,Ofahiki Ogden,,,,Bulldogs,28:17,Bulldogs vs Storm,2019
58,Kick Bomb,Jack Cogger,,,,Bulldogs,27:30,Bulldogs vs Storm,2019
59,Error,Cameron Smith,,,,Storm,25:53,Bulldogs vs Storm,2019
60,Error,Will Chambers,,,,Storm,24:27,Bulldogs vs Storm,2019
61,Interchange #2,,                   Dylan Napa,                   Ofahiki Ogden,,Bulldogs,23:22,Bulldogs vs Storm,2019
62,Kick Bomb,Cameron Munster,,,,Storm,22:45,Bulldogs vs Storm,2019
63,Kick Bomb,Jack Cogger,,,,Bulldogs,21:43,Bulldogs vs Storm,2019
64,Interchange #1,,                   Chris Smith,                   Danny Fualalo,,Bulldogs,19:59,Bulldogs vs Storm,2019
65,Error,Josh Addo-Carr,,,,Storm,19:55,Bulldogs vs Storm,2019
66,Interchange #2,,                   Nelson Asofa-Solomona,                   Tui Kamikamica,,Storm,19:40,Bulldogs vs Storm,2019
67,Error,Kieran Foran,,,,Bulldogs,19:12,Bulldogs vs Storm,2019
68,Penalty - Slow Peel,Will Chambers,,,,Storm,18:37,Bulldogs vs Storm,2019
69,Error,Brodie Croft,,,,Storm,17:09,Bulldogs vs Storm,2019
70,Kick Bomb,Brodie Croft,,,,Storm,15:46,Bulldogs vs Storm,2019
71,Conversion-Made,Cameron Smith,,,0-8,Storm,14:50,Bulldogs vs Storm,2019
72,Try,Josh Addo-Carr,,,0-6,Storm,13:20,Bulldogs vs Storm,2019
73,Linebreak,Josh Addo-Carr,,,,Storm,13:14,Bulldogs vs Storm,2019
74,Penalty Shot-Made,Cameron Smith,,,0-2,Storm,10:59,Bulldogs vs Storm,2019
75,Penalty - Dangerous Tackle,Dylan Napa,,,,Bulldogs,09:42,Bulldogs vs Storm,2019
76,Penalty - Leg Pull,Aiden Tolman,,,,Bulldogs,08:39,Bulldogs vs Storm,2019
77,Error,Reimis Smith,,,,Bulldogs,07:42,Bulldogs vs Storm,2019
78,Penalty - Dangerous Tackle,Cameron Smith,,,,Storm,06:52,Bulldogs vs Storm,2019
79,Interchange #1,,                   Dale Finucane,                   Brandon Smith,,Storm,06:11,Bulldogs vs Storm,2019
80,Error,Josh Jackson,,,,Bulldogs,05:56,Bulldogs vs Storm,2019
81,Penalty - Slow Peel,Nelson Asofa-Solomona,,,,Storm,05:03,Bulldogs vs Storm,2019
82,Kick Bomb,Jack Cogger,,,,Bulldogs,01:56,Bulldogs vs Storm,2019
83,Error,Dale Finucane,,,,Storm,01:08,Bulldogs vs Storm,2019
84,Penalty - Offside inside 10m,Jeremy Marshall-King,,,,Bulldogs,00:15,Bulldogs vs Storm,2019
85,KICK OFF,,,,,,00:00,Bulldogs vs Storm,2019
