,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Clinton
                
                  Gutherson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,25.0,,16.0,117.0,81,,25,-,1,-,-,2,-,14,4.09s,2,19,-,,-,-,15,30.0,0.94,,100%,3.0,-,-,-,5,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
1,,"Maika
                
                  Sivo",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,31.0,,16.0,141.0,10,,36,1,-,-,-,1,2,12,4.36s,-,-,-,,-,-,2,17.0,0.13,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
2,,"Josh
                
                  Hoffman",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,24.0,,10.0,101.0,11,,35,-,-,-,-,3,3,10,3s,-,-,-,,-,1,6,12.0,0.6,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
3,,"Blake
                
                  Ferguson",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,23.0,,17.0,142.0,-,,33,-,-,-,-,3,3,15,3.23s,-,-,-,,1,-,8,26.0,0.47,,90.9%,10.0,1,-,-,-,,-,-,-,-,-,-,-,-,,4,4,-,1,1,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
4,,"George
                
                  Jennings",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,27.0,,16.0,118.0,17,,28,-,-,-,-,6,2,14,3.18s,1,8,-,,1,-,4,23.0,0.25,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
5,,"Will
                
                  Smith",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,32.0,,2.0,10.0,-,,-,-,-,1,-,-,-,-,-,-,-,-,,-,-,28,34.0,14,,84.8%,28.0,4,1,-,-,,6,134,1,-,2,-,-,-,,1,2,-,-,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
6,,"Mitchell
                
                  Moses",7.0,Halfback,,80:00,,6,-,1,1,2,100%,-,,41.0,,6.0,32.0,-,,-,-,1,-,-,-,-,1,4.48s,-,-,-,,-,-,42,58.0,7,,88.5%,23.0,2,1,-,-,,11,314,-,1,1,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
7,,"Junior
                
                  Paulo",8.0,Prop,,47:00,,-,-,-,-,-,-,-,,48.0,,12.0,119.0,22,,33,-,-,-,-,3,10,9,3.63s,-,-,-,,2,-,1,13.0,0.08,,90.9%,30.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,24:30,22:50,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
8,,"Reed
                
                  Mahoney",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,49.0,,5.0,39.0,-,,8,-,-,-,-,-,2,4,3.52s,2,19,-,,-,1,115,120.0,23,,87.9%,58.0,7,1,-,-,,2,47,1,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
9,,"Tim
                
                  Mannah",10.0,Prop,,36:00,,-,-,-,-,-,-,-,,23.0,,13.0,97.0,18,,36,-,-,-,-,1,10,13,3.39s,-,-,-,,-,-,-,13.0,-,,89.5%,17.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,20:38,14:31,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
10,,"Shaun
                
                  Lane",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,51.0,,14.0,102.0,-,,34,1,-,-,-,2,13,11,3.83s,-,-,-,,-,-,2,15.0,0.14,,92.9%,39.0,1,2,-,-,,-,-,-,-,-,-,-,-,,2,2,-,1,-,-,-,,80:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
11,,"Marata
                
                  Niukore",12.0,2nd Row,,68:00,,-,-,-,-,-,-,-,,34.0,,7.0,42.0,-,,11,-,-,-,-,-,7,6,3.69s,-,-,-,,1,-,-,7.0,-,,92.7%,38.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,67:39,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
12,,"Manu
                
                  Ma'u",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,50.0,,16.0,97.0,-,,17,-,-,-,-,1,12,9,3.58s,-,-,-,,2,-,9,21.0,0.56,,92.7%,38.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:54,17:09,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
13,,"Peni
                
                  Terepo",14.0,Interchange,,32:00,,-,-,-,-,-,-,-,,15.0,,5.0,36.0,10,,4,-,-,-,-,-,4,5,3.22s,-,-,-,,-,-,1,6.0,0.2,,85.7%,18.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,31:04,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
14,,"Daniel
                
                  Alvaro",15.0,Interchange,,27:00,,-,-,-,-,-,-,-,,32.0,,9.0,59.0,3,,17,-,-,-,-,1,8,9,3.7s,-,-,-,,-,-,-,9.0,-,,95.8%,23.0,-,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:14,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
15,,"Brad
                
                  Takairangi",16.0,Interchange,,24:00,,-,-,-,-,-,-,-,,14.0,,3.0,24.0,-,,7,-,-,-,-,-,2,2,3.66s,-,-,-,,-,-,3,5.0,1,,100%,12.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:00,-,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
16,,"David
                
                  Gower",17.0,Interchange,,30:00,,-,-,-,-,-,-,-,,34.0,,8.0,67.0,-,,21,-,-,-,-,3,8,5,2.95s,-,-,-,,1,-,1,9.0,0.13,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,12:07,13:43,Eels,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
0,,"Dylan
                
                  Edwards",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,35.0,,19,140,46,,29,-,-,-,-,6,-,13,3.62s,2,26,-,,-,2,11,29.0,0.58,,80%,4.0,1,-,-,3,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Panthers,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
1,,"Josh
                
                  Mansour",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,22,193,34,,54,-,-,-,-,2,-,19,3.08s,2,21,-,,1,-,3,24.0,0.14,,50%,5.0,2,3,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Panthers,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
2,,"Dean
                
                  Whare",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,4,22,-,,3,-,-,-,-,-,-,4,2.69s,-,-,-,,-,-,7,11.0,1.75,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Panthers,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
3,,"Waqa
                
                  Blake",4.0,Centre,,41:00,,-,-,-,-,-,-,-,,5.0,,3,17,-,,-,-,-,-,-,1,-,1,3.36s,-,-,-,,-,-,1,3.0,0.33,,87.5%,7.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,40:01,-,Panthers,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
4,,"Brian
                
                  To'o",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,39.0,,20,212,-,,72,-,-,-,-,4,-,20,3.57s,-,-,-,,-,-,-,23.0,-,,100%,6.0,-,-,-,-,,1,2,1,-,1,-,-,-,,1,2,-,-,-,-,-,,80:00,-,Panthers,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
5,,"Jarome
                
                  Luai",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,18.0,,-,-,-,,-,-,-,1,-,-,-,-,-,-,-,-,,-,1,42,45.0,-,,89.5%,17.0,-,2,-,1,,2,24,-,1,1,-,-,-,,2,2,-,1,1,-,-,,80:00,-,Panthers,11,2019-05-23T09:50:00Z,Eels vs Panthers,2019
