,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Raiders,2019
1,Error,Marcelo Montoya,,,,Bulldogs,79:23,Bulldogs vs Raiders,2019
2,Error,Charnze Nicoll-Klokstad,,,,Raiders,76:08,Bulldogs vs Raiders,2019
3,Linebreak,Charnze Nicoll-Klokstad,,,,Raiders,76:01,Bulldogs vs Raiders,2019
4,Error,Rhyse Martin,,,,Bulldogs,75:07,Bulldogs vs Raiders,2019
5,Kick Bomb,Sam Williams,,,,Raiders,74:22,Bulldogs vs Raiders,2019
6,Kick Bomb,Kieran Foran,,,,Bulldogs,73:10,Bulldogs vs Raiders,2019
7,Penalty Shot-Made,Jarrod Croker,,,10-12,Raiders,70:59,Bulldogs vs Raiders,2019
8,Penalty - Ball Strip,Adam Elliott,,,,Bulldogs,69:44,Bulldogs vs Raiders,2019
9,Error,Reimis Smith,,,,Bulldogs,69:28,Bulldogs vs Raiders,2019
10,Interchange #6,,                   Aiden Tolman,                   Sauaso Sue,,Bulldogs,69:22,Bulldogs vs Raiders,2019
11,Kick Bomb,Aidan Sezer,,,,Raiders,69:15,Bulldogs vs Raiders,2019
12,Interchange #7,,                   Ryan Sutton,                   Joseph Tapine,,Raiders,66:44,Bulldogs vs Raiders,2019
13,Interchange #5,,                   Danny Fualalo,                   Ofahiki Ogden,,Bulldogs,66:06,Bulldogs vs Raiders,2019
14,Kick Bomb,Sam Williams,,,,Raiders,65:47,Bulldogs vs Raiders,2019
15,Conversion-Made,Rhyse Martin,,,10-10,Bulldogs,64:03,Bulldogs vs Raiders,2019
16,Try,Marcelo Montoya,,,8-10,Bulldogs,62:46,Bulldogs vs Raiders,2019
17,Linebreak,Marcelo Montoya,,,,Bulldogs,62:44,Bulldogs vs Raiders,2019
18,Line Dropout,Bailey Simonsson,,,,Raiders,62:12,Bulldogs vs Raiders,2019
19,Interchange #6,,                   Siliva Havili,                   Tom Starling,,Raiders,61:42,Bulldogs vs Raiders,2019
20,Error,Michael Oldfield,,,,Raiders,60:31,Bulldogs vs Raiders,2019
21,Interchange #5,,                   Hudson Young,                   Corey Horsburgh,,Raiders,59:41,Bulldogs vs Raiders,2019
22,Interchange #4,,                   Iosia Soliola,                   Dunamis Lui,,Raiders,59:41,Bulldogs vs Raiders,2019
23,Conversion-Missed,Rhyse Martin,,,,Bulldogs,59:34,Bulldogs vs Raiders,2019
24,Try,Jack Cogger,,,4-10,Bulldogs,58:03,Bulldogs vs Raiders,2019
25,Linebreak,Jack Cogger,,,,Bulldogs,58:02,Bulldogs vs Raiders,2019
26,Error,Bailey Simonsson,,,,Raiders,56:50,Bulldogs vs Raiders,2019
27,Penalty - Dangerous Tackle,Iosia Soliola,,,,Raiders,55:28,Bulldogs vs Raiders,2019
28,Interchange #4,,                   Sauaso Sue,                   Josh Jackson,,Bulldogs,54:56,Bulldogs vs Raiders,2019
29,Kick Bomb,Sam Williams,,,,Raiders,53:10,Bulldogs vs Raiders,2019
30,Interchange #3,,                   Raymond Faitala-Mariner,                   Rhyse Martin,,Bulldogs,51:13,Bulldogs vs Raiders,2019
31,Penalty - Slow Peel,Aiden Tolman,,,,Bulldogs,49:37,Bulldogs vs Raiders,2019
32,Interchange #2,,                   Chris Smith,                   Aiden Tolman,,Bulldogs,48:21,Bulldogs vs Raiders,2019
33,Error,Hudson Young,,,,Raiders,47:19,Bulldogs vs Raiders,2019
34,Kick Bomb,Jack Cogger,,,,Bulldogs,44:05,Bulldogs vs Raiders,2019
35,Interchange - Free,,                   Josh Jackson,                   Danny Fualalo,,Bulldogs,43:43,Bulldogs vs Raiders,2019
36,Error,Iosia Soliola,,,,Raiders,40:37,Bulldogs vs Raiders,2019
37,Drop Goal-Missed,Sam Williams,,,,Raiders,39:00,Bulldogs vs Raiders,2019
38,Error,Christian Crichton,,,,Bulldogs,37:17,Bulldogs vs Raiders,2019
39,Kick Bomb,Sam Williams,,,,Raiders,36:35,Bulldogs vs Raiders,2019
40,Line Dropout,Bailey Simonsson,,,,Raiders,34:46,Bulldogs vs Raiders,2019
41,Interchange - Free,,                   Aiden Tolman,                   Sauaso Sue,,Bulldogs,33:22,Bulldogs vs Raiders,2019
42,On Report,Hudson Young,,,,Raiders,33:16,Bulldogs vs Raiders,2019
43,Penalty - Working on the Ground,Hudson Young,,,,Raiders,33:06,Bulldogs vs Raiders,2019
44,Error,Siliva Havili,,,,Raiders,32:39,Bulldogs vs Raiders,2019
45,Error,Raymond Faitala-Mariner,,,,Bulldogs,31:21,Bulldogs vs Raiders,2019
46,Penalty - Leg Pull,Siliva Havili,,,,Raiders,30:55,Bulldogs vs Raiders,2019
47,Error,Ryan Sutton,,,,Raiders,30:50,Bulldogs vs Raiders,2019
48,Interchange #3,,                   Corey Horsburgh,                   Ryan Sutton,,Raiders,30:29,Bulldogs vs Raiders,2019
49,Interchange #2,,                   Dunamis Lui,                   Iosia Soliola,,Raiders,29:02,Bulldogs vs Raiders,2019
50,Penalty - Dangerous Tackle,Josh Jackson,,,,Bulldogs,28:05,Bulldogs vs Raiders,2019
51,Conversion-Missed,Jarrod Croker,,,,Raiders,27:27,Bulldogs vs Raiders,2019
52,Video Referee,Try,,,,Raiders,26:17,Bulldogs vs Raiders,2019
53,Try,John Bateman,,,0-10,Raiders,26:02,Bulldogs vs Raiders,2019
54,Linebreak,Siliva Havili,,,,Raiders,25:55,Bulldogs vs Raiders,2019
55,Conversion-Made,Jarrod Croker,,,0-6,Raiders,24:55,Bulldogs vs Raiders,2019
56,Try,Sebastian Kris,,,0-4,Raiders,23:23,Bulldogs vs Raiders,2019
57,Kick Bomb,Sam Williams,,,,Raiders,23:17,Bulldogs vs Raiders,2019
58,Penalty - Slow Peel,Reimis Smith,,,,Bulldogs,21:57,Bulldogs vs Raiders,2019
59,Interchange #1,,                   Joseph Tapine,                   Hudson Young,,Raiders,21:54,Bulldogs vs Raiders,2019
60,Kick Bomb,Jack Cogger,,,,Bulldogs,21:38,Bulldogs vs Raiders,2019
61,Penalty - Dangerous Tackle,Sam Williams,,,,Raiders,20:18,Bulldogs vs Raiders,2019
62,Error,Kieran Foran,,,,Bulldogs,18:45,Bulldogs vs Raiders,2019
63,Line Dropout,Bailey Simonsson,,,,Raiders,18:22,Bulldogs vs Raiders,2019
64,Interchange #1,,                   Ofahiki Ogden,                   Chris Smith,,Bulldogs,17:06,Bulldogs vs Raiders,2019
65,Kick Bomb,Kieran Foran,,,,Bulldogs,14:26,Bulldogs vs Raiders,2019
66,Error,Jarrod Croker,,,,Raiders,13:21,Bulldogs vs Raiders,2019
67,Penalty - 2nd Effort,Raymond Faitala-Mariner,,,,Bulldogs,12:02,Bulldogs vs Raiders,2019
68,Kick Bomb,Kieran Foran,,,,Bulldogs,11:53,Bulldogs vs Raiders,2019
69,Error,Elliott Whitehead,,,,Raiders,10:30,Bulldogs vs Raiders,2019
70,Error,Ofahiki Ogden,,,,Bulldogs,09:26,Bulldogs vs Raiders,2019
71,Kick Bomb,Aidan Sezer,,,,Raiders,08:38,Bulldogs vs Raiders,2019
72,Linebreak,Christian Crichton,,,,Bulldogs,07:45,Bulldogs vs Raiders,2019
73,Penalty - Holding Back,Elliott Whitehead,,,,Raiders,06:37,Bulldogs vs Raiders,2019
74,Kick Bomb,Aidan Sezer,,,,Raiders,04:48,Bulldogs vs Raiders,2019
75,Error,Jeremy Marshall-King,,,,Bulldogs,02:15,Bulldogs vs Raiders,2019
76,Error,Raymond Faitala-Mariner,,,,Bulldogs,00:37,Bulldogs vs Raiders,2019
77,KICK OFF,,,,,,00:00,Bulldogs vs Raiders,2019
