,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Clinton
                
                  Gutherson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,32.0,,17.0,192.0,66,,48.0,1,-,-,-,1,-,12.0,3.74s,3,35,-,,1,1,14,31.0,0.82,,44.4%,4.0,4,1,-,2,,1,16,1,-,1,-,-,-,,2,2,-,1,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
1,,"Maika
                
                  Sivo",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,42.0,,14.0,149.0,70,,58.0,1,-,-,-,4,-,13.0,3.18s,1,8,-,,1,-,-,17.0,-,,100%,2.0,-,-,-,2,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
2,,"Michael
                
                  Jennings",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,56.0,,14.0,152.0,6,,45.0,-,1,1,-,6,1,12.0,3.31s,1,12,-,,2,-,3,19.0,0.21,,100%,10.0,-,-,-,1,,1,31,-,-,-,-,-,-,,-,2,-,-,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
3,,"Josh
                
                  Hoffman",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,49.0,,5.0,38.0,-,,7.0,1,-,-,-,6,-,4.0,3.05s,1,9,-,,-,-,3,8.0,0.6,,86.7%,26.0,4,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,23.0,,15.0,131.0,-,,54.0,-,-,-,-,2,1,15.0,3.09s,-,-,-,,-,-,7,24.0,0.47,,55.6%,5.0,4,-,-,1,,1,2,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
5,,"Will
                
                  Smith",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,19.0,,7.0,49.0,-,,8.0,-,-,-,-,-,-,2.0,3.28s,-,-,-,,-,1,29,32.0,4.14,,90.5%,19.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
6,,"Mitchell
                
                  Moses",7.0,Halfback,,80:00,,10,-,3,4,2,83.33%,-,,80.0,,16.0,150.0,5,,14.0,1,1,3,-,4,-,4.0,4.17s,-,-,-,,1,1,30,55.0,1.88,,76.9%,20.0,6,-,-,1,,15,351,-,5,5,-,-,-,,3,-,-,-,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
7,,"Kane
                
                  Evans",8.0,Prop,,34:00,,-,-,-,-,-,-,-,,36.0,,11.0,112.0,16,,42.0,-,-,-,-,2,9,7.0,3.49s,-,-,-,,1,-,3,13.0,0.27,,87.1%,27.0,4,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,23:33,10:23,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
8,,"Reed
                
                  Mahoney",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,55.0,,10.0,43.0,-,,13.0,-,-,-,-,1,4,5.0,4.13s,5,29,-,,2,1,128,135.0,12.8,,91.4%,53.0,5,-,-,-,,1,30,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
9,,"Junior
                
                  Paulo",10.0,Prop,,42:00,,-,-,-,-,-,-,-,,42.0,,15.0,158.0,74,,50.0,-,-,-,-,3,8,11.0,2.96s,-,-,-,,2,-,5,18.0,0.33,,85.7%,18.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,08:07,33:26,Eels,12,2019-05-31T09:55:00Z,Eels vs Rabbitohs,2019
