,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alexander
                
                  Brimson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,46.0,,21.0,211.0,51,,22.0,1,-,-,-,5,-,17.0,3.92s,-,-,-,,1,4,10,29.0,0.48,,50%,2.0,1,1,-,6,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
1,,"Anthony
                
                  Don",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,17.0,,13.0,94.0,17,,21.0,-,-,-,-,1,-,11.0,2.72s,-,-,-,,-,1,4,19.0,0.31,,100%,4.0,-,-,-,1,,1,12,-,1,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
2,,"Jesse
                
                  Arthars",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,42.0,,11.0,107.0,-,,31.0,-,-,-,-,3,-,11.0,3.16s,-,-,-,,-,1,7,15.0,0.64,,86.2%,25.0,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
3,,"Brian
                
                  Kelly",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,46.0,,14.0,155.0,-,,35.0,1,-,-,-,6,-,11.0,3.33s,3,67,-,,1,-,4,17.0,0.29,,86.7%,13.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
4,,"Dale
                
                  Copley",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,37.0,,16.0,159.0,16,,36.0,1,-,-,-,3,-,16.0,3.54s,-,-,-,,-,-,2,21.0,0.13,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
5,,"Tyrone
                
                  Roberts",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,46.0,,7.0,60.0,-,,12.0,-,1,1,-,1,-,4.0,3.25s,-,-,-,,-,4,37,50.0,5.29,,92.3%,24.0,1,1,-,-,,10,177,-,3,3,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
6,,"Ashley
                
                  Taylor",7.0,Halfback,,80:00,,-,-,-,1,-,-,-,,39.0,,11.0,59.0,-,,7.0,-,-,-,-,-,-,3.0,3.99s,-,-,-,,-,4,50,65.0,4.55,,84.4%,27.0,4,1,-,-,,12,354,-,3,2,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
7,,"Jarrod
                
                  Wallace",8.0,Prop,,49:00,,-,-,-,-,-,-,-,,51.0,,19.0,210.0,47,,52.0,-,-,-,-,2,15,17.0,3.09s,-,-,-,,1,-,2,20.0,0.11,,95.7%,22.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:55,23:02,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
8,,"Mitch
                
                  Rein",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,42.0,,4.0,38.0,-,,8.0,-,-,-,-,-,-,3.0,3.07s,3,28,-,,-,-,122,126.0,30.5,,97.7%,43.0,1,-,-,-,,3,57,-,-,2,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
9,,"Moeaki
                
                  Fotuaika",10.0,Prop,,62:00,,-,-,-,-,-,-,-,,57.0,,20.0,217.0,16,,72.0,-,-,-,-,1,19,17.0,2.96s,-,-,-,,1,1,-,20.0,-,,88.6%,39.0,2,3,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,50:01,11:38,Titans,12,2019-06-02T06:05:00Z,Titans vs Cowboys,2019
