,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Michael
                
                  Morgan",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,32.0,,18,123,61,,34,-,1,2,-,3,-,9,3.79s,1,-,-,,1,-,17,35.0,0.94,,70%,7.0,3,-,-,2,,3,11,-,-,1,-,1,-,,3,3,-,-,-,-,-,,80:00,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
1,,"Kyle
                
                  Feldt",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,32.0,,14,121,13,,39,1,-,1,-,1,-,12,3.83s,-,-,-,,-,1,5,21.0,0.36,,87.5%,7.0,1,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,80:00,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
2,,"Mitchell
                
                  Dunn",3.0,Centre,,66:00,,-,-,-,-,-,-,-,,19.0,,4,45,-,,19,-,-,-,-,-,1,4,3.76s,1,10,-,,-,-,4,9.0,1,,100%,16.0,-,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,65:33,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
3,,"Tom
                
                  Opacic",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,27.0,,10,70,-,,28,-,-,-,-,1,-,8,3.33s,2,11,-,,-,-,10,17.0,1,,92.9%,13.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
4,,"Enari
                
                  Tuala",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,12.0,,13,114,5,,44,-,-,-,-,-,2,12,3.63s,-,-,-,,-,-,1,13.0,0.08,,100%,3.0,-,-,-,-,,1,2,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
5,,"John
                
                  Asiata",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,19.0,,12,61,-,,7,-,-,-,-,-,-,5,3.55s,-,-,-,,1,1,25,42.0,2.08,,73.7%,14.0,5,-,-,-,,9,157,2,5,3,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
6,,"Jake
                
                  Clifford",7.0,Halfback,,80:00,,8,-,3,3,1,100%,-,,35.0,,8,55,-,,11,-,-,-,-,4,-,5,4.83s,-,-,-,,-,1,14,26.0,1.75,,76.2%,16.0,3,2,-,1,,4,107,-,2,-,-,1,-,,3,2,-,-,-,-,-,,80:00,-,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
7,,"Josh
                
                  McGuire",8.0,Prop,,50:00,,-,-,-,-,-,-,-,,42.0,,15,124,-,,50,-,-,-,-,3,14,12,3.31s,-,-,-,,2,-,6,20.0,0.4,,82.1%,23.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:39,21:12,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
8,,"Jake
                
                  Granville",9.0,Hooker,,70:00,,-,-,-,-,-,-,-,,45.0,,9,31,-,,1,-,1,1,-,-,1,1,3.4s,3,15,-,,-,-,122,122.0,13.56,,94.9%,37.0,1,1,-,-,,1,8,-,-,1,-,-,-,,-,-,-,-,-,-,-,,54:22,14:27,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
9,,"Jordan
                
                  McLean",10.0,Prop,,36:00,,-,-,-,-,-,-,-,,37.0,,12,127,-,,52,-,-,-,-,1,12,12,3.15s,-,-,-,,-,2,-,12.0,-,,81.3%,26.0,2,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:04,11:41,Cowboys,13,2019-06-08T09:35:00Z,Cowboys vs Sea Eagles,2019
